Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,1.7586 $\pm$ 0.0,1.4076 $\pm$ 0.3928,1.4988 $\pm$ 0.4525,1.896 $\pm$ 0.6628,0.0 $\pm$ 0.0
16,1.2777 $\pm$ 0.0,1.1093 $\pm$ 0.1032,1.1466 $\pm$ 0.126,1.2311 $\pm$ 0.1906,0.0 $\pm$ 0.0
17,1.7586 $\pm$ 0.0,1.4076 $\pm$ 0.3928,1.4988 $\pm$ 0.4525,1.896 $\pm$ 0.6628,0.0 $\pm$ 0.0
18,1.7586 $\pm$ 0.0,1.4076 $\pm$ 0.3928,1.4988 $\pm$ 0.4525,1.896 $\pm$ 0.6628,0.0 $\pm$ 0.0
19,1.7586 $\pm$ 0.0,1.4076 $\pm$ 0.3928,1.4988 $\pm$ 0.4525,1.896 $\pm$ 0.6628,0.0 $\pm$ 0.0
20,0.6523 $\pm$ 0.0,0.7782 $\pm$ 0.0643,0.8985 $\pm$ 0.0776,0.8554 $\pm$ 0.0696,0.0 $\pm$ 0.0
21,1.7586 $\pm$ 0.0,1.4076 $\pm$ 0.3928,1.4988 $\pm$ 0.4525,1.896 $\pm$ 0.6628,0.0 $\pm$ 0.0
22,1.7586 $\pm$ 0.0,1.4076 $\pm$ 0.3928,1.4988 $\pm$ 0.4525,1.896 $\pm$ 0.6628,0.0 $\pm$ 0.0
23,0.6286 $\pm$ 0.0,0.7625 $\pm$ 0.0726,0.8844 $\pm$ 0.0885,0.8317 $\pm$ 0.0814,0.0 $\pm$ 0.0
24,0.6233 $\pm$ 0.0,0.7613 $\pm$ 0.0729,0.8831 $\pm$ 0.0894,0.8308 $\pm$ 0.082,0.0 $\pm$ 0.0
25,0.652 $\pm$ 0.0,0.7775 $\pm$ 0.0647,0.8976 $\pm$ 0.078,0.8541 $\pm$ 0.0701,0.0 $\pm$ 0.0
26,0.623 $\pm$ 0.0,0.7606 $\pm$ 0.0733,0.8822 $\pm$ 0.0899,0.8295 $\pm$ 0.0826,0.0 $\pm$ 0.0
27,0.8818 $\pm$ 0.0,0.8362 $\pm$ 0.0452,0.9533 $\pm$ 0.0376,0.9033 $\pm$ 0.0612,0.0 $\pm$ 0.0
28,0.8818 $\pm$ 0.0,0.8362 $\pm$ 0.0452,0.9533 $\pm$ 0.0376,0.9033 $\pm$ 0.0612,0.0 $\pm$ 0.0
29,1.243 $\pm$ 0.0,1.0136 $\pm$ 0.0434,1.0648 $\pm$ 0.0501,1.0424 $\pm$ 0.076,0.0 $\pm$ 0.0
30,1.0607 $\pm$ 0.0,0.9385 $\pm$ 0.0265,1.0106 $\pm$ 0.0109,0.9784 $\pm$ 0.052,0.0 $\pm$ 0.0
62,0.86 $\pm$ 0.0,0.8002 $\pm$ 0.0674,0.9178 $\pm$ 0.0742,0.8884 $\pm$ 0.1015,0.0 $\pm$ 0.0
