Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.6201 $\pm$ 0.0,0.1273 $\pm$ 0.0303,0.1317 $\pm$ 0.0451,0.2148 $\pm$ 0.0748,1.0 $\pm$ 0.0
2,0.7577 $\pm$ 0.0,0.1804 $\pm$ 0.0396,0.1837 $\pm$ 0.0549,0.2547 $\pm$ 0.0761,1.0 $\pm$ 0.0
3,0.7577 $\pm$ 0.0,0.1804 $\pm$ 0.0396,0.1837 $\pm$ 0.0549,0.2547 $\pm$ 0.0761,1.0 $\pm$ 0.0
4,0.8217 $\pm$ 0.0,0.2113 $\pm$ 0.0446,0.214 $\pm$ 0.0608,0.2769 $\pm$ 0.0778,1.0 $\pm$ 0.0
5,0.7577 $\pm$ 0.0,0.1804 $\pm$ 0.0396,0.1837 $\pm$ 0.0549,0.2547 $\pm$ 0.0761,1.0 $\pm$ 0.0
6,0.4652 $\pm$ 0.0,0.0815 $\pm$ 0.0213,0.0871 $\pm$ 0.0382,0.1779 $\pm$ 0.0761,1.0 $\pm$ 0.0
7,0.8866 $\pm$ 0.0,0.294 $\pm$ 0.0528,0.2981 $\pm$ 0.0694,0.3324 $\pm$ 0.0861,1.0 $\pm$ 0.0
8,0.9389 $\pm$ 0.0,0.3226 $\pm$ 0.0568,0.326 $\pm$ 0.0763,0.3546 $\pm$ 0.0922,1.0 $\pm$ 0.0
9,0.8011 $\pm$ 0.0,0.252 $\pm$ 0.0467,0.257 $\pm$ 0.0596,0.3 $\pm$ 0.0781,1.0 $\pm$ 0.0
10,0.5536 $\pm$ 0.0,0.1657 $\pm$ 0.0301,0.1671 $\pm$ 0.0405,0.1881 $\pm$ 0.0503,0.6508 $\pm$ 0.0
11,0.9389 $\pm$ 0.0,0.3226 $\pm$ 0.0568,0.326 $\pm$ 0.0763,0.3546 $\pm$ 0.0922,1.0 $\pm$ 0.0
12,6.1579 $\pm$ 0.0,1.3502 $\pm$ 0.383,1.256 $\pm$ 0.4201,1.5501 $\pm$ 0.5201,7.8421 $\pm$ 0.0
13,23.0526 $\pm$ 0.0,9.5185 $\pm$ 1.758,9.5503 $\pm$ 2.4723,11.0088 $\pm$ 2.8561,26.0 $\pm$ 0.0
