Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.5509 $\pm$ 0.0,0.0783 $\pm$ 0.0218,0.0939 $\pm$ 0.0357,0.0927 $\pm$ 0.0341,1.0 $\pm$ 0.0
2,0.6925 $\pm$ 0.0,0.1158 $\pm$ 0.0308,0.1382 $\pm$ 0.0462,0.1323 $\pm$ 0.0438,1.0 $\pm$ 0.0
3,0.6925 $\pm$ 0.0,0.1158 $\pm$ 0.0308,0.1382 $\pm$ 0.0462,0.1323 $\pm$ 0.0438,1.0 $\pm$ 0.0
4,0.7643 $\pm$ 0.0,0.1399 $\pm$ 0.0368,0.1663 $\pm$ 0.052,0.157 $\pm$ 0.0494,1.0 $\pm$ 0.0
5,0.6925 $\pm$ 0.0,0.1158 $\pm$ 0.0308,0.1382 $\pm$ 0.0462,0.1323 $\pm$ 0.0438,1.0 $\pm$ 0.0
6,0.4061 $\pm$ 0.0,0.0489 $\pm$ 0.0153,0.0587 $\pm$ 0.0261,0.0599 $\pm$ 0.0246,1.0 $\pm$ 0.0
7,0.9034 $\pm$ 0.0,0.2411 $\pm$ 0.0634,0.2735 $\pm$ 0.0712,0.2642 $\pm$ 0.0639,1.0 $\pm$ 0.0
8,0.9488 $\pm$ 0.0,0.2621 $\pm$ 0.0698,0.2951 $\pm$ 0.0762,0.2852 $\pm$ 0.0685,1.0 $\pm$ 0.0
9,0.8261 $\pm$ 0.0,0.2093 $\pm$ 0.0542,0.2401 $\pm$ 0.0638,0.232 $\pm$ 0.0573,1.0 $\pm$ 0.0
10,0.5109 $\pm$ 0.0,0.1284 $\pm$ 0.0337,0.1458 $\pm$ 0.0383,0.1407 $\pm$ 0.0345,0.6075 $\pm$ 0.0
11,0.9488 $\pm$ 0.0,0.2621 $\pm$ 0.0698,0.2951 $\pm$ 0.0762,0.2852 $\pm$ 0.0685,1.0 $\pm$ 0.0
12,5.7083 $\pm$ 0.0,0.936 $\pm$ 0.3236,1.1264 $\pm$ 0.4227,1.0283 $\pm$ 0.3683,8.1667 $\pm$ 0.0
13,39.75 $\pm$ 0.0,13.1744 $\pm$ 3.7783,15.2088 $\pm$ 4.0672,14.6736 $\pm$ 3.7531,38.0 $\pm$ 0.0
14,0.1297 $\pm$ 0.0,0.0172 $\pm$ 0.0058,0.0203 $\pm$ 0.0076,0.0185 $\pm$ 0.0064,0.2149 $\pm$ 0.0
31,0.1733 $\pm$ 0.0,0.0204 $\pm$ 0.0112,0.0243 $\pm$ 0.0147,0.0229 $\pm$ 0.0093,0.23 $\pm$ 0.0
32,1.6092 $\pm$ 0.0,0.1893 $\pm$ 0.3133,0.3954 $\pm$ 0.1332,0.1568 $\pm$ 0.4548,1.8673 $\pm$ 0.0
33,0.6925 $\pm$ 0.0,0.1203 $\pm$ 0.0309,0.144 $\pm$ 0.0461,0.1376 $\pm$ 0.0437,1.0 $\pm$ 0.0
34,7.6257 $\pm$ 0.0,1.1147 $\pm$ 0.6378,1.3471 $\pm$ 0.7712,1.2719 $\pm$ 0.5316,8.7397 $\pm$ 0.0
35,16.5952 $\pm$ 0.0,2.3646 $\pm$ 0.796,2.982 $\pm$ 1.3704,3.1342 $\pm$ 1.3121,32.6849 $\pm$ 0.0
36,0.503 $\pm$ 0.0,0.0607 $\pm$ 0.0177,0.0742 $\pm$ 0.033,0.0761 $\pm$ 0.0309,1.0 $\pm$ 0.0
37,0.3851 $\pm$ 0.0,-0.0368 $\pm$ 0.0317,-0.0202 $\pm$ 0.0477,-0.0236 $\pm$ 0.0393,1.0 $\pm$ 0.0
38,0.6925 $\pm$ 0.0,0.1203 $\pm$ 0.0309,0.144 $\pm$ 0.0461,0.1376 $\pm$ 0.0437,1.0 $\pm$ 0.0
39,0.3851 $\pm$ 0.0,-0.0368 $\pm$ 0.0317,-0.0202 $\pm$ 0.0477,-0.0236 $\pm$ 0.0393,1.0 $\pm$ 0.0
40,0.6287 $\pm$ 0.0,0.1284 $\pm$ 0.038,0.1668 $\pm$ 0.0506,0.1416 $\pm$ 0.0572,0.6988 $\pm$ 0.0
41,0.6925 $\pm$ 0.0,0.1259 $\pm$ 0.0316,0.1507 $\pm$ 0.0462,0.1438 $\pm$ 0.0436,1.0 $\pm$ 0.0
42,0.6925 $\pm$ 0.0,0.1259 $\pm$ 0.0316,0.1507 $\pm$ 0.0462,0.1438 $\pm$ 0.0436,1.0 $\pm$ 0.0
43,1.3851 $\pm$ 0.0,0.2517 $\pm$ 0.0633,0.3014 $\pm$ 0.0923,0.2876 $\pm$ 0.0872,2.0 $\pm$ 0.0
44,3.5009 $\pm$ 0.0,0.5987 $\pm$ 0.1634,0.7527 $\pm$ 0.2846,0.7258 $\pm$ 0.2697,5.0289 $\pm$ 0.0
45,0.6925 $\pm$ 0.0,0.1554 $\pm$ 0.038,0.1864 $\pm$ 0.0528,0.1779 $\pm$ 0.0498,1.0 $\pm$ 0.0
46,0.6925 $\pm$ 0.0,0.0979 $\pm$ 0.0295,0.117 $\pm$ 0.0431,0.1103 $\pm$ 0.0395,1.0 $\pm$ 0.0
47,-2.8146 $\pm$ 0.0,-1.2448 $\pm$ 0.4438,-1.3241 $\pm$ 0.4028,-1.2964 $\pm$ 0.3896,-2.5 $\pm$ 0.0
48,0.6325 $\pm$ 0.0,0.1243 $\pm$ 0.0294,0.1551 $\pm$ 0.0495,0.1477 $\pm$ 0.0462,1.0 $\pm$ 0.0
49,0.8163 $\pm$ 0.0,0.1905 $\pm$ 0.049,0.2193 $\pm$ 0.059,0.2109 $\pm$ 0.0542,1.0 $\pm$ 0.0
50,0.2402 $\pm$ 0.0,0.0556 $\pm$ 0.0167,0.0642 $\pm$ 0.0208,0.0592 $\pm$ 0.0148,0.2627 $\pm$ 0.0
51,18.7499 $\pm$ 0.0,2.3976 $\pm$ 0.8622,3.0475 $\pm$ 1.6578,3.2943 $\pm$ 1.5799,38.0 $\pm$ 0.0
52,0.5243 $\pm$ 0.0,0.0869 $\pm$ 0.0222,0.1064 $\pm$ 0.0363,0.1008 $\pm$ 0.0327,0.7071 $\pm$ 0.0
53,0.118 $\pm$ 0.0,0.0213 $\pm$ 0.0051,0.025 $\pm$ 0.0073,0.0237 $\pm$ 0.0067,0.1601 $\pm$ 0.0
54,0.6325 $\pm$ 0.0,0.0943 $\pm$ 0.0245,0.1171 $\pm$ 0.043,0.1122 $\pm$ 0.0398,1.0 $\pm$ 0.0
55,0.8859 $\pm$ 0.0,0.1699 $\pm$ 0.0464,0.218 $\pm$ 0.0641,0.1879 $\pm$ 0.0675,1.0 $\pm$ 0.0
56,3666666675.0694 $\pm$ 0.0,119148938.1272 $\pm$ 652605600.2823,110638300.3131 $\pm$ 605990914.6681,3.0557 $\pm$ 1.7465,38000000000.0 $\pm$ 0.0
57,0.652 $\pm$ 0.0,0.1093 $\pm$ 0.0282,0.1315 $\pm$ 0.0438,0.1265 $\pm$ 0.0413,1.0 $\pm$ 0.0
58,5067598599.5194 $\pm$ 0.0,165493076.5998 $\pm$ 906442910.7998,153457216.5327 $\pm$ 840519790.0344,0.2039 $\pm$ 0.0893,331633080376.4907 $\pm$ 0.0
59,2.8767 $\pm$ 0.0,0.4072 $\pm$ 0.3705,0.5182 $\pm$ 0.3956,0.3997 $\pm$ 0.1805,2.7735 $\pm$ 0.0
60,0.652 $\pm$ 0.0,0.1093 $\pm$ 0.0282,0.1315 $\pm$ 0.0438,0.1265 $\pm$ 0.0413,1.0 $\pm$ 0.0
61,0.9328 $\pm$ 0.0,0.1896 $\pm$ 0.0515,0.2406 $\pm$ 0.0677,0.2076 $\pm$ 0.0723,1.0 $\pm$ 0.0
63,0.7138 $\pm$ 0.0,0.1243 $\pm$ 0.0354,0.1629 $\pm$ 0.0521,0.1417 $\pm$ 0.0578,1.0 $\pm$ 0.0
64,83333334.4097 $\pm$ 0.0,2127659.7002 $\pm$ 11653671.4225,2127659.7289 $\pm$ 11653671.4388,0.1873 $\pm$ 0.1035,8166666666.6667 $\pm$ 0.0
65,0.5509 $\pm$ 0.0,0.0783 $\pm$ 0.0218,0.0939 $\pm$ 0.0357,0.0927 $\pm$ 0.0341,1.0 $\pm$ 0.0
66,0.091 $\pm$ 0.0,0.0107 $\pm$ 0.0033,0.0132 $\pm$ 0.005,0.012 $\pm$ 0.0042,0.1624 $\pm$ 0.0
67,0.8068 $\pm$ 0.0,0.1937 $\pm$ 0.0497,0.2255 $\pm$ 0.0614,0.2171 $\pm$ 0.0548,1.0 $\pm$ 0.0
68,0.4555 $\pm$ 0.0,0.0586 $\pm$ 0.0188,0.0715 $\pm$ 0.0263,0.0646 $\pm$ 0.0226,0.6496 $\pm$ 0.0
69,0.4073 $\pm$ 0.0,0.0313 $\pm$ 0.0137,0.0399 $\pm$ 0.0281,0.0471 $\pm$ 0.0251,1.0 $\pm$ 0.0
70,0.0777 $\pm$ 0.0,0.0041 $\pm$ 0.0022,0.0056 $\pm$ 0.0035,0.0056 $\pm$ 0.0024,0.2149 $\pm$ 0.0
71,0.8065 $\pm$ 0.0,0.1712 $\pm$ 0.0444,0.2019 $\pm$ 0.0577,0.1888 $\pm$ 0.0556,1.0 $\pm$ 0.0
72,0.613 $\pm$ 0.0,0.0538 $\pm$ 0.0289,0.0823 $\pm$ 0.0475,0.0664 $\pm$ 0.0493,1.0 $\pm$ 0.0
73,0.1899 $\pm$ 0.0,0.0587 $\pm$ 0.0255,0.0739 $\pm$ 0.0332,0.0828 $\pm$ 0.0372,0.0745 $\pm$ 0.0
74,8.0029 $\pm$ 0.0,1.0366 $\pm$ 0.6401,1.2838 $\pm$ 0.8024,1.2114 $\pm$ 0.5548,9.9811 $\pm$ 0.0
75,3583333343.5236 $\pm$ 0.0,117021278.5929 $\pm$ 640951928.7735,426877987.6286 $\pm$ 1822771186.8203,2851798048.9578 $\pm$ 4659672424.2795,234500000000.0 $\pm$ 0.0
76,3583333343.5236 $\pm$ 0.0,117021278.5929 $\pm$ 640951928.7735,426877987.6286 $\pm$ 1822771186.8203,2851798048.9578 $\pm$ 4659672424.2795,234500000000.0 $\pm$ 0.0
