Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
54,0.1277 $\pm$ 0.0,0.0549 $\pm$ 0.0426,0.055 $\pm$ 0.0442,0.0796 $\pm$ 0.0636,1.0 $\pm$ 0.0
55,0.1914 $\pm$ 0.0,0.1045 $\pm$ 0.0797,0.0844 $\pm$ 0.0779,0.1274 $\pm$ 0.1131,1.0 $\pm$ 0.0
56,1.3141 $\pm$ 0.0,1.1258 $\pm$ 0.5813,1.0268 $\pm$ 0.7507,178571429.6709 $\pm$ 978075995.3816,22000000000.0 $\pm$ 0.0
57,0.1471 $\pm$ 0.0,0.0791 $\pm$ 0.047,0.0754 $\pm$ 0.05,0.1035 $\pm$ 0.0635,1.0 $\pm$ 0.0
58,0.2297 $\pm$ 0.0,0.0846 $\pm$ 0.0703,0.0906 $\pm$ 0.0874,875465538.7309 $\pm$ 4795122238.144,133371217497.6473 $\pm$ 0.0
59,0.1133 $\pm$ 0.0,0.19 $\pm$ 0.1125,0.1961 $\pm$ 0.1345,0.1889 $\pm$ 0.1348,2.0714 $\pm$ 0.0
60,0.1471 $\pm$ 0.0,0.0791 $\pm$ 0.047,0.0754 $\pm$ 0.05,0.1035 $\pm$ 0.0635,1.0 $\pm$ 0.0
61,0.2076 $\pm$ 0.0,0.1235 $\pm$ 0.088,0.1006 $\pm$ 0.0863,0.148 $\pm$ 0.1215,1.0 $\pm$ 0.0
63,0.1445 $\pm$ 0.0,0.0706 $\pm$ 0.0634,0.0538 $\pm$ 0.062,0.0872 $\pm$ 0.0941,1.0 $\pm$ 0.0
64,0.3109 $\pm$ 0.0,0.0788 $\pm$ 0.062,0.0963 $\pm$ 0.1202,23809523.9386 $\pm$ 130410132.7188,6769230769.2308 $\pm$ 0.0
65,0.1231 $\pm$ 0.0,0.0555 $\pm$ 0.0352,0.0558 $\pm$ 0.0403,0.0806 $\pm$ 0.0545,1.0 $\pm$ 0.0
66,0.0251 $\pm$ 0.0,0.0076 $\pm$ 0.0065,0.0085 $\pm$ 0.0074,0.0131 $\pm$ 0.0106,0.1949 $\pm$ 0.0
67,0.1748 $\pm$ 0.0,0.1535 $\pm$ 0.0696,0.1305 $\pm$ 0.077,0.1573 $\pm$ 0.0802,1.0 $\pm$ 0.0
68,0.137 $\pm$ 0.0,0.0455 $\pm$ 0.0378,0.0512 $\pm$ 0.0433,0.077 $\pm$ 0.0591,0.7794 $\pm$ 0.0
69,0.0776 $\pm$ 0.0,0.009 $\pm$ 0.0203,0.017 $\pm$ 0.0257,0.0288 $\pm$ 0.0435,1.0 $\pm$ 0.0
70,0.028 $\pm$ 0.0,0.0021 $\pm$ 0.0051,0.0038 $\pm$ 0.0057,0.0072 $\pm$ 0.0101,0.3077 $\pm$ 0.0
71,0.1987 $\pm$ 0.0,0.1408 $\pm$ 0.0695,0.1216 $\pm$ 0.0719,0.1604 $\pm$ 0.0828,1.0 $\pm$ 0.0
72,0.0897 $\pm$ 0.0,0.003 $\pm$ 0.047,-0.0 $\pm$ 0.0565,0.0297 $\pm$ 0.0855,1.0 $\pm$ 0.0
73,0.0663 $\pm$ 0.0,0.0574 $\pm$ 0.0349,0.047 $\pm$ 0.0286,0.0601 $\pm$ 0.0299,0.2435 $\pm$ 0.0
74,0.6833 $\pm$ 0.0,0.4373 $\pm$ 0.3416,0.3943 $\pm$ 0.309,0.5268 $\pm$ 0.4483,7.5934 $\pm$ 0.0
75,1.3949 $\pm$ 0.0,160000000.8651 $\pm$ 876356091.9938,56000000.778 $\pm$ 306724632.0559,619047619.9924 $\pm$ 3390663451.0791,94307692307.6923 $\pm$ 0.0
76,1.3949 $\pm$ 0.0,160000000.8651 $\pm$ 876356091.9938,56000000.778 $\pm$ 306724632.0559,619047619.9924 $\pm$ 3390663451.0791,94307692307.6923 $\pm$ 0.0
