Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
54,0.0815 $\pm$ 0.0,-0.0048 $\pm$ 0.0213,0.0259 $\pm$ 0.0455,0.0085 $\pm$ 0.0324,1.0 $\pm$ 0.0
55,0.0198 $\pm$ 0.0,-0.0381 $\pm$ 0.0888,0.0391 $\pm$ 0.0781,-0.0069 $\pm$ 0.0806,1.0 $\pm$ 0.0
56,1600000000.3486 $\pm$ 0.0,0.1958 $\pm$ 0.2698,84210526.662 $\pm$ 461240048.4197,0.2599 $\pm$ 0.3702,16000000000.0 $\pm$ 0.0
57,0.1231 $\pm$ 0.0,0.0103 $\pm$ 0.018,0.0359 $\pm$ 0.0481,0.0205 $\pm$ 0.0342,1.0 $\pm$ 0.0
58,6788225099.3632 $\pm$ 0.0,-0.0068 $\pm$ 0.0311,290285941.7818 $\pm$ 1589961584.2365,0.0154 $\pm$ 0.0537,61235447250.755 $\pm$ 0.0
59,0.1653 $\pm$ 0.0,0.0373 $\pm$ 0.0573,0.0989 $\pm$ 0.1211,0.0397 $\pm$ 0.0661,1.3798 $\pm$ 0.0
60,0.1231 $\pm$ 0.0,0.0103 $\pm$ 0.018,0.0359 $\pm$ 0.0481,0.0205 $\pm$ 0.0342,1.0 $\pm$ 0.0
61,0.025 $\pm$ 0.0,-0.0354 $\pm$ 0.0892,0.0464 $\pm$ 0.0853,-0.0033 $\pm$ 0.0843,1.0 $\pm$ 0.0
63,0.0127 $\pm$ 0.0,-0.0424 $\pm$ 0.0887,0.0253 $\pm$ 0.065,-0.0144 $\pm$ 0.0737,1.0 $\pm$ 0.0
64,400000000.02 $\pm$ 0.0,0.0098 $\pm$ 0.0178,15789473.7159 $\pm$ 86482509.0837,0.0276 $\pm$ 0.053,3500000000.0 $\pm$ 0.0
65,0.1167 $\pm$ 0.0,0.0075 $\pm$ 0.0131,0.0276 $\pm$ 0.041,0.016 $\pm$ 0.0274,1.0 $\pm$ 0.0
66,0.0156 $\pm$ 0.0,-0.0007 $\pm$ 0.0032,0.0038 $\pm$ 0.007,0.0015 $\pm$ 0.0052,0.1691 $\pm$ 0.0
67,0.15 $\pm$ 0.0,0.0301 $\pm$ 0.0423,0.0554 $\pm$ 0.0651,0.0368 $\pm$ 0.0458,1.0 $\pm$ 0.0
68,0.049 $\pm$ 0.0,-0.0063 $\pm$ 0.0234,0.0195 $\pm$ 0.0374,0.0067 $\pm$ 0.0304,0.6766 $\pm$ 0.0
69,0.1 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0079 $\pm$ 0.029,0.0058 $\pm$ 0.0167,1.0 $\pm$ 0.0
70,0.025 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0015 $\pm$ 0.0054,0.0013 $\pm$ 0.0036,0.2188 $\pm$ 0.0
71,0.1454 $\pm$ 0.0,0.0182 $\pm$ 0.0315,0.0554 $\pm$ 0.0669,0.0309 $\pm$ 0.0479,1.0 $\pm$ 0.0
72,-0.0091 $\pm$ 0.0,-0.0497 $\pm$ 0.0898,0.0076 $\pm$ 0.0544,-0.0235 $\pm$ 0.0673,1.0 $\pm$ 0.0
73,0.0457 $\pm$ 0.0,0.017 $\pm$ 0.0232,0.0201 $\pm$ 0.0205,0.0181 $\pm$ 0.0204,0.0 $\pm$ 0.0
74,0.4239 $\pm$ 0.0,-0.0339 $\pm$ 0.148,0.1821 $\pm$ 0.2999,0.0468 $\pm$ 0.2058,6.0835 $\pm$ 0.0
75,4800000000.15 $\pm$ 0.0,0.0846 $\pm$ 0.1596,205263158.1933 $\pm$ 1124272618.0402,0.21 $\pm$ 0.4168,43300000000.0 $\pm$ 0.0
76,4800000000.15 $\pm$ 0.0,0.0846 $\pm$ 0.1596,205263158.1933 $\pm$ 1124272618.0402,0.21 $\pm$ 0.4168,43300000000.0 $\pm$ 0.0
