Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
54,-0.0017 $\pm$ 0.0,0.0957 $\pm$ 0.0456,0.125 $\pm$ 0.0495,0.1278 $\pm$ 0.0662,1.0 $\pm$ 0.0
55,-0.0417 $\pm$ 0.0,0.1225 $\pm$ 0.061,0.164 $\pm$ 0.0683,0.1605 $\pm$ 0.0868,1.0 $\pm$ 0.0
56,0.3918 $\pm$ 0.0,1.4641 $\pm$ 0.8893,2.0424 $\pm$ 0.912,1.9473 $\pm$ 1.1013,16000000000.0 $\pm$ 0.0
57,0.0459 $\pm$ 0.0,0.1221 $\pm$ 0.0438,0.1568 $\pm$ 0.0485,0.1496 $\pm$ 0.0643,1.0 $\pm$ 0.0
58,-0.0026 $\pm$ 0.0,0.2071 $\pm$ 0.1254,0.2807 $\pm$ 0.1361,0.2823 $\pm$ 0.1639,76996071729.2018 $\pm$ 0.0
59,0.1014 $\pm$ 0.0,0.1425 $\pm$ 0.0686,0.2119 $\pm$ 0.0656,0.1705 $\pm$ 0.0656,1.0383 $\pm$ 0.0
60,0.0459 $\pm$ 0.0,0.1221 $\pm$ 0.0438,0.1568 $\pm$ 0.0485,0.1496 $\pm$ 0.0643,1.0 $\pm$ 0.0
61,-0.0376 $\pm$ 0.0,0.1334 $\pm$ 0.0639,0.1758 $\pm$ 0.0723,0.17 $\pm$ 0.0909,1.0 $\pm$ 0.0
63,-0.0473 $\pm$ 0.0,0.0982 $\pm$ 0.0554,0.1372 $\pm$ 0.0613,0.135 $\pm$ 0.0743,1.0 $\pm$ 0.0
64,0.0551 $\pm$ 0.0,0.3773 $\pm$ 0.3115,0.5222 $\pm$ 0.357,0.4884 $\pm$ 0.3623,5888888888.8889 $\pm$ 0.0
65,0.0412 $\pm$ 0.0,0.1099 $\pm$ 0.0421,0.1394 $\pm$ 0.0467,0.1369 $\pm$ 0.0591,1.0 $\pm$ 0.0
66,0.0007 $\pm$ 0.0,0.0198 $\pm$ 0.0101,0.0249 $\pm$ 0.0111,0.0256 $\pm$ 0.0138,0.2127 $\pm$ 0.0
67,0.0508 $\pm$ 0.0,0.1217 $\pm$ 0.0449,0.1613 $\pm$ 0.0489,0.1468 $\pm$ 0.0699,1.0 $\pm$ 0.0
68,0.0066 $\pm$ 0.0,0.1073 $\pm$ 0.0522,0.1319 $\pm$ 0.0584,0.1344 $\pm$ 0.0695,0.8507 $\pm$ 0.0
69,0.0 $\pm$ 0.0,0.0777 $\pm$ 0.0446,0.0946 $\pm$ 0.047,0.1032 $\pm$ 0.0575,1.0 $\pm$ 0.0
70,0.0 $\pm$ 0.0,0.0273 $\pm$ 0.0178,0.0317 $\pm$ 0.0197,0.0337 $\pm$ 0.0206,0.3681 $\pm$ 0.0
71,0.0865 $\pm$ 0.0,0.1616 $\pm$ 0.0497,0.2071 $\pm$ 0.0558,0.1869 $\pm$ 0.0728,1.0 $\pm$ 0.0
72,-0.0841 $\pm$ 0.0,0.0596 $\pm$ 0.0539,0.0841 $\pm$ 0.0564,0.102 $\pm$ 0.0673,1.0 $\pm$ 0.0
73,0.0733 $\pm$ 0.0,0.1333 $\pm$ 0.052,0.1637 $\pm$ 0.0634,0.1501 $\pm$ 0.061,0.1071 $\pm$ 0.0
74,-0.043 $\pm$ 0.0,0.5149 $\pm$ 0.2543,0.6994 $\pm$ 0.2675,0.716 $\pm$ 0.3558,5.1184 $\pm$ 0.0
75,0.2238 $\pm$ 0.0,2500426740.28 $\pm$ 3733088119.2138,4046701119.4222 $\pm$ 4143861310.777,3289382189.1902 $\pm$ 4533803456.1148,54444444444.4444 $\pm$ 0.0
76,0.2238 $\pm$ 0.0,2500426740.28 $\pm$ 3733088119.2138,4046701119.4222 $\pm$ 4143861310.777,3289382189.1902 $\pm$ 4533803456.1148,54444444444.4444 $\pm$ 0.0
