Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
54,0.0328 $\pm$ 0.0,0.0124 $\pm$ 0.0207,0.0287 $\pm$ 0.0382,0.0744 $\pm$ 0.0552,1.0 $\pm$ 0.0
55,-0.0029 $\pm$ 0.0,0.0241 $\pm$ 0.0538,0.0356 $\pm$ 0.0712,0.0953 $\pm$ 0.0821,1.0 $\pm$ 0.0
56,0.5449 $\pm$ 0.0,0.3901 $\pm$ 0.4342,0.3867 $\pm$ 0.4652,1.1792 $\pm$ 0.8804,24000000000.0 $\pm$ 0.0
57,0.0562 $\pm$ 0.0,0.0199 $\pm$ 0.0221,0.0328 $\pm$ 0.0414,0.0801 $\pm$ 0.0577,1.0 $\pm$ 0.0
58,0.057 $\pm$ 0.0,0.0187 $\pm$ 0.0323,0.0495 $\pm$ 0.066,0.137 $\pm$ 0.1044,164048773235.279 $\pm$ 0.0
59,0.0399 $\pm$ 0.0,0.0896 $\pm$ 0.152,0.0612 $\pm$ 0.0825,0.164 $\pm$ 0.1783,2.3059 $\pm$ 0.0
60,0.0562 $\pm$ 0.0,0.0199 $\pm$ 0.0221,0.0328 $\pm$ 0.0414,0.0801 $\pm$ 0.0577,1.0 $\pm$ 0.0
61,0.0063 $\pm$ 0.0,0.0283 $\pm$ 0.0569,0.0407 $\pm$ 0.0776,0.1035 $\pm$ 0.0871,1.0 $\pm$ 0.0
63,-0.0227 $\pm$ 0.0,0.0172 $\pm$ 0.0499,0.023 $\pm$ 0.0567,0.0705 $\pm$ 0.0669,1.0 $\pm$ 0.0
64,0.0959 $\pm$ 0.0,0.0154 $\pm$ 0.017,0.0538 $\pm$ 0.0741,0.1483 $\pm$ 0.1186,7285714285.7143 $\pm$ 0.0
65,0.0479 $\pm$ 0.0,0.0126 $\pm$ 0.0134,0.0263 $\pm$ 0.0333,0.0664 $\pm$ 0.0488,1.0 $\pm$ 0.0
66,0.0086 $\pm$ 0.0,0.0012 $\pm$ 0.0017,0.005 $\pm$ 0.0066,0.0119 $\pm$ 0.0095,0.2014 $\pm$ 0.0
67,0.0833 $\pm$ 0.0,0.0488 $\pm$ 0.0463,0.0492 $\pm$ 0.0573,0.1068 $\pm$ 0.0723,1.0 $\pm$ 0.0
68,0.0497 $\pm$ 0.0,0.0069 $\pm$ 0.0107,0.0274 $\pm$ 0.0362,0.0661 $\pm$ 0.0548,0.8056 $\pm$ 0.0
69,0.0294 $\pm$ 0.0,0.002 $\pm$ 0.0077,0.0127 $\pm$ 0.0204,0.0447 $\pm$ 0.0397,1.0 $\pm$ 0.0
70,0.0104 $\pm$ 0.0,0.0002 $\pm$ 0.0006,0.0035 $\pm$ 0.0059,0.0091 $\pm$ 0.0089,0.3036 $\pm$ 0.0
71,0.0832 $\pm$ 0.0,0.0388 $\pm$ 0.0382,0.0448 $\pm$ 0.057,0.1017 $\pm$ 0.0716,1.0 $\pm$ 0.0
72,-0.0479 $\pm$ 0.0,-0.0062 $\pm$ 0.033,0.0124 $\pm$ 0.0449,0.0532 $\pm$ 0.0585,1.0 $\pm$ 0.0
73,0.0489 $\pm$ 0.0,0.0119 $\pm$ 0.0121,0.0136 $\pm$ 0.0168,0.0377 $\pm$ 0.0385,0.2351 $\pm$ 0.0
74,0.0885 $\pm$ 0.0,0.1559 $\pm$ 0.3233,0.1729 $\pm$ 0.2541,0.5221 $\pm$ 0.4057,8.4286 $\pm$ 0.0
75,0.3857 $\pm$ 0.0,0.2574 $\pm$ 0.3997,0.351 $\pm$ 0.4507,1.4451 $\pm$ 1.1804,116000000000.0 $\pm$ 0.0
76,0.3857 $\pm$ 0.0,0.2574 $\pm$ 0.3997,0.351 $\pm$ 0.4507,1.4451 $\pm$ 1.1804,116000000000.0 $\pm$ 0.0
