Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
12,2.0 $\pm$ 0.0,0.1453 $\pm$ 0.1077,0.0766 $\pm$ 0.0943,0.1321 $\pm$ 0.1344,3.5 $\pm$ 0.0
13,13.0 $\pm$ 0.0,1.618 $\pm$ 0.971,1.4133 $\pm$ 1.105,1.842 $\pm$ 1.2654,16.0 $\pm$ 0.0
14,0.125 $\pm$ 0.0,0.0088 $\pm$ 0.0065,0.0043 $\pm$ 0.0052,0.0073 $\pm$ 0.0075,0.2188 $\pm$ 0.0
31,0.1632 $\pm$ 0.0,0.0107 $\pm$ 0.0073,0.0061 $\pm$ 0.0077,0.0115 $\pm$ 0.0133,0.3 $\pm$ 0.0
32,0.9181 $\pm$ 0.0,-0.3712 $\pm$ 0.8504,-1.2905 $\pm$ 1.5631,-1.1201 $\pm$ 1.5955,1.5419 $\pm$ 0.0
33,0.5583 $\pm$ 0.0,0.0394 $\pm$ 0.0279,0.0212 $\pm$ 0.0255,0.0381 $\pm$ 0.0389,1.0 $\pm$ 0.0
34,2.6111 $\pm$ 0.0,0.1774 $\pm$ 0.1219,0.1096 $\pm$ 0.1386,0.2066 $\pm$ 0.2398,4.8 $\pm$ 0.0
35,3.1389 $\pm$ 0.0,0.0953 $\pm$ 0.1109,0.1094 $\pm$ 0.1209,0.2108 $\pm$ 0.2907,11.5833 $\pm$ 0.0
36,0.3354 $\pm$ 0.0,0.0136 $\pm$ 0.0121,0.0096 $\pm$ 0.0121,0.02 $\pm$ 0.0273,1.0 $\pm$ 0.0
37,0.1167 $\pm$ 0.0,-0.0633 $\pm$ 0.0542,-0.0715 $\pm$ 0.0771,-0.0664 $\pm$ 0.0782,1.0 $\pm$ 0.0
38,0.5583 $\pm$ 0.0,0.0394 $\pm$ 0.0279,0.0212 $\pm$ 0.0255,0.0381 $\pm$ 0.0389,1.0 $\pm$ 0.0
39,0.1167 $\pm$ 0.0,-0.0633 $\pm$ 0.0542,-0.0715 $\pm$ 0.0771,-0.0664 $\pm$ 0.0782,1.0 $\pm$ 0.0
40,0.4221 $\pm$ 0.0,0.0003 $\pm$ 0.0485,-0.0475 $\pm$ 0.0839,-0.0286 $\pm$ 0.0869,0.643 $\pm$ 0.0
41,0.5583 $\pm$ 0.0,0.0396 $\pm$ 0.0279,0.0213 $\pm$ 0.0257,0.0383 $\pm$ 0.039,1.0 $\pm$ 0.0
42,0.5583 $\pm$ 0.0,0.0396 $\pm$ 0.0279,0.0213 $\pm$ 0.0257,0.0383 $\pm$ 0.039,1.0 $\pm$ 0.0
43,1.1167 $\pm$ 0.0,0.0792 $\pm$ 0.0559,0.0426 $\pm$ 0.0513,0.0767 $\pm$ 0.0781,2.0 $\pm$ 0.0
44,1.3583 $\pm$ 0.0,0.0339 $\pm$ 0.0663,-0.0025 $\pm$ 0.0937,0.0456 $\pm$ 0.1308,3.125 $\pm$ 0.0
45,0.5583 $\pm$ 0.0,0.0429 $\pm$ 0.0291,0.0224 $\pm$ 0.0272,0.0414 $\pm$ 0.0417,1.0 $\pm$ 0.0
46,0.5583 $\pm$ 0.0,0.0363 $\pm$ 0.0269,0.0202 $\pm$ 0.0245,0.0353 $\pm$ 0.0367,1.0 $\pm$ 0.0
47,-1.1917 $\pm$ 0.0,-0.2404 $\pm$ 0.1456,-0.2005 $\pm$ 0.1657,-0.2423 $\pm$ 0.1743,-0.75 $\pm$ 0.0
48,0.4377 $\pm$ 0.0,0.0121 $\pm$ 0.0216,-0.0032 $\pm$ 0.032,0.0125 $\pm$ 0.0425,1.0 $\pm$ 0.0
49,0.7189 $\pm$ 0.0,0.0759 $\pm$ 0.0461,0.0571 $\pm$ 0.0445,0.0789 $\pm$ 0.0558,1.0 $\pm$ 0.0
50,0.3099 $\pm$ 0.0,0.0349 $\pm$ 0.0206,0.0288 $\pm$ 0.0234,0.0376 $\pm$ 0.0266,0.3802 $\pm$ 0.0
51,3.6201 $\pm$ 0.0,0.0799 $\pm$ 0.1052,0.1493 $\pm$ 0.1246,0.2837 $\pm$ 0.4486,16.0 $\pm$ 0.0
52,0.3868 $\pm$ 0.0,0.0202 $\pm$ 0.0173,0.0286 $\pm$ 0.0223,0.037 $\pm$ 0.0318,0.7071 $\pm$ 0.0
53,0.1589 $\pm$ 0.0,0.0119 $\pm$ 0.0078,0.0135 $\pm$ 0.0104,0.017 $\pm$ 0.0129,0.2425 $\pm$ 0.0
54,0.4377 $\pm$ 0.0,0.0109 $\pm$ 0.0208,-0.0006 $\pm$ 0.0273,0.0132 $\pm$ 0.0376,1.0 $\pm$ 0.0
55,0.6771 $\pm$ 0.0,0.0103 $\pm$ 0.055,-0.0388 $\pm$ 0.0885,-0.0145 $\pm$ 0.0947,1.0 $\pm$ 0.0
56,5.0 $\pm$ 0.0,0.3215 $\pm$ 0.1962,0.2846 $\pm$ 0.2427,70588235.6838 $\pm$ 386627687.612,16000000000.0 $\pm$ 0.0
57,0.4956 $\pm$ 0.0,0.0319 $\pm$ 0.0229,0.0183 $\pm$ 0.0221,0.0335 $\pm$ 0.0354,1.0 $\pm$ 0.0
58,0.7514 $\pm$ 0.0,0.016 $\pm$ 0.0309,-0.0001 $\pm$ 0.0405,177469937.2552 $\pm$ 972042879.0373,61235447250.755 $\pm$ 0.0
59,1.0735 $\pm$ 0.0,0.0573 $\pm$ 0.0535,0.0637 $\pm$ 0.0742,0.0892 $\pm$ 0.0904,1.3798 $\pm$ 0.0
60,0.4956 $\pm$ 0.0,0.0319 $\pm$ 0.0229,0.0183 $\pm$ 0.0221,0.0335 $\pm$ 0.0354,1.0 $\pm$ 0.0
61,0.7534 $\pm$ 0.0,0.017 $\pm$ 0.0589,-0.0342 $\pm$ 0.0914,-0.0081 $\pm$ 0.0981,1.0 $\pm$ 0.0
63,0.4978 $\pm$ 0.0,-0.0002 $\pm$ 0.0491,-0.0473 $\pm$ 0.0837,-0.0267 $\pm$ 0.0882,1.0 $\pm$ 0.0
64,0.8 $\pm$ 0.0,0.0307 $\pm$ 0.0249,0.0196 $\pm$ 0.0242,7843137.2896 $\pm$ 42958631.9546,3500000000.0 $\pm$ 0.0
65,0.4033 $\pm$ 0.0,0.0237 $\pm$ 0.0176,0.0137 $\pm$ 0.0166,0.0263 $\pm$ 0.0302,1.0 $\pm$ 0.0
66,0.0754 $\pm$ 0.0,0.002 $\pm$ 0.0036,0.0 $\pm$ 0.0042,0.002 $\pm$ 0.0056,0.1691 $\pm$ 0.0
67,0.625 $\pm$ 0.0,0.0527 $\pm$ 0.0319,0.0429 $\pm$ 0.0365,0.0616 $\pm$ 0.0466,1.0 $\pm$ 0.0
68,0.417 $\pm$ 0.0,0.0122 $\pm$ 0.024,-0.0034 $\pm$ 0.0284,0.0077 $\pm$ 0.0344,0.6766 $\pm$ 0.0
69,0.1833 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0079 $\pm$ 0.0239,1.0 $\pm$ 0.0
70,0.0437 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0013 $\pm$ 0.0034,0.2188 $\pm$ 0.0
71,0.6806 $\pm$ 0.0,0.0587 $\pm$ 0.0395,0.029 $\pm$ 0.0346,0.0506 $\pm$ 0.0476,1.0 $\pm$ 0.0
72,0.3612 $\pm$ 0.0,-0.0251 $\pm$ 0.0471,-0.0562 $\pm$ 0.08,-0.0419 $\pm$ 0.0825,1.0 $\pm$ 0.0
73,0.2188 $\pm$ 0.0,0.0333 $\pm$ 0.0198,0.0217 $\pm$ 0.0172,0.0255 $\pm$ 0.0186,0.0 $\pm$ 0.0
74,2.6146 $\pm$ 0.0,0.0603 $\pm$ 0.1218,-0.0061 $\pm$ 0.185,0.0929 $\pm$ 0.2813,6.0835 $\pm$ 0.0
75,5.6 $\pm$ 0.0,0.2173 $\pm$ 0.1655,0.1664 $\pm$ 0.2206,125490196.3532 $\pm$ 687338111.3271,43300000000.0 $\pm$ 0.0
76,5.6 $\pm$ 0.0,0.2173 $\pm$ 0.1655,0.1664 $\pm$ 0.2206,125490196.3532 $\pm$ 687338111.3271,43300000000.0 $\pm$ 0.0
