Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.4033 $\pm$ 0.0,0.0237 $\pm$ 0.0176,0.0137 $\pm$ 0.0166,0.0263 $\pm$ 0.0302,1.0 $\pm$ 0.0
2,0.5583 $\pm$ 0.0,0.0391 $\pm$ 0.0278,0.0211 $\pm$ 0.0254,0.0379 $\pm$ 0.0387,1.0 $\pm$ 0.0
3,0.5583 $\pm$ 0.0,0.0391 $\pm$ 0.0278,0.0211 $\pm$ 0.0254,0.0379 $\pm$ 0.0387,1.0 $\pm$ 0.0
4,0.6462 $\pm$ 0.0,0.0502 $\pm$ 0.0348,0.0259 $\pm$ 0.031,0.0454 $\pm$ 0.0444,1.0 $\pm$ 0.0
5,0.5583 $\pm$ 0.0,0.0391 $\pm$ 0.0278,0.0211 $\pm$ 0.0254,0.0379 $\pm$ 0.0387,1.0 $\pm$ 0.0
6,0.2641 $\pm$ 0.0,0.0134 $\pm$ 0.0102,0.008 $\pm$ 0.0098,0.0174 $\pm$ 0.0246,1.0 $\pm$ 0.0
7,0.8125 $\pm$ 0.0,0.0976 $\pm$ 0.0582,0.0785 $\pm$ 0.0614,0.1023 $\pm$ 0.0703,1.0 $\pm$ 0.0
8,0.8952 $\pm$ 0.0,0.1157 $\pm$ 0.0694,0.0927 $\pm$ 0.0724,0.1188 $\pm$ 0.0812,1.0 $\pm$ 0.0
9,0.6889 $\pm$ 0.0,0.0745 $\pm$ 0.0443,0.0606 $\pm$ 0.0476,0.081 $\pm$ 0.0568,1.0 $\pm$ 0.0
10,0.4688 $\pm$ 0.0,0.0532 $\pm$ 0.0319,0.0414 $\pm$ 0.0324,0.0548 $\pm$ 0.038,0.6094 $\pm$ 0.0
11,0.8952 $\pm$ 0.0,0.1157 $\pm$ 0.0694,0.0927 $\pm$ 0.0724,0.1188 $\pm$ 0.0812,1.0 $\pm$ 0.0
