Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.0 $\pm$ 0.0,0.0828 $\pm$ 0.0236,0.0722 $\pm$ 0.0241,0.0791 $\pm$ 0.0288,1.0 $\pm$ 0.0
2,0.0 $\pm$ 0.0,0.121 $\pm$ 0.03,0.1063 $\pm$ 0.0345,0.1149 $\pm$ 0.0382,1.0 $\pm$ 0.0
3,0.0 $\pm$ 0.0,0.121 $\pm$ 0.03,0.1063 $\pm$ 0.0345,0.1149 $\pm$ 0.0382,1.0 $\pm$ 0.0
4,0.0 $\pm$ 0.0,0.1453 $\pm$ 0.0344,0.1272 $\pm$ 0.0408,0.1368 $\pm$ 0.0434,1.0 $\pm$ 0.0
5,0.0 $\pm$ 0.0,0.121 $\pm$ 0.03,0.1063 $\pm$ 0.0345,0.1149 $\pm$ 0.0382,1.0 $\pm$ 0.0
6,0.0 $\pm$ 0.0,0.0529 $\pm$ 0.0195,0.0446 $\pm$ 0.0153,0.0496 $\pm$ 0.0199,1.0 $\pm$ 0.0
7,0.1463 $\pm$ 0.0,0.2485 $\pm$ 0.057,0.2036 $\pm$ 0.0687,0.216 $\pm$ 0.0642,1.0 $\pm$ 0.0
8,0.1689 $\pm$ 0.0,0.2697 $\pm$ 0.0633,0.221 $\pm$ 0.0754,0.2352 $\pm$ 0.0694,1.0 $\pm$ 0.0
9,0.1155 $\pm$ 0.0,0.2159 $\pm$ 0.0477,0.1769 $\pm$ 0.0586,0.1872 $\pm$ 0.0566,1.0 $\pm$ 0.0
10,0.0731 $\pm$ 0.0,0.1328 $\pm$ 0.0302,0.11 $\pm$ 0.0371,0.1168 $\pm$ 0.0342,0.6075 $\pm$ 0.0
11,0.1689 $\pm$ 0.0,0.2697 $\pm$ 0.0633,0.221 $\pm$ 0.0754,0.2352 $\pm$ 0.0694,1.0 $\pm$ 0.0
12,0.0 $\pm$ 0.0,0.8882 $\pm$ 0.2727,0.8815 $\pm$ 0.3668,1.0051 $\pm$ 0.3256,8.1667 $\pm$ 0.0
13,7.9 $\pm$ 0.0,12.5569 $\pm$ 2.8901,10.4957 $\pm$ 3.6754,11.9412 $\pm$ 3.777,38.0 $\pm$ 0.0
14,0.0 $\pm$ 0.0,0.0176 $\pm$ 0.0056,0.0172 $\pm$ 0.0071,0.0183 $\pm$ 0.0059,0.2149 $\pm$ 0.0
31,0.0 $\pm$ 0.0,0.0247 $\pm$ 0.0175,0.0168 $\pm$ 0.0049,0.0173 $\pm$ 0.0072,0.23 $\pm$ 0.0
32,-4.0888 $\pm$ 0.0,0.0078 $\pm$ 0.4375,0.1342 $\pm$ 0.3119,0.2082 $\pm$ 0.252,1.8673 $\pm$ 0.0
33,0.0 $\pm$ 0.0,0.1239 $\pm$ 0.0307,0.1093 $\pm$ 0.0354,0.1183 $\pm$ 0.0385,1.0 $\pm$ 0.0
34,0.0 $\pm$ 0.0,1.2358 $\pm$ 0.8351,0.8626 $\pm$ 0.2546,0.9568 $\pm$ 0.4072,8.7397 $\pm$ 0.0
35,0.0695 $\pm$ 0.0,2.1957 $\pm$ 0.7911,2.1791 $\pm$ 0.8953,2.6615 $\pm$ 1.1103,32.6849 $\pm$ 0.0
36,0.0 $\pm$ 0.0,0.0641 $\pm$ 0.0227,0.0573 $\pm$ 0.0205,0.0637 $\pm$ 0.0259,1.0 $\pm$ 0.0
37,-0.2 $\pm$ 0.0,-0.0415 $\pm$ 0.0595,-0.0171 $\pm$ 0.0394,-0.0148 $\pm$ 0.0415,1.0 $\pm$ 0.0
38,0.0 $\pm$ 0.0,0.1239 $\pm$ 0.0307,0.1093 $\pm$ 0.0354,0.1183 $\pm$ 0.0385,1.0 $\pm$ 0.0
39,-0.2 $\pm$ 0.0,-0.0415 $\pm$ 0.0595,-0.0171 $\pm$ 0.0394,-0.0148 $\pm$ 0.0415,1.0 $\pm$ 0.0
40,-0.2 $\pm$ 0.0,0.1218 $\pm$ 0.0407,0.1106 $\pm$ 0.035,0.1184 $\pm$ 0.0392,0.6988 $\pm$ 0.0
41,0.0 $\pm$ 0.0,0.1272 $\pm$ 0.0314,0.1127 $\pm$ 0.0365,0.1223 $\pm$ 0.039,1.0 $\pm$ 0.0
42,0.0 $\pm$ 0.0,0.1272 $\pm$ 0.0314,0.1127 $\pm$ 0.0365,0.1223 $\pm$ 0.039,1.0 $\pm$ 0.0
43,0.0 $\pm$ 0.0,0.2544 $\pm$ 0.0628,0.2254 $\pm$ 0.073,0.2447 $\pm$ 0.0781,2.0 $\pm$ 0.0
44,-0.176 $\pm$ 0.0,0.5959 $\pm$ 0.1807,0.5298 $\pm$ 0.1712,0.5951 $\pm$ 0.2246,5.0289 $\pm$ 0.0
