Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,2.8846 $\pm$ 0.0,2.7731 $\pm$ 0.6521,2.2704 $\pm$ 0.4662,1.8152 $\pm$ 0.3212,0.0 $\pm$ 0.0
16,1.4957 $\pm$ 0.0,1.4836 $\pm$ 0.1702,1.2998 $\pm$ 0.1245,1.1863 $\pm$ 0.0926,0.0 $\pm$ 0.0
17,2.8846 $\pm$ 0.0,2.7731 $\pm$ 0.6521,2.2704 $\pm$ 0.4662,1.8152 $\pm$ 0.3212,0.0 $\pm$ 0.0
18,2.8846 $\pm$ 0.0,2.7731 $\pm$ 0.6521,2.2704 $\pm$ 0.4662,1.8152 $\pm$ 0.3212,0.0 $\pm$ 0.0
19,2.8846 $\pm$ 0.0,2.7731 $\pm$ 0.6521,2.2704 $\pm$ 0.4662,1.8152 $\pm$ 0.3212,0.0 $\pm$ 0.0
20,0.7608 $\pm$ 0.0,0.7665 $\pm$ 0.0791,0.7507 $\pm$ 0.0714,0.7319 $\pm$ 0.049,0.0 $\pm$ 0.0
21,2.8846 $\pm$ 0.0,2.7731 $\pm$ 0.6521,2.2704 $\pm$ 0.4662,1.8152 $\pm$ 0.3212,0.0 $\pm$ 0.0
22,2.8846 $\pm$ 0.0,2.7731 $\pm$ 0.6521,2.2704 $\pm$ 0.4662,1.8152 $\pm$ 0.3212,0.0 $\pm$ 0.0
23,0.7094 $\pm$ 0.0,0.7111 $\pm$ 0.0965,0.709 $\pm$ 0.0846,0.7017 $\pm$ 0.0568,0.0 $\pm$ 0.0
24,0.7098 $\pm$ 0.0,0.712 $\pm$ 0.0967,0.709 $\pm$ 0.0848,0.6994 $\pm$ 0.0572,0.0 $\pm$ 0.0
25,0.7606 $\pm$ 0.0,0.7644 $\pm$ 0.0795,0.7493 $\pm$ 0.0719,0.7315 $\pm$ 0.0492,0.0 $\pm$ 0.0
26,0.7096 $\pm$ 0.0,0.7098 $\pm$ 0.0972,0.7075 $\pm$ 0.0854,0.6989 $\pm$ 0.0574,0.0 $\pm$ 0.0
27,1.0 $\pm$ 0.0,0.9081 $\pm$ 0.0371,0.8387 $\pm$ 0.0576,0.8062 $\pm$ 0.045,0.0 $\pm$ 0.0
28,1.0 $\pm$ 0.0,0.9081 $\pm$ 0.0371,0.8387 $\pm$ 0.0576,0.8062 $\pm$ 0.045,0.0 $\pm$ 0.0
29,1.3077 $\pm$ 0.0,1.2008 $\pm$ 0.0707,1.0559 $\pm$ 0.0433,1.0026 $\pm$ 0.0386,0.0 $\pm$ 0.0
30,1.1275 $\pm$ 0.0,1.052 $\pm$ 0.0243,0.9503 $\pm$ 0.0308,0.9115 $\pm$ 0.0308,0.0 $\pm$ 0.0
62,1.3077 $\pm$ 0.0,0.9141 $\pm$ 0.0847,0.808 $\pm$ 0.0762,0.7575 $\pm$ 0.0568,0.0 $\pm$ 0.0
