Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
54,-0.0067 $\pm$ 0.0,0.0429 $\pm$ 0.0329,0.1553 $\pm$ 0.0452,0.2522 $\pm$ 0.0628,1.0 $\pm$ 0.0
55,-0.1194 $\pm$ 0.0,0.0734 $\pm$ 0.0821,0.2122 $\pm$ 0.0585,0.2991 $\pm$ 0.0592,1.0 $\pm$ 0.0
56,1.3133 $\pm$ 0.0,0.7703 $\pm$ 0.3833,2031827928.838 $\pm$ 1280695252.3802,4584757835.3315 $\pm$ 2146651310.7498,22000000000.0 $\pm$ 0.0
57,0.0471 $\pm$ 0.0,0.067 $\pm$ 0.037,0.172 $\pm$ 0.0437,0.2644 $\pm$ 0.0621,1.0 $\pm$ 0.0
58,-0.0093 $\pm$ 0.0,0.0642 $\pm$ 0.0507,4307254955.658 $\pm$ 4304034933.2688,13243582391.6875 $\pm$ 8962914576.4818,133371217497.6473 $\pm$ 0.0
59,0.1689 $\pm$ 0.0,0.1069 $\pm$ 0.0578,1.077 $\pm$ 0.5706,1.4201 $\pm$ 0.189,2.0714 $\pm$ 0.0
60,0.0471 $\pm$ 0.0,0.067 $\pm$ 0.037,0.172 $\pm$ 0.0437,0.2644 $\pm$ 0.0621,1.0 $\pm$ 0.0
61,-0.1105 $\pm$ 0.0,0.0909 $\pm$ 0.0888,0.2289 $\pm$ 0.0653,0.3148 $\pm$ 0.0608,1.0 $\pm$ 0.0
63,-0.1349 $\pm$ 0.0,0.0436 $\pm$ 0.0702,0.1748 $\pm$ 0.0467,0.266 $\pm$ 0.0594,1.0 $\pm$ 0.0
64,0.0358 $\pm$ 0.0,0.0672 $\pm$ 0.0485,127556729.8964 $\pm$ 137810037.8389,428892009.3251 $\pm$ 260348376.004,6769230769.2308 $\pm$ 0.0
65,0.0306 $\pm$ 0.0,0.0486 $\pm$ 0.0295,0.1502 $\pm$ 0.0439,0.2485 $\pm$ 0.0655,1.0 $\pm$ 0.0
66,-0.0012 $\pm$ 0.0,0.007 $\pm$ 0.0059,0.0165 $\pm$ 0.0076,0.0274 $\pm$ 0.0087,0.1949 $\pm$ 0.0
67,0.2048 $\pm$ 0.0,0.1206 $\pm$ 0.0586,0.2126 $\pm$ 0.0519,0.2745 $\pm$ 0.0579,1.0 $\pm$ 0.0
68,-0.0119 $\pm$ 0.0,0.0444 $\pm$ 0.0374,0.0883 $\pm$ 0.0443,0.1372 $\pm$ 0.0467,0.7794 $\pm$ 0.0
69,0.0 $\pm$ 0.0,0.0076 $\pm$ 0.012,0.1021 $\pm$ 0.0509,0.2154 $\pm$ 0.0687,1.0 $\pm$ 0.0
70,0.0 $\pm$ 0.0,0.0021 $\pm$ 0.0036,0.011 $\pm$ 0.0088,0.0255 $\pm$ 0.0106,0.3077 $\pm$ 0.0
71,0.1022 $\pm$ 0.0,0.1168 $\pm$ 0.0585,0.2207 $\pm$ 0.054,0.2972 $\pm$ 0.0621,1.0 $\pm$ 0.0
72,-0.1956 $\pm$ 0.0,-0.0088 $\pm$ 0.0689,0.1295 $\pm$ 0.0527,0.2274 $\pm$ 0.0695,1.0 $\pm$ 0.0
73,0.0618 $\pm$ 0.0,0.0439 $\pm$ 0.0256,0.0512 $\pm$ 0.029,0.0487 $\pm$ 0.0373,0.2435 $\pm$ 0.0
74,-0.0294 $\pm$ 0.0,0.2752 $\pm$ 0.2049,2.2708 $\pm$ 0.8836,3.2831 $\pm$ 0.7106,7.5934 $\pm$ 0.0
75,0.4454 $\pm$ 0.0,0.5412 $\pm$ 0.294,3045689188.4312 $\pm$ 3043412287.4382,9364626916.9106 $\pm$ 6337737676.0645,94307692307.6923 $\pm$ 0.0
76,0.4454 $\pm$ 0.0,0.5412 $\pm$ 0.294,3045689188.4312 $\pm$ 3043412287.4382,9364626916.9106 $\pm$ 6337737676.0645,94307692307.6923 $\pm$ 0.0
