Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.603 $\pm$ 0.0,0.2508 $\pm$ 0.0439,0.2604 $\pm$ 0.0724,0.2985 $\pm$ 0.0854,1.0 $\pm$ 0.0
2,0.7405 $\pm$ 0.0,0.3007 $\pm$ 0.0501,0.2933 $\pm$ 0.0717,0.3381 $\pm$ 0.0804,1.0 $\pm$ 0.0
3,0.7405 $\pm$ 0.0,0.3007 $\pm$ 0.0501,0.2933 $\pm$ 0.0717,0.3381 $\pm$ 0.0804,1.0 $\pm$ 0.0
4,0.8063 $\pm$ 0.0,0.3288 $\pm$ 0.0553,0.3121 $\pm$ 0.0725,0.3616 $\pm$ 0.0779,1.0 $\pm$ 0.0
5,0.7405 $\pm$ 0.0,0.3007 $\pm$ 0.0501,0.2933 $\pm$ 0.0717,0.3381 $\pm$ 0.0804,1.0 $\pm$ 0.0
6,0.4526 $\pm$ 0.0,0.2053 $\pm$ 0.0413,0.2313 $\pm$ 0.075,0.265 $\pm$ 0.0906,1.0 $\pm$ 0.0
7,0.8876 $\pm$ 0.0,0.3829 $\pm$ 0.0712,0.3431 $\pm$ 0.0729,0.4055 $\pm$ 0.0692,1.0 $\pm$ 0.0
8,0.9395 $\pm$ 0.0,0.4114 $\pm$ 0.083,0.3632 $\pm$ 0.0778,0.4317 $\pm$ 0.0687,1.0 $\pm$ 0.0
9,0.8027 $\pm$ 0.0,0.3417 $\pm$ 0.0563,0.3146 $\pm$ 0.0679,0.3686 $\pm$ 0.0717,1.0 $\pm$ 0.0
10,0.5281 $\pm$ 0.0,0.2167 $\pm$ 0.0422,0.1952 $\pm$ 0.044,0.2306 $\pm$ 0.0424,0.6538 $\pm$ 0.0
11,0.9395 $\pm$ 0.0,0.4114 $\pm$ 0.083,0.3632 $\pm$ 0.0778,0.4317 $\pm$ 0.0687,1.0 $\pm$ 0.0
12,5.0 $\pm$ 0.0,1.3337 $\pm$ 0.4185,1.164 $\pm$ 0.415,1.4027 $\pm$ 0.4145,6.7692 $\pm$ 0.0
13,23.0769 $\pm$ 0.0,9.9461 $\pm$ 1.9014,8.4428 $\pm$ 1.9011,10.0674 $\pm$ 1.8295,22.0 $\pm$ 0.0
14,0.1923 $\pm$ 0.0,0.0516 $\pm$ 0.0172,0.0475 $\pm$ 0.0169,0.0569 $\pm$ 0.0177,0.3077 $\pm$ 0.0
31,0.2144 $\pm$ 0.0,0.1291 $\pm$ 0.0158,0.1302 $\pm$ 0.0184,0.1387 $\pm$ 0.0213,0.2866 $\pm$ 0.0
32,1.4513 $\pm$ 0.0,0.6512 $\pm$ 0.0676,0.631 $\pm$ 0.1241,0.6983 $\pm$ 0.14,1.6766 $\pm$ 0.0
33,0.7405 $\pm$ 0.0,0.3048 $\pm$ 0.0516,0.297 $\pm$ 0.0716,0.3414 $\pm$ 0.0793,1.0 $\pm$ 0.0
34,5.5744 $\pm$ 0.0,3.349 $\pm$ 0.3931,3.2005 $\pm$ 0.4878,3.4357 $\pm$ 0.4971,6.3059 $\pm$ 0.0
35,10.3832 $\pm$ 0.0,3.3476 $\pm$ 0.9159,3.5148 $\pm$ 1.4685,4.1532 $\pm$ 1.6009,17.526 $\pm$ 0.0
36,0.5631 $\pm$ 0.0,0.2328 $\pm$ 0.0445,0.2492 $\pm$ 0.0739,0.2824 $\pm$ 0.0886,1.0 $\pm$ 0.0
37,0.4811 $\pm$ 0.0,0.1694 $\pm$ 0.0653,0.212 $\pm$ 0.0856,0.2232 $\pm$ 0.1039,1.0 $\pm$ 0.0
38,0.7405 $\pm$ 0.0,0.3048 $\pm$ 0.0516,0.297 $\pm$ 0.0716,0.3414 $\pm$ 0.0793,1.0 $\pm$ 0.0
39,0.4811 $\pm$ 0.0,0.1694 $\pm$ 0.0653,0.212 $\pm$ 0.0856,0.2232 $\pm$ 0.1039,1.0 $\pm$ 0.0
40,0.5895 $\pm$ 0.0,0.2423 $\pm$ 0.0282,0.2309 $\pm$ 0.0478,0.2604 $\pm$ 0.0541,0.6629 $\pm$ 0.0
41,0.7405 $\pm$ 0.0,0.3092 $\pm$ 0.0534,0.3011 $\pm$ 0.0715,0.345 $\pm$ 0.0782,1.0 $\pm$ 0.0
42,0.7405 $\pm$ 0.0,0.3092 $\pm$ 0.0534,0.3011 $\pm$ 0.0715,0.345 $\pm$ 0.0782,1.0 $\pm$ 0.0
43,1.4811 $\pm$ 0.0,0.6185 $\pm$ 0.1068,0.6022 $\pm$ 0.1431,0.6899 $\pm$ 0.1563,2.0 $\pm$ 0.0
44,2.668 $\pm$ 0.0,1.1301 $\pm$ 0.1482,1.1317 $\pm$ 0.2982,1.2733 $\pm$ 0.3366,3.7064 $\pm$ 0.0
45,0.7405 $\pm$ 0.0,0.3401 $\pm$ 0.0657,0.3273 $\pm$ 0.0738,0.3718 $\pm$ 0.0735,1.0 $\pm$ 0.0
46,0.7405 $\pm$ 0.0,0.2813 $\pm$ 0.0441,0.2755 $\pm$ 0.0713,0.3199 $\pm$ 0.0839,1.0 $\pm$ 0.0
47,-1.6176 $\pm$ 0.0,-0.8938 $\pm$ 0.3935,-0.6574 $\pm$ 0.3046,-0.8386 $\pm$ 0.2254,-1.3077 $\pm$ 0.0
48,0.6596 $\pm$ 0.0,0.299 $\pm$ 0.0538,0.2986 $\pm$ 0.0727,0.3321 $\pm$ 0.0784,1.0 $\pm$ 0.0
49,0.8298 $\pm$ 0.0,0.3605 $\pm$ 0.0638,0.3342 $\pm$ 0.0729,0.3891 $\pm$ 0.0721,1.0 $\pm$ 0.0
50,0.3046 $\pm$ 0.0,0.1678 $\pm$ 0.0222,0.1587 $\pm$ 0.0205,0.174 $\pm$ 0.0214,0.3452 $\pm$ 0.0
51,11.856 $\pm$ 0.0,5.1073 $\pm$ 0.9985,5.4841 $\pm$ 1.9402,6.1676 $\pm$ 2.1759,22.0 $\pm$ 0.0
