Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
52,0.4877 $\pm$ 0.0,0.0737 $\pm$ 0.03,0.0813 $\pm$ 0.032,0.0773 $\pm$ 0.0327,0.7071 $\pm$ 0.0
53,0.1107 $\pm$ 0.0,0.0211 $\pm$ 0.0074,0.0221 $\pm$ 0.0082,0.0205 $\pm$ 0.0081,0.1601 $\pm$ 0.0
54,0.5686 $\pm$ 0.0,0.0774 $\pm$ 0.0352,0.0846 $\pm$ 0.0352,0.0808 $\pm$ 0.0365,1.0 $\pm$ 0.0
55,0.6946 $\pm$ 0.0,0.1395 $\pm$ 0.0741,0.1419 $\pm$ 0.067,0.13 $\pm$ 0.0662,1.0 $\pm$ 0.0
56,7.9048 $\pm$ 0.0,1.67 $\pm$ 1.3266,1.6146 $\pm$ 1.107,1.1608 $\pm$ 0.5593,38000000000.0 $\pm$ 0.0
57,0.5953 $\pm$ 0.0,0.0996 $\pm$ 0.0381,0.1026 $\pm$ 0.039,0.0958 $\pm$ 0.0398,1.0 $\pm$ 0.0
58,1.0535 $\pm$ 0.0,0.1208 $\pm$ 0.0587,0.1332 $\pm$ 0.0573,0.1287 $\pm$ 0.0646,386282333036.7654 $\pm$ 0.0
59,2.032 $\pm$ 0.0,0.3081 $\pm$ 0.3773,0.3148 $\pm$ 0.3617,0.2022 $\pm$ 0.176,2.3356 $\pm$ 0.0
60,0.5953 $\pm$ 0.0,0.0996 $\pm$ 0.0381,0.1026 $\pm$ 0.039,0.0958 $\pm$ 0.0398,1.0 $\pm$ 0.0
61,0.7439 $\pm$ 0.0,0.1635 $\pm$ 0.081,0.1644 $\pm$ 0.0724,0.1501 $\pm$ 0.0725,1.0 $\pm$ 0.0
63,0.5171 $\pm$ 0.0,0.0959 $\pm$ 0.0601,0.0961 $\pm$ 0.0547,0.0877 $\pm$ 0.053,1.0 $\pm$ 0.0
64,1.2817 $\pm$ 0.0,0.1139 $\pm$ 0.0508,0.1255 $\pm$ 0.0548,0.1262 $\pm$ 0.0932,10476190476.1905 $\pm$ 0.0
65,0.5178 $\pm$ 0.0,0.0745 $\pm$ 0.0293,0.0777 $\pm$ 0.0302,0.0734 $\pm$ 0.0326,1.0 $\pm$ 0.0
66,0.1086 $\pm$ 0.0,0.0118 $\pm$ 0.0054,0.0135 $\pm$ 0.0057,0.0137 $\pm$ 0.0071,0.1892 $\pm$ 0.0
67,0.7576 $\pm$ 0.0,0.1665 $\pm$ 0.0553,0.1699 $\pm$ 0.0637,0.1495 $\pm$ 0.0588,1.0 $\pm$ 0.0
68,0.5672 $\pm$ 0.0,0.0737 $\pm$ 0.0333,0.0818 $\pm$ 0.034,0.0822 $\pm$ 0.0402,0.7566 $\pm$ 0.0
69,0.4069 $\pm$ 0.0,0.0175 $\pm$ 0.0138,0.0253 $\pm$ 0.0163,0.0263 $\pm$ 0.025,1.0 $\pm$ 0.0
70,0.1126 $\pm$ 0.0,0.0041 $\pm$ 0.0035,0.0068 $\pm$ 0.0051,0.0073 $\pm$ 0.0094,0.2757 $\pm$ 0.0
71,0.7216 $\pm$ 0.0,0.1639 $\pm$ 0.0577,0.1618 $\pm$ 0.0584,0.1434 $\pm$ 0.0566,1.0 $\pm$ 0.0
72,0.4432 $\pm$ 0.0,0.0342 $\pm$ 0.0457,0.0395 $\pm$ 0.0443,0.0368 $\pm$ 0.0423,1.0 $\pm$ 0.0
73,0.2425 $\pm$ 0.0,0.0588 $\pm$ 0.0226,0.0593 $\pm$ 0.025,0.0654 $\pm$ 0.033,0.1444 $\pm$ 0.0
74,3.2654 $\pm$ 0.0,0.7602 $\pm$ 0.6997,0.7377 $\pm$ 0.5948,0.5541 $\pm$ 0.304,9.4286 $\pm$ 0.0
75,7.4553 $\pm$ 0.0,1.3892 $\pm$ 1.298,66666668.0376 $\pm$ 365148372.3759,256097562.1959 $\pm$ 1402704110.6933,273142857142.8572 $\pm$ 0.0
76,7.4553 $\pm$ 0.0,1.3892 $\pm$ 1.298,66666668.0376 $\pm$ 365148372.3759,256097562.1959 $\pm$ 1402704110.6933,273142857142.8572 $\pm$ 0.0
