Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.5178 $\pm$ 0.0,0.0745 $\pm$ 0.0293,0.0777 $\pm$ 0.0302,0.0734 $\pm$ 0.0326,1.0 $\pm$ 0.0
2,0.6558 $\pm$ 0.0,0.1138 $\pm$ 0.0425,0.1159 $\pm$ 0.0435,0.108 $\pm$ 0.0447,1.0 $\pm$ 0.0
3,0.6558 $\pm$ 0.0,0.1138 $\pm$ 0.0425,0.1159 $\pm$ 0.0435,0.108 $\pm$ 0.0447,1.0 $\pm$ 0.0
4,0.7209 $\pm$ 0.0,0.1394 $\pm$ 0.0505,0.1399 $\pm$ 0.0514,0.1292 $\pm$ 0.0522,1.0 $\pm$ 0.0
5,0.6558 $\pm$ 0.0,0.1138 $\pm$ 0.0425,0.1159 $\pm$ 0.0435,0.108 $\pm$ 0.0447,1.0 $\pm$ 0.0
6,0.3664 $\pm$ 0.0,0.0446 $\pm$ 0.0183,0.0475 $\pm$ 0.0191,0.0455 $\pm$ 0.0225,1.0 $\pm$ 0.0
7,0.8788 $\pm$ 0.0,0.2301 $\pm$ 0.0685,0.227 $\pm$ 0.08,0.1997 $\pm$ 0.0758,1.0 $\pm$ 0.0
8,0.9353 $\pm$ 0.0,0.2574 $\pm$ 0.0751,0.2518 $\pm$ 0.0878,0.2217 $\pm$ 0.0837,1.0 $\pm$ 0.0
9,0.7847 $\pm$ 0.0,0.1912 $\pm$ 0.0592,0.1908 $\pm$ 0.0688,0.1674 $\pm$ 0.0642,1.0 $\pm$ 0.0
10,0.5216 $\pm$ 0.0,0.127 $\pm$ 0.0382,0.1257 $\pm$ 0.0441,0.1117 $\pm$ 0.0418,0.6378 $\pm$ 0.0
11,0.9353 $\pm$ 0.0,0.2574 $\pm$ 0.0751,0.2518 $\pm$ 0.0878,0.2217 $\pm$ 0.0837,1.0 $\pm$ 0.0
12,7.619 $\pm$ 0.0,1.1656 $\pm$ 0.4761,1.202 $\pm$ 0.4692,1.1679 $\pm$ 0.562,10.4762 $\pm$ 0.0
13,38.6667 $\pm$ 0.0,10.9779 $\pm$ 3.2925,10.6739 $\pm$ 3.6731,9.352 $\pm$ 3.6736,38.0 $\pm$ 0.0
14,0.1732 $\pm$ 0.0,0.0246 $\pm$ 0.0105,0.0256 $\pm$ 0.0105,0.0254 $\pm$ 0.0133,0.2757 $\pm$ 0.0
31,0.0693 $\pm$ 0.0,0.0182 $\pm$ 0.0138,0.0175 $\pm$ 0.0119,0.0132 $\pm$ 0.0067,0.214 $\pm$ 0.0
32,-0.6521 $\pm$ 0.0,0.0541 $\pm$ 0.4466,-0.0951 $\pm$ 0.5688,-0.1613 $\pm$ 0.5436,1.7731 $\pm$ 0.0
33,0.6558 $\pm$ 0.0,0.1167 $\pm$ 0.0435,0.1185 $\pm$ 0.0441,0.1108 $\pm$ 0.0454,1.0 $\pm$ 0.0
34,3.0489 $\pm$ 0.0,0.8751 $\pm$ 0.6811,0.8291 $\pm$ 0.5909,0.6191 $\pm$ 0.3141,8.1321 $\pm$ 0.0
35,19.084 $\pm$ 0.0,1.876 $\pm$ 0.8303,2.1577 $\pm$ 0.9136,2.1865 $\pm$ 1.1123,32.9024 $\pm$ 0.0
36,0.4791 $\pm$ 0.0,0.0545 $\pm$ 0.0243,0.0595 $\pm$ 0.0251,0.0581 $\pm$ 0.0292,1.0 $\pm$ 0.0
37,0.3117 $\pm$ 0.0,-0.0537 $\pm$ 0.0383,-0.0406 $\pm$ 0.043,-0.0216 $\pm$ 0.0476,1.0 $\pm$ 0.0
38,0.6558 $\pm$ 0.0,0.1167 $\pm$ 0.0435,0.1185 $\pm$ 0.0441,0.1108 $\pm$ 0.0454,1.0 $\pm$ 0.0
39,0.3117 $\pm$ 0.0,-0.0537 $\pm$ 0.0383,-0.0406 $\pm$ 0.043,-0.0216 $\pm$ 0.0476,1.0 $\pm$ 0.0
40,0.3776 $\pm$ 0.0,0.0945 $\pm$ 0.0587,0.0909 $\pm$ 0.0529,0.0781 $\pm$ 0.0523,0.6675 $\pm$ 0.0
41,0.6558 $\pm$ 0.0,0.12 $\pm$ 0.0447,0.1217 $\pm$ 0.0449,0.1142 $\pm$ 0.0464,1.0 $\pm$ 0.0
42,0.6558 $\pm$ 0.0,0.12 $\pm$ 0.0447,0.1217 $\pm$ 0.0449,0.1142 $\pm$ 0.0464,1.0 $\pm$ 0.0
43,1.3117 $\pm$ 0.0,0.24 $\pm$ 0.0894,0.2434 $\pm$ 0.0898,0.2284 $\pm$ 0.0928,2.0 $\pm$ 0.0
44,2.7709 $\pm$ 0.0,0.4232 $\pm$ 0.2023,0.4559 $\pm$ 0.1957,0.4235 $\pm$ 0.1876,4.8666 $\pm$ 0.0
45,0.6558 $\pm$ 0.0,0.1413 $\pm$ 0.0522,0.143 $\pm$ 0.0529,0.1377 $\pm$ 0.0541,1.0 $\pm$ 0.0
46,0.6558 $\pm$ 0.0,0.0989 $\pm$ 0.0386,0.1019 $\pm$ 0.0387,0.0939 $\pm$ 0.0407,1.0 $\pm$ 0.0
47,-3.4658 $\pm$ 0.0,-1.3975 $\pm$ 0.4313,-1.3366 $\pm$ 0.4882,-1.2349 $\pm$ 0.4705,-3.0 $\pm$ 0.0
48,0.5686 $\pm$ 0.0,0.0966 $\pm$ 0.0473,0.1039 $\pm$ 0.046,0.1041 $\pm$ 0.0457,1.0 $\pm$ 0.0
49,0.7843 $\pm$ 0.0,0.1872 $\pm$ 0.0586,0.1857 $\pm$ 0.0639,0.1652 $\pm$ 0.0619,1.0 $\pm$ 0.0
50,0.2176 $\pm$ 0.0,0.0492 $\pm$ 0.0224,0.05 $\pm$ 0.0245,0.0415 $\pm$ 0.0199,0.2481 $\pm$ 0.0
51,16.1046 $\pm$ 0.0,1.3355 $\pm$ 0.8287,1.6163 $\pm$ 0.7949,1.5592 $\pm$ 0.8814,38.0 $\pm$ 0.0
