Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.0611 $\pm$ 0.0,0.115 $\pm$ 0.036,0.166 $\pm$ 0.0661,0.3764 $\pm$ 0.1887,1.0 $\pm$ 0.0
2,0.1103 $\pm$ 0.0,0.1871 $\pm$ 0.0483,0.2465 $\pm$ 0.076,0.4303 $\pm$ 0.1686,1.0 $\pm$ 0.0
3,0.1103 $\pm$ 0.0,0.1871 $\pm$ 0.0483,0.2465 $\pm$ 0.076,0.4303 $\pm$ 0.1686,1.0 $\pm$ 0.0
4,0.1508 $\pm$ 0.0,0.2382 $\pm$ 0.0535,0.2982 $\pm$ 0.0778,0.4643 $\pm$ 0.1551,1.0 $\pm$ 0.0
5,0.1103 $\pm$ 0.0,0.1871 $\pm$ 0.0483,0.2465 $\pm$ 0.076,0.4303 $\pm$ 0.1686,1.0 $\pm$ 0.0
6,0.0323 $\pm$ 0.0,0.0653 $\pm$ 0.0234,0.1028 $\pm$ 0.0506,0.3327 $\pm$ 0.2052,1.0 $\pm$ 0.0
7,0.5843 $\pm$ 0.0,0.5764 $\pm$ 0.0567,0.5839 $\pm$ 0.0388,0.63 $\pm$ 0.06,1.0 $\pm$ 0.0
8,0.6117 $\pm$ 0.0,0.6069 $\pm$ 0.0592,0.6128 $\pm$ 0.0399,0.6502 $\pm$ 0.0567,1.0 $\pm$ 0.0
9,0.5377 $\pm$ 0.0,0.5252 $\pm$ 0.0533,0.5357 $\pm$ 0.0378,0.5969 $\pm$ 0.0675,1.0 $\pm$ 0.0
10,0.2931 $\pm$ 0.0,0.2928 $\pm$ 0.0286,0.299 $\pm$ 0.022,0.3278 $\pm$ 0.0352,0.609 $\pm$ 0.0
11,0.6117 $\pm$ 0.0,0.6069 $\pm$ 0.0592,0.6128 $\pm$ 0.0399,0.6502 $\pm$ 0.0567,1.0 $\pm$ 0.0
12,0.7024 $\pm$ 0.0,1.987 $\pm$ 0.6392,2.6122 $\pm$ 0.7298,3.4794 $\pm$ 1.0616,15.6957 $\pm$ 0.0
13,59.5952 $\pm$ 0.0,64.6675 $\pm$ 7.0531,57.2642 $\pm$ 5.3406,58.8803 $\pm$ 6.4679,72.0 $\pm$ 0.0
14,0.0069 $\pm$ 0.0,0.0181 $\pm$ 0.0074,0.0269 $\pm$ 0.0083,0.0373 $\pm$ 0.0116,0.218 $\pm$ 0.0
31,0.0204 $\pm$ 0.0,0.0263 $\pm$ 0.0102,0.0414 $\pm$ 0.0284,0.1515 $\pm$ 0.0943,0.3105 $\pm$ 0.0
32,-0.4743 $\pm$ 0.0,-0.1829 $\pm$ 0.6533,0.097 $\pm$ 0.6742,1.2668 $\pm$ 0.9944,2.7794 $\pm$ 0.0
