Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
33,0.1135 $\pm$ 0.0,0.1937 $\pm$ 0.049,0.2517 $\pm$ 0.0766,0.4337 $\pm$ 0.1672,1.0 $\pm$ 0.0
34,2.0759 $\pm$ 0.0,2.891 $\pm$ 0.9789,4.0314 $\pm$ 2.7501,14.0915 $\pm$ 8.8072,22.3563 $\pm$ 0.0
35,1.713 $\pm$ 0.0,5.6481 $\pm$ 2.6921,9.1856 $\pm$ 5.3671,25.7921 $\pm$ 15.6362,66.7107 $\pm$ 0.0
36,0.0227 $\pm$ 0.0,0.0724 $\pm$ 0.0346,0.1257 $\pm$ 0.0712,0.3506 $\pm$ 0.1998,1.0 $\pm$ 0.0
37,-0.4092 $\pm$ 0.0,-0.2369 $\pm$ 0.1019,-0.1251 $\pm$ 0.1418,0.2017 $\pm$ 0.3015,1.0 $\pm$ 0.0
38,0.1135 $\pm$ 0.0,0.1937 $\pm$ 0.049,0.2517 $\pm$ 0.0766,0.4337 $\pm$ 0.1672,1.0 $\pm$ 0.0
39,-0.4092 $\pm$ 0.0,-0.2369 $\pm$ 0.1019,-0.1251 $\pm$ 0.1418,0.2017 $\pm$ 0.3015,1.0 $\pm$ 0.0
40,0.2384 $\pm$ 0.0,0.2913 $\pm$ 0.0754,0.3254 $\pm$ 0.0835,0.4695 $\pm$ 0.1333,0.8397 $\pm$ 0.0
41,0.1168 $\pm$ 0.0,0.2024 $\pm$ 0.0512,0.2606 $\pm$ 0.0778,0.4378 $\pm$ 0.1654,1.0 $\pm$ 0.0
42,0.1168 $\pm$ 0.0,0.2024 $\pm$ 0.0512,0.2606 $\pm$ 0.0778,0.4378 $\pm$ 0.1654,1.0 $\pm$ 0.0
43,0.2337 $\pm$ 0.0,0.4048 $\pm$ 0.1024,0.5211 $\pm$ 0.1555,0.8756 $\pm$ 0.3307,2.0 $\pm$ 0.0
44,0.7459 $\pm$ 0.0,1.492 $\pm$ 0.4421,1.9221 $\pm$ 0.7438,3.7458 $\pm$ 1.6894,7.6962 $\pm$ 0.0
45,0.1434 $\pm$ 0.0,0.263 $\pm$ 0.0716,0.3331 $\pm$ 0.1021,0.4761 $\pm$ 0.1477,1.0 $\pm$ 0.0
46,0.0903 $\pm$ 0.0,0.162 $\pm$ 0.0483,0.2207 $\pm$ 0.0696,0.4111 $\pm$ 0.1758,1.0 $\pm$ 0.0
47,-2.1064 $\pm$ 0.0,-2.788 $\pm$ 0.5713,-2.2327 $\pm$ 0.3075,-1.6796 $\pm$ 0.4198,-2.3478 $\pm$ 0.0
48,0.0952 $\pm$ 0.0,0.2175 $\pm$ 0.0762,0.2885 $\pm$ 0.1131,0.4453 $\pm$ 0.1639,1.0 $\pm$ 0.0
49,0.3653 $\pm$ 0.0,0.4044 $\pm$ 0.0459,0.4336 $\pm$ 0.0524,0.542 $\pm$ 0.1069,1.0 $\pm$ 0.0
50,0.174 $\pm$ 0.0,0.1376 $\pm$ 0.0308,0.1651 $\pm$ 0.021,0.2168 $\pm$ 0.0414,0.326 $\pm$ 0.0
51,1.3626 $\pm$ 0.0,5.8233 $\pm$ 3.1269,10.0455 $\pm$ 6.7988,31.1739 $\pm$ 19.0368,72.0 $\pm$ 0.0
52,0.0872 $\pm$ 0.0,0.1526 $\pm$ 0.0428,0.1971 $\pm$ 0.0626,0.318 $\pm$ 0.1141,0.7071 $\pm$ 0.0
53,0.023 $\pm$ 0.0,0.0291 $\pm$ 0.0061,0.036 $\pm$ 0.0077,0.0513 $\pm$ 0.0142,0.117 $\pm$ 0.0
54,0.0783 $\pm$ 0.0,0.1546 $\pm$ 0.0504,0.2121 $\pm$ 0.0825,0.4073 $\pm$ 0.1788,1.0 $\pm$ 0.0
55,0.2429 $\pm$ 0.0,0.3307 $\pm$ 0.0861,0.3804 $\pm$ 0.1021,0.521 $\pm$ 0.1391,1.0 $\pm$ 0.0
56,8.0625 $\pm$ 0.0,7.1038 $\pm$ 1.8006,10.1561 $\pm$ 7.9002,23761485089.9237 $\pm$ 22789055879.6932,72000000000.0 $\pm$ 0.0
57,0.1073 $\pm$ 0.0,0.182 $\pm$ 0.0472,0.2382 $\pm$ 0.0762,0.4242 $\pm$ 0.1696,1.0 $\pm$ 0.0
58,0.1122 $\pm$ 0.0,0.2358 $\pm$ 0.0866,0.3645 $\pm$ 0.1931,157603705139.6462 $\pm$ 151505978253.6611,1220958204697.5024 $\pm$ 0.0
59,2.4166 $\pm$ 0.0,1.7238 $\pm$ 0.9838,2.4327 $\pm$ 0.7466,4.6499 $\pm$ 1.8665,6.0592 $\pm$ 0.0
60,0.1073 $\pm$ 0.0,0.182 $\pm$ 0.0472,0.2382 $\pm$ 0.0762,0.4242 $\pm$ 0.1696,1.0 $\pm$ 0.0
61,0.2944 $\pm$ 0.0,0.3755 $\pm$ 0.0833,0.4165 $\pm$ 0.0968,0.5456 $\pm$ 0.131,1.0 $\pm$ 0.0
63,0.147 $\pm$ 0.0,0.2291 $\pm$ 0.0824,0.2942 $\pm$ 0.1124,0.463 $\pm$ 0.1591,1.0 $\pm$ 0.0
64,0.0685 $\pm$ 0.0,0.1529 $\pm$ 0.0654,0.2885 $\pm$ 0.2124,1266423776.9347 $\pm$ 1207500401.6135,15695652173.913 $\pm$ 0.0
65,0.0611 $\pm$ 0.0,0.115 $\pm$ 0.036,0.166 $\pm$ 0.0661,0.3764 $\pm$ 0.1887,1.0 $\pm$ 0.0
66,0.0041 $\pm$ 0.0,0.0118 $\pm$ 0.0047,0.0174 $\pm$ 0.0069,0.0266 $\pm$ 0.0104,0.1665 $\pm$ 0.0
67,0.5257 $\pm$ 0.0,0.5112 $\pm$ 0.0525,0.5215 $\pm$ 0.0379,0.5862 $\pm$ 0.0696,1.0 $\pm$ 0.0
68,0.02 $\pm$ 0.0,0.0612 $\pm$ 0.0264,0.0913 $\pm$ 0.0338,0.1334 $\pm$ 0.0482,0.6662 $\pm$ 0.0
69,0.0 $\pm$ 0.0,0.0183 $\pm$ 0.022,0.0619 $\pm$ 0.0691,0.3068 $\pm$ 0.2116,1.0 $\pm$ 0.0
70,0.0 $\pm$ 0.0,0.0013 $\pm$ 0.0018,0.0047 $\pm$ 0.005,0.0175 $\pm$ 0.0118,0.218 $\pm$ 0.0
71,0.3097 $\pm$ 0.0,0.3529 $\pm$ 0.0516,0.3931 $\pm$ 0.0647,0.5217 $\pm$ 0.1202,1.0 $\pm$ 0.0
72,-0.0236 $\pm$ 0.0,0.064 $\pm$ 0.0792,0.1399 $\pm$ 0.1104,0.3696 $\pm$ 0.2071,1.0 $\pm$ 0.0
73,0.0563 $\pm$ 0.0,0.0863 $\pm$ 0.058,0.1818 $\pm$ 0.1319,0.2159 $\pm$ 0.1129,0.3491 $\pm$ 0.0
74,1.5962 $\pm$ 0.0,2.5747 $\pm$ 1.0538,3.8186 $\pm$ 2.8731,14.2441 $\pm$ 9.1375,23.469 $\pm$ 0.0
75,2.3757 $\pm$ 0.0,3231250004.4909 $\pm$ 17698285138.6776,24712072469.31 $\pm$ 50185303867.6384,129967236121.5508 $\pm$ 96894710616.4274,863347826086.9563 $\pm$ 0.0
76,2.3757 $\pm$ 0.0,3231250004.4909 $\pm$ 17698285138.6776,24712072469.31 $\pm$ 50185303867.6384,129967236121.5508 $\pm$ 96894710616.4274,863347826086.9563 $\pm$ 0.0
