Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,1.5882 $\pm$ 0.0,1.47 $\pm$ 0.3738,1.6191 $\pm$ 0.5008,1.5328 $\pm$ 0.3294,0.0 $\pm$ 0.0
16,1.1705 $\pm$ 0.0,1.1371 $\pm$ 0.1058,1.1883 $\pm$ 0.1459,1.1674 $\pm$ 0.0975,0.0 $\pm$ 0.0
17,1.5882 $\pm$ 0.0,1.47 $\pm$ 0.3738,1.6191 $\pm$ 0.5008,1.5328 $\pm$ 0.3294,0.0 $\pm$ 0.0
18,1.5882 $\pm$ 0.0,1.47 $\pm$ 0.3738,1.6191 $\pm$ 0.5008,1.5328 $\pm$ 0.3294,0.0 $\pm$ 0.0
19,1.5882 $\pm$ 0.0,1.47 $\pm$ 0.3738,1.6191 $\pm$ 0.5008,1.5328 $\pm$ 0.3294,0.0 $\pm$ 0.0
20,0.9265 $\pm$ 0.0,0.9346 $\pm$ 0.0479,0.8805 $\pm$ 0.0914,0.8674 $\pm$ 0.0728,0.0 $\pm$ 0.0
21,1.5882 $\pm$ 0.0,1.47 $\pm$ 0.3738,1.6191 $\pm$ 0.5008,1.5328 $\pm$ 0.3294,0.0 $\pm$ 0.0
22,1.5882 $\pm$ 0.0,1.47 $\pm$ 0.3738,1.6191 $\pm$ 0.5008,1.5328 $\pm$ 0.3294,0.0 $\pm$ 0.0
23,0.8934 $\pm$ 0.0,0.9101 $\pm$ 0.0659,0.8472 $\pm$ 0.1152,0.8375 $\pm$ 0.0869,0.0 $\pm$ 0.0
24,0.8989 $\pm$ 0.0,0.9132 $\pm$ 0.0636,0.8496 $\pm$ 0.1131,0.8388 $\pm$ 0.0868,0.0 $\pm$ 0.0
25,0.9265 $\pm$ 0.0,0.9344 $\pm$ 0.048,0.88 $\pm$ 0.0917,0.8671 $\pm$ 0.073,0.0 $\pm$ 0.0
26,0.8989 $\pm$ 0.0,0.9129 $\pm$ 0.0637,0.849 $\pm$ 0.1135,0.8384 $\pm$ 0.087,0.0 $\pm$ 0.0
27,0.9706 $\pm$ 0.0,0.9802 $\pm$ 0.0242,0.9492 $\pm$ 0.0488,0.9279 $\pm$ 0.0513,0.0 $\pm$ 0.0
28,0.9706 $\pm$ 0.0,0.9802 $\pm$ 0.0242,0.9492 $\pm$ 0.0488,0.9279 $\pm$ 0.0513,0.0 $\pm$ 0.0
29,1.0861 $\pm$ 0.0,1.0756 $\pm$ 0.0592,1.1024 $\pm$ 0.085,1.0825 $\pm$ 0.056,0.0 $\pm$ 0.0
30,1.0264 $\pm$ 0.0,1.0248 $\pm$ 0.0235,1.0244 $\pm$ 0.0326,1.0078 $\pm$ 0.028,0.0 $\pm$ 0.0
62,1.0 $\pm$ 0.0,1.0202 $\pm$ 0.0699,0.9873 $\pm$ 0.0863,0.9411 $\pm$ 0.0917,0.0 $\pm$ 0.0
