Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,2.9231 $\pm$ 0.0,2.2659 $\pm$ 0.7289,1.7623 $\pm$ 0.5856,2.0564 $\pm$ 0.5551,0.0 $\pm$ 0.0
16,1.6104 $\pm$ 0.0,1.2868 $\pm$ 0.2007,1.0961 $\pm$ 0.2042,1.1581 $\pm$ 0.224,0.0 $\pm$ 0.0
17,2.9231 $\pm$ 0.0,2.2659 $\pm$ 0.7289,1.7623 $\pm$ 0.5856,2.0564 $\pm$ 0.5551,0.0 $\pm$ 0.0
18,2.9231 $\pm$ 0.0,2.2659 $\pm$ 0.7289,1.7623 $\pm$ 0.5856,2.0564 $\pm$ 0.5551,0.0 $\pm$ 0.0
19,2.9231 $\pm$ 0.0,2.2659 $\pm$ 0.7289,1.7623 $\pm$ 0.5856,2.0564 $\pm$ 0.5551,0.0 $\pm$ 0.0
20,0.1124 $\pm$ 0.0,0.6171 $\pm$ 0.0712,0.6569 $\pm$ 0.0729,0.5945 $\pm$ 0.0692,0.0 $\pm$ 0.0
21,2.9231 $\pm$ 0.0,2.2659 $\pm$ 0.7289,1.7623 $\pm$ 0.5856,2.0564 $\pm$ 0.5551,0.0 $\pm$ 0.0
22,2.9231 $\pm$ 0.0,2.2659 $\pm$ 0.7289,1.7623 $\pm$ 0.5856,2.0564 $\pm$ 0.5551,0.0 $\pm$ 0.0
23,0.0281 $\pm$ 0.0,0.5675 $\pm$ 0.0933,0.6216 $\pm$ 0.0825,0.5486 $\pm$ 0.0689,0.0 $\pm$ 0.0
24,0.0159 $\pm$ 0.0,0.5668 $\pm$ 0.0914,0.6216 $\pm$ 0.0823,0.5486 $\pm$ 0.0693,0.0 $\pm$ 0.0
25,0.1124 $\pm$ 0.0,0.6128 $\pm$ 0.0743,0.6531 $\pm$ 0.0735,0.5912 $\pm$ 0.0685,0.0 $\pm$ 0.0
26,0.0159 $\pm$ 0.0,0.5623 $\pm$ 0.0945,0.6178 $\pm$ 0.0833,0.5453 $\pm$ 0.0689,0.0 $\pm$ 0.0
27,0.2595 $\pm$ 0.0,0.6993 $\pm$ 0.0501,0.7067 $\pm$ 0.0717,0.6619 $\pm$ 0.0804,0.0 $\pm$ 0.0
28,0.2595 $\pm$ 0.0,0.6993 $\pm$ 0.0501,0.7067 $\pm$ 0.0717,0.6619 $\pm$ 0.0804,0.0 $\pm$ 0.0
29,0.965 $\pm$ 0.0,0.9809 $\pm$ 0.0902,0.8869 $\pm$ 0.1127,0.8895 $\pm$ 0.1316,0.0 $\pm$ 0.0
30,0.6824 $\pm$ 0.0,0.855 $\pm$ 0.0508,0.8057 $\pm$ 0.0845,0.7852 $\pm$ 0.1024,0.0 $\pm$ 0.0
62,0.0724 $\pm$ 0.0,0.6314 $\pm$ 0.0599,0.6588 $\pm$ 0.0764,0.612 $\pm$ 0.0773,0.0 $\pm$ 0.0
