Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,5.0233 $\pm$ 0.0,5.6316 $\pm$ 0.758,5.6708 $\pm$ 0.8345,3.5286 $\pm$ 1.7353,0.0 $\pm$ 0.0
16,1.9906 $\pm$ 0.0,2.1285 $\pm$ 0.1368,2.131 $\pm$ 0.1637,1.214 $\pm$ 0.6083,0.0 $\pm$ 0.0
17,5.0233 $\pm$ 0.0,5.6316 $\pm$ 0.758,5.6708 $\pm$ 0.8345,3.5286 $\pm$ 1.7353,0.0 $\pm$ 0.0
18,5.0233 $\pm$ 0.0,5.6316 $\pm$ 0.758,5.6708 $\pm$ 0.8345,3.5286 $\pm$ 1.7353,0.0 $\pm$ 0.0
19,5.0233 $\pm$ 0.0,5.6316 $\pm$ 0.758,5.6708 $\pm$ 0.8345,3.5286 $\pm$ 1.7353,0.0 $\pm$ 0.0
20,0.4522 $\pm$ 0.0,0.3297 $\pm$ 0.0358,0.3111 $\pm$ 0.0318,0.2854 $\pm$ 0.022,0.0 $\pm$ 0.0
21,5.0233 $\pm$ 0.0,5.6316 $\pm$ 0.758,5.6708 $\pm$ 0.8345,3.5286 $\pm$ 1.7353,0.0 $\pm$ 0.0
22,5.0233 $\pm$ 0.0,5.6316 $\pm$ 0.758,5.6708 $\pm$ 0.8345,3.5286 $\pm$ 1.7353,0.0 $\pm$ 0.0
23,0.4183 $\pm$ 0.0,0.2912 $\pm$ 0.0411,0.266 $\pm$ 0.0364,0.2579 $\pm$ 0.029,0.0 $\pm$ 0.0
24,0.4121 $\pm$ 0.0,0.2843 $\pm$ 0.0417,0.2591 $\pm$ 0.0365,0.2547 $\pm$ 0.0303,0.0 $\pm$ 0.0
25,0.4519 $\pm$ 0.0,0.3291 $\pm$ 0.0359,0.3103 $\pm$ 0.032,0.2846 $\pm$ 0.0221,0.0 $\pm$ 0.0
26,0.4118 $\pm$ 0.0,0.2835 $\pm$ 0.0418,0.2579 $\pm$ 0.0368,0.2539 $\pm$ 0.0303,0.0 $\pm$ 0.0
27,0.8525 $\pm$ 0.0,0.7076 $\pm$ 0.0501,0.6462 $\pm$ 0.0611,0.4388 $\pm$ 0.1482,0.0 $\pm$ 0.0
28,0.8525 $\pm$ 0.0,0.7076 $\pm$ 0.0501,0.6462 $\pm$ 0.0611,0.4388 $\pm$ 0.1482,0.0 $\pm$ 0.0
29,1.4282 $\pm$ 0.0,1.3686 $\pm$ 0.0771,1.3075 $\pm$ 0.1017,0.7275 $\pm$ 0.3852,0.0 $\pm$ 0.0
30,1.1291 $\pm$ 0.0,1.0493 $\pm$ 0.0501,0.998 $\pm$ 0.0692,0.5873 $\pm$ 0.2671,0.0 $\pm$ 0.0
62,0.5713 $\pm$ 0.0,0.4546 $\pm$ 0.048,0.414 $\pm$ 0.0452,0.3444 $\pm$ 0.0813,0.0 $\pm$ 0.0
