Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.7779 $\pm$ 0.0,0.5007 $\pm$ 0.1411,0.4696 $\pm$ 0.1373,0.4871 $\pm$ 0.145,1.0 $\pm$ 0.0
2,0.8511 $\pm$ 0.0,0.5497 $\pm$ 0.1163,0.5171 $\pm$ 0.1139,0.5341 $\pm$ 0.1233,1.0 $\pm$ 0.0
3,0.8511 $\pm$ 0.0,0.5497 $\pm$ 0.1163,0.5171 $\pm$ 0.1139,0.5341 $\pm$ 0.1233,1.0 $\pm$ 0.0
4,0.8876 $\pm$ 0.0,0.5794 $\pm$ 0.1018,0.546 $\pm$ 0.1007,0.5623 $\pm$ 0.1106,1.0 $\pm$ 0.0
5,0.8511 $\pm$ 0.0,0.5497 $\pm$ 0.1163,0.5171 $\pm$ 0.1139,0.5341 $\pm$ 0.1233,1.0 $\pm$ 0.0
6,0.7033 $\pm$ 0.0,0.4584 $\pm$ 0.1642,0.428 $\pm$ 0.1597,0.4472 $\pm$ 0.1644,1.0 $\pm$ 0.0
7,0.956 $\pm$ 0.0,0.7096 $\pm$ 0.0307,0.6707 $\pm$ 0.0361,0.6794 $\pm$ 0.0433,1.0 $\pm$ 0.0
8,0.9767 $\pm$ 0.0,0.727 $\pm$ 0.0304,0.6883 $\pm$ 0.035,0.6959 $\pm$ 0.0414,1.0 $\pm$ 0.0
9,0.9207 $\pm$ 0.0,0.6813 $\pm$ 0.034,0.6423 $\pm$ 0.0401,0.6524 $\pm$ 0.0486,1.0 $\pm$ 0.0
10,0.5135 $\pm$ 0.0,0.3694 $\pm$ 0.018,0.3499 $\pm$ 0.021,0.3562 $\pm$ 0.0252,0.609 $\pm$ 0.0
11,0.9767 $\pm$ 0.0,0.727 $\pm$ 0.0304,0.6883 $\pm$ 0.035,0.6959 $\pm$ 0.0414,1.0 $\pm$ 0.0
12,10.5435 $\pm$ 0.0,4.2769 $\pm$ 0.8754,3.9913 $\pm$ 1.2595,4.7027 $\pm$ 1.1334,15.6957 $\pm$ 0.0
13,82.2174 $\pm$ 0.0,66.7474 $\pm$ 4.7784,63.3166 $\pm$ 5.1251,65.2349 $\pm$ 6.4864,72.0 $\pm$ 0.0
14,0.1226 $\pm$ 0.0,0.0458 $\pm$ 0.0104,0.0426 $\pm$ 0.014,0.0491 $\pm$ 0.0121,0.218 $\pm$ 0.0
31,0.2089 $\pm$ 0.0,0.1543 $\pm$ 0.0471,0.1422 $\pm$ 0.0472,0.1606 $\pm$ 0.0628,0.3105 $\pm$ 0.0
32,2.5514 $\pm$ 0.0,1.6248 $\pm$ 0.6515,1.5714 $\pm$ 0.6798,1.5805 $\pm$ 0.8659,2.7794 $\pm$ 0.0
33,0.8511 $\pm$ 0.0,0.5526 $\pm$ 0.1144,0.5203 $\pm$ 0.1115,0.5364 $\pm$ 0.1225,1.0 $\pm$ 0.0
34,17.9618 $\pm$ 0.0,14.4399 $\pm$ 4.372,13.3263 $\pm$ 4.3344,15.3869 $\pm$ 6.2052,22.3563 $\pm$ 0.0
35,51.5775 $\pm$ 0.0,34.2334 $\pm$ 11.0304,32.2937 $\pm$ 10.64,35.0252 $\pm$ 12.5998,66.7107 $\pm$ 0.0
36,0.7538 $\pm$ 0.0,0.4793 $\pm$ 0.1511,0.4491 $\pm$ 0.1457,0.4661 $\pm$ 0.1548,1.0 $\pm$ 0.0
37,0.7022 $\pm$ 0.0,0.3673 $\pm$ 0.2186,0.3385 $\pm$ 0.2083,0.3632 $\pm$ 0.2271,1.0 $\pm$ 0.0
38,0.8511 $\pm$ 0.0,0.5526 $\pm$ 0.1144,0.5203 $\pm$ 0.1115,0.5364 $\pm$ 0.1225,1.0 $\pm$ 0.0
39,0.7022 $\pm$ 0.0,0.3673 $\pm$ 0.2186,0.3385 $\pm$ 0.2083,0.3632 $\pm$ 0.2271,1.0 $\pm$ 0.0
40,0.803 $\pm$ 0.0,0.564 $\pm$ 0.0802,0.5331 $\pm$ 0.0826,0.5433 $\pm$ 0.1036,0.8397 $\pm$ 0.0
41,0.8511 $\pm$ 0.0,0.5574 $\pm$ 0.1093,0.5238 $\pm$ 0.109,0.5391 $\pm$ 0.1216,1.0 $\pm$ 0.0
42,0.8511 $\pm$ 0.0,0.5574 $\pm$ 0.1093,0.5238 $\pm$ 0.109,0.5391 $\pm$ 0.1216,1.0 $\pm$ 0.0
43,1.7022 $\pm$ 0.0,1.1148 $\pm$ 0.2185,1.0477 $\pm$ 0.218,1.0782 $\pm$ 0.2432,2.0 $\pm$ 0.0
44,7.0541 $\pm$ 0.0,4.8817 $\pm$ 1.1697,4.595 $\pm$ 1.1035,4.8078 $\pm$ 1.2851,7.6962 $\pm$ 0.0
45,0.8576 $\pm$ 0.0,0.5977 $\pm$ 0.0816,0.5554 $\pm$ 0.0868,0.5643 $\pm$ 0.1077,1.0 $\pm$ 0.0
46,0.8511 $\pm$ 0.0,0.5298 $\pm$ 0.129,0.4972 $\pm$ 0.1262,0.5202 $\pm$ 0.1303,1.0 $\pm$ 0.0
47,-2.7641 $\pm$ 0.0,-1.6373 $\pm$ 0.3069,-1.6346 $\pm$ 0.2581,-1.6175 $\pm$ 0.3732,-2.3478 $\pm$ 0.0
48,0.8308 $\pm$ 0.0,0.5729 $\pm$ 0.0905,0.5302 $\pm$ 0.0978,0.5415 $\pm$ 0.1182,1.0 $\pm$ 0.0
49,0.9112 $\pm$ 0.0,0.6404 $\pm$ 0.0647,0.6046 $\pm$ 0.0668,0.6159 $\pm$ 0.077,1.0 $\pm$ 0.0
50,0.3128 $\pm$ 0.0,0.2741 $\pm$ 0.014,0.257 $\pm$ 0.0145,0.2525 $\pm$ 0.0182,0.326 $\pm$ 0.0
51,61.7218 $\pm$ 0.0,43.4452 $\pm$ 14.5122,40.8285 $\pm$ 13.8052,43.2535 $\pm$ 15.7501,72.0 $\pm$ 0.0
52,0.6207 $\pm$ 0.0,0.4011 $\pm$ 0.0749,0.3774 $\pm$ 0.0702,0.3904 $\pm$ 0.081,0.7071 $\pm$ 0.0
53,0.0965 $\pm$ 0.0,0.0623 $\pm$ 0.0094,0.0586 $\pm$ 0.0093,0.0597 $\pm$ 0.01,0.117 $\pm$ 0.0
54,0.8223 $\pm$ 0.0,0.5295 $\pm$ 0.1256,0.4982 $\pm$ 0.1189,0.5159 $\pm$ 0.1321,1.0 $\pm$ 0.0
55,0.9472 $\pm$ 0.0,0.6272 $\pm$ 0.0785,0.5926 $\pm$ 0.0849,0.6065 $\pm$ 0.1075,1.0 $\pm$ 0.0
56,46739130440.6047 $\pm$ 0.0,33729289373.9207 $\pm$ 22627956630.6246,30436772306.3304 $\pm$ 22053886273.918,35499883644.5816 $\pm$ 20239523237.6704,72000000000.0 $\pm$ 0.0
57,0.832 $\pm$ 0.0,0.5439 $\pm$ 0.1176,0.5119 $\pm$ 0.1134,0.5278 $\pm$ 0.1251,1.0 $\pm$ 0.0
58,252098939380.0679 $\pm$ 0.0,182608330636.9092 $\pm$ 122547649259.3273,164740592108.7255 $\pm$ 119444918898.1775,213095291443.5862 $\pm$ 125084245323.3408,1220958204697.5024 $\pm$ 0.0
59,7.0468 $\pm$ 0.0,6.8707 $\pm$ 0.7884,6.5025 $\pm$ 0.674,6.3292 $\pm$ 0.9352,6.0592 $\pm$ 0.0
60,0.832 $\pm$ 0.0,0.5439 $\pm$ 0.1176,0.5119 $\pm$ 0.1134,0.5278 $\pm$ 0.1251,1.0 $\pm$ 0.0
61,0.9695 $\pm$ 0.0,0.6467 $\pm$ 0.0754,0.6129 $\pm$ 0.0819,0.6266 $\pm$ 0.1012,1.0 $\pm$ 0.0
63,0.8642 $\pm$ 0.0,0.583 $\pm$ 0.0898,0.5436 $\pm$ 0.1022,0.5533 $\pm$ 0.1253,1.0 $\pm$ 0.0
64,2173913043.99 $\pm$ 0.0,1448392140.6123 $\pm$ 968054142.7096,1314474841.988 $\pm$ 947016604.8972,1658990536.6732 $\pm$ 978777634.9968,15695652173.913 $\pm$ 0.0
65,0.7779 $\pm$ 0.0,0.5007 $\pm$ 0.1411,0.4696 $\pm$ 0.1373,0.4871 $\pm$ 0.145,1.0 $\pm$ 0.0
66,0.0865 $\pm$ 0.0,0.0334 $\pm$ 0.0085,0.0312 $\pm$ 0.0101,0.0367 $\pm$ 0.0101,0.1665 $\pm$ 0.0
67,0.912 $\pm$ 0.0,0.6716 $\pm$ 0.0356,0.6323 $\pm$ 0.0415,0.6438 $\pm$ 0.0505,1.0 $\pm$ 0.0
68,0.4453 $\pm$ 0.0,0.1658 $\pm$ 0.0428,0.1529 $\pm$ 0.0524,0.1813 $\pm$ 0.0485,0.6662 $\pm$ 0.0
69,0.7053 $\pm$ 0.0,0.4377 $\pm$ 0.1718,0.4123 $\pm$ 0.162,0.4251 $\pm$ 0.1739,1.0 $\pm$ 0.0
70,0.0629 $\pm$ 0.0,0.0215 $\pm$ 0.0091,0.0215 $\pm$ 0.0096,0.0256 $\pm$ 0.012,0.218 $\pm$ 0.0
71,0.907 $\pm$ 0.0,0.6241 $\pm$ 0.0748,0.5905 $\pm$ 0.0745,0.6017 $\pm$ 0.0883,1.0 $\pm$ 0.0
72,0.8139 $\pm$ 0.0,0.5006 $\pm$ 0.1454,0.4719 $\pm$ 0.1349,0.4885 $\pm$ 0.158,1.0 $\pm$ 0.0
73,0.2255 $\pm$ 0.0,0.5051 $\pm$ 0.0991,0.4368 $\pm$ 0.1494,0.4123 $\pm$ 0.1531,0.3491 $\pm$ 0.0
74,18.6643 $\pm$ 0.0,14.756 $\pm$ 4.6301,13.6169 $\pm$ 4.5709,15.7271 $\pm$ 6.4192,23.469 $\pm$ 0.0
75,178260869573.0043 $\pm$ 0.0,158834309940.5706 $\pm$ 61899962835.7667,143020150775.1192 $\pm$ 78990668945.3845,164282817283.5092 $\pm$ 87526396819.9598,863347826086.9563 $\pm$ 0.0
76,178260869573.0043 $\pm$ 0.0,158834309940.5706 $\pm$ 61899962835.7667,143020150775.1192 $\pm$ 78990668945.3845,164282817283.5092 $\pm$ 87526396819.9598,863347826086.9563 $\pm$ 0.0
