Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,3.7 $\pm$ 0.0,3.0865 $\pm$ 0.6792,2.7564 $\pm$ 0.7791,3.1313 $\pm$ 0.7597,0.0 $\pm$ 0.0
16,1.5605 $\pm$ 0.0,1.5192 $\pm$ 0.1681,1.4374 $\pm$ 0.182,1.5027 $\pm$ 0.161,0.0 $\pm$ 0.0
17,3.7 $\pm$ 0.0,3.0865 $\pm$ 0.6792,2.7564 $\pm$ 0.7791,3.1313 $\pm$ 0.7597,0.0 $\pm$ 0.0
18,3.7 $\pm$ 0.0,3.0865 $\pm$ 0.6792,2.7564 $\pm$ 0.7791,3.1313 $\pm$ 0.7597,0.0 $\pm$ 0.0
19,3.7 $\pm$ 0.0,3.0865 $\pm$ 0.6792,2.7564 $\pm$ 0.7791,3.1313 $\pm$ 0.7597,0.0 $\pm$ 0.0
20,0.8537 $\pm$ 0.0,0.7515 $\pm$ 0.057,0.7964 $\pm$ 0.0687,0.784 $\pm$ 0.0642,0.0 $\pm$ 0.0
21,3.7 $\pm$ 0.0,3.0865 $\pm$ 0.6792,2.7564 $\pm$ 0.7791,3.1313 $\pm$ 0.7597,0.0 $\pm$ 0.0
22,3.7 $\pm$ 0.0,3.0865 $\pm$ 0.6792,2.7564 $\pm$ 0.7791,3.1313 $\pm$ 0.7597,0.0 $\pm$ 0.0
23,0.8134 $\pm$ 0.0,0.716 $\pm$ 0.0677,0.7672 $\pm$ 0.0801,0.7514 $\pm$ 0.0733,0.0 $\pm$ 0.0
24,0.8146 $\pm$ 0.0,0.713 $\pm$ 0.0684,0.7649 $\pm$ 0.0809,0.7495 $\pm$ 0.0737,0.0 $\pm$ 0.0
25,0.8509 $\pm$ 0.0,0.75 $\pm$ 0.0577,0.7942 $\pm$ 0.0695,0.7814 $\pm$ 0.0649,0.0 $\pm$ 0.0
26,0.8117 $\pm$ 0.0,0.7115 $\pm$ 0.0691,0.7627 $\pm$ 0.0818,0.7467 $\pm$ 0.0744,0.0 $\pm$ 0.0
27,1.0 $\pm$ 0.0,0.879 $\pm$ 0.03,0.8937 $\pm$ 0.0345,0.8851 $\pm$ 0.0382,0.0 $\pm$ 0.0
28,1.0 $\pm$ 0.0,0.879 $\pm$ 0.03,0.8937 $\pm$ 0.0345,0.8851 $\pm$ 0.0382,0.0 $\pm$ 0.0
29,1.2 $\pm$ 0.0,1.1447 $\pm$ 0.0665,1.1121 $\pm$ 0.0529,1.1171 $\pm$ 0.0464,0.0 $\pm$ 0.0
30,1.0828 $\pm$ 0.0,1.0157 $\pm$ 0.0327,1.0082 $\pm$ 0.0186,1.0068 $\pm$ 0.0206,0.0 $\pm$ 0.0
62,1.2 $\pm$ 0.0,0.8148 $\pm$ 0.0533,0.8305 $\pm$ 0.054,0.8207 $\pm$ 0.0539,0.0 $\pm$ 0.0
