Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.0544 $\pm$ 0.0,0.1036 $\pm$ 0.0382,0.068 $\pm$ 0.0314,0.0735 $\pm$ 0.0254,1.0 $\pm$ 0.0
2,0.0876 $\pm$ 0.0,0.1446 $\pm$ 0.0495,0.0952 $\pm$ 0.0384,0.1085 $\pm$ 0.0364,1.0 $\pm$ 0.0
3,0.0876 $\pm$ 0.0,0.1446 $\pm$ 0.0495,0.0952 $\pm$ 0.0384,0.1085 $\pm$ 0.0364,1.0 $\pm$ 0.0
4,0.1113 $\pm$ 0.0,0.1688 $\pm$ 0.0562,0.1118 $\pm$ 0.0421,0.1303 $\pm$ 0.0436,1.0 $\pm$ 0.0
5,0.0876 $\pm$ 0.0,0.1446 $\pm$ 0.0495,0.0952 $\pm$ 0.0384,0.1085 $\pm$ 0.0364,1.0 $\pm$ 0.0
6,0.0313 $\pm$ 0.0,0.0682 $\pm$ 0.028,0.0449 $\pm$ 0.0238,0.0455 $\pm$ 0.0166,1.0 $\pm$ 0.0
7,0.1714 $\pm$ 0.0,0.2112 $\pm$ 0.0643,0.1493 $\pm$ 0.0456,0.1654 $\pm$ 0.0576,1.0 $\pm$ 0.0
8,0.2135 $\pm$ 0.0,0.2506 $\pm$ 0.0757,0.1799 $\pm$ 0.0529,0.1996 $\pm$ 0.0694,1.0 $\pm$ 0.0
9,0.1236 $\pm$ 0.0,0.1627 $\pm$ 0.0503,0.113 $\pm$ 0.0367,0.1242 $\pm$ 0.0436,1.0 $\pm$ 0.0
10,0.0993 $\pm$ 0.0,0.1315 $\pm$ 0.0408,0.092 $\pm$ 0.0289,0.1015 $\pm$ 0.0344,0.684 $\pm$ 0.0
11,0.2135 $\pm$ 0.0,0.2506 $\pm$ 0.0757,0.1799 $\pm$ 0.0529,0.1996 $\pm$ 0.0694,1.0 $\pm$ 0.0
12,0.5429 $\pm$ 0.0,1.0266 $\pm$ 0.3939,0.6991 $\pm$ 0.3231,0.7475 $\pm$ 0.2458,5.8889 $\pm$ 0.0
13,3.4286 $\pm$ 0.0,4.1423 $\pm$ 1.3173,2.9817 $\pm$ 0.9205,3.2538 $\pm$ 1.1183,16.0 $\pm$ 0.0
14,0.0271 $\pm$ 0.0,0.0525 $\pm$ 0.0199,0.035 $\pm$ 0.0161,0.0381 $\pm$ 0.0131,0.3681 $\pm$ 0.0
31,0.0154 $\pm$ 0.0,0.0235 $\pm$ 0.0072,0.0139 $\pm$ 0.0051,0.0181 $\pm$ 0.0068,0.2204 $\pm$ 0.0
32,0.0046 $\pm$ 0.0,-0.5291 $\pm$ 0.7371,-0.611 $\pm$ 0.5888,-0.0706 $\pm$ 0.3885,1.1466 $\pm$ 0.0
33,0.0898 $\pm$ 0.0,0.1478 $\pm$ 0.0499,0.0964 $\pm$ 0.0384,0.1108 $\pm$ 0.0371,1.0 $\pm$ 0.0
34,0.3079 $\pm$ 0.0,0.4608 $\pm$ 0.1463,0.2783 $\pm$ 0.1022,0.3562 $\pm$ 0.1306,3.527 $\pm$ 0.0
35,0.4198 $\pm$ 0.0,1.2959 $\pm$ 0.5825,0.8594 $\pm$ 0.5301,0.8067 $\pm$ 0.3209,12.8259 $\pm$ 0.0
36,0.034 $\pm$ 0.0,0.0867 $\pm$ 0.0348,0.0552 $\pm$ 0.0305,0.0567 $\pm$ 0.0215,1.0 $\pm$ 0.0
37,-0.1014 $\pm$ 0.0,-0.0114 $\pm$ 0.0465,-0.0354 $\pm$ 0.0569,-0.0279 $\pm$ 0.0388,1.0 $\pm$ 0.0
38,0.0898 $\pm$ 0.0,0.1478 $\pm$ 0.0499,0.0964 $\pm$ 0.0384,0.1108 $\pm$ 0.0371,1.0 $\pm$ 0.0
39,-0.1014 $\pm$ 0.0,-0.0114 $\pm$ 0.0465,-0.0354 $\pm$ 0.0569,-0.0279 $\pm$ 0.0388,1.0 $\pm$ 0.0
40,0.0025 $\pm$ 0.0,0.0297 $\pm$ 0.0401,-0.0037 $\pm$ 0.0346,0.0301 $\pm$ 0.027,0.4988 $\pm$ 0.0
41,0.0921 $\pm$ 0.0,0.1512 $\pm$ 0.0505,0.0978 $\pm$ 0.0385,0.1133 $\pm$ 0.038,1.0 $\pm$ 0.0
42,0.0921 $\pm$ 0.0,0.1512 $\pm$ 0.0505,0.0978 $\pm$ 0.0385,0.1133 $\pm$ 0.038,1.0 $\pm$ 0.0
43,0.1843 $\pm$ 0.0,0.3024 $\pm$ 0.101,0.1956 $\pm$ 0.077,0.2266 $\pm$ 0.076,2.0 $\pm$ 0.0
44,0.034 $\pm$ 0.0,0.2109 $\pm$ 0.1031,0.1001 $\pm$ 0.0966,0.1356 $\pm$ 0.0718,2.6111 $\pm$ 0.0
45,0.1105 $\pm$ 0.0,0.1772 $\pm$ 0.0588,0.1091 $\pm$ 0.0415,0.1329 $\pm$ 0.0444,1.0 $\pm$ 0.0
46,0.0738 $\pm$ 0.0,0.1279 $\pm$ 0.0457,0.0865 $\pm$ 0.0361,0.0948 $\pm$ 0.0324,1.0 $\pm$ 0.0
47,-0.9102 $\pm$ 0.0,-1.0392 $\pm$ 0.3293,-0.7646 $\pm$ 0.199,-0.83 $\pm$ 0.2818,-1.7778 $\pm$ 0.0
48,0.0186 $\pm$ 0.0,0.0928 $\pm$ 0.0483,0.0376 $\pm$ 0.0451,0.06 $\pm$ 0.0296,1.0 $\pm$ 0.0
49,0.1571 $\pm$ 0.0,0.1968 $\pm$ 0.0601,0.1346 $\pm$ 0.0411,0.1506 $\pm$ 0.0521,1.0 $\pm$ 0.0
50,0.0473 $\pm$ 0.0,0.0546 $\pm$ 0.0163,0.037 $\pm$ 0.0122,0.044 $\pm$ 0.017,0.3199 $\pm$ 0.0
51,0.4972 $\pm$ 0.0,0.8721 $\pm$ 0.4736,0.5713 $\pm$ 0.4093,0.4685 $\pm$ 0.3001,16.0 $\pm$ 0.0
52,0.079 $\pm$ 0.0,0.0949 $\pm$ 0.033,0.06 $\pm$ 0.0247,0.062 $\pm$ 0.0267,0.7071 $\pm$ 0.0
53,0.0339 $\pm$ 0.0,0.0385 $\pm$ 0.0122,0.0256 $\pm$ 0.0085,0.0273 $\pm$ 0.0104,0.2425 $\pm$ 0.0
54,0.0121 $\pm$ 0.0,0.0762 $\pm$ 0.0368,0.0391 $\pm$ 0.0362,0.0476 $\pm$ 0.0244,1.0 $\pm$ 0.0
55,0.0165 $\pm$ 0.0,0.1046 $\pm$ 0.0596,0.0389 $\pm$ 0.0576,0.0734 $\pm$ 0.0413,1.0 $\pm$ 0.0
56,0.4544 $\pm$ 0.0,0.8168 $\pm$ 0.3895,0.547 $\pm$ 0.3282,0.545 $\pm$ 0.2379,16000000000.0 $\pm$ 0.0
57,0.0655 $\pm$ 0.0,0.1156 $\pm$ 0.0402,0.0745 $\pm$ 0.0324,0.0824 $\pm$ 0.0288,1.0 $\pm$ 0.0
58,0.0188 $\pm$ 0.0,0.1311 $\pm$ 0.0768,0.0713 $\pm$ 0.0727,0.0755 $\pm$ 0.044,76996071729.2018 $\pm$ 0.0
59,0.2236 $\pm$ 0.0,0.1645 $\pm$ 0.1021,0.1465 $\pm$ 0.0602,0.1553 $\pm$ 0.1222,1.0383 $\pm$ 0.0
60,0.0655 $\pm$ 0.0,0.1156 $\pm$ 0.0402,0.0745 $\pm$ 0.0324,0.0824 $\pm$ 0.0288,1.0 $\pm$ 0.0
61,0.019 $\pm$ 0.0,0.1239 $\pm$ 0.0646,0.0488 $\pm$ 0.0613,0.0872 $\pm$ 0.0458,1.0 $\pm$ 0.0
63,0.0114 $\pm$ 0.0,0.0656 $\pm$ 0.0504,0.019 $\pm$ 0.0487,0.0484 $\pm$ 0.0332,1.0 $\pm$ 0.0
64,0.0751 $\pm$ 0.0,0.2324 $\pm$ 0.1631,0.1556 $\pm$ 0.1392,0.125 $\pm$ 0.0575,5888888888.8889 $\pm$ 0.0
65,0.0544 $\pm$ 0.0,0.1036 $\pm$ 0.0382,0.068 $\pm$ 0.0314,0.0735 $\pm$ 0.0254,1.0 $\pm$ 0.0
66,0.0027 $\pm$ 0.0,0.0173 $\pm$ 0.0085,0.0098 $\pm$ 0.0085,0.0104 $\pm$ 0.0054,0.2127 $\pm$ 0.0
67,0.0571 $\pm$ 0.0,0.1086 $\pm$ 0.0398,0.0676 $\pm$ 0.0349,0.0763 $\pm$ 0.0323,1.0 $\pm$ 0.0
68,0.0164 $\pm$ 0.0,0.106 $\pm$ 0.0502,0.0577 $\pm$ 0.0499,0.0697 $\pm$ 0.0346,0.8507 $\pm$ 0.0
69,0.0082 $\pm$ 0.0,0.0563 $\pm$ 0.0311,0.0342 $\pm$ 0.0295,0.0262 $\pm$ 0.0197,1.0 $\pm$ 0.0
70,0.0029 $\pm$ 0.0,0.0228 $\pm$ 0.0136,0.0143 $\pm$ 0.0125,0.0098 $\pm$ 0.0071,0.3681 $\pm$ 0.0
71,0.1209 $\pm$ 0.0,0.167 $\pm$ 0.0544,0.111 $\pm$ 0.0406,0.1308 $\pm$ 0.0452,1.0 $\pm$ 0.0
72,-0.0438 $\pm$ 0.0,0.0201 $\pm$ 0.0462,-0.0089 $\pm$ 0.0517,0.007 $\pm$ 0.0311,1.0 $\pm$ 0.0
73,0.0719 $\pm$ 0.0,0.1139 $\pm$ 0.0431,0.0838 $\pm$ 0.0288,0.093 $\pm$ 0.0291,0.1071 $\pm$ 0.0
74,0.0549 $\pm$ 0.0,0.3493 $\pm$ 0.1673,0.1516 $\pm$ 0.1577,0.2266 $\pm$ 0.1198,5.1184 $\pm$ 0.0
75,0.3429 $\pm$ 0.0,334634147.1805 $\pm$ 1326931055.3825,231578947.8894 $\pm$ 1268410133.138,0.5996 $\pm$ 0.3044,54444444444.4444 $\pm$ 0.0
76,0.3429 $\pm$ 0.0,334634147.1805 $\pm$ 1326931055.3825,231578947.8894 $\pm$ 1268410133.138,0.5996 $\pm$ 0.3044,54444444444.4444 $\pm$ 0.0
