Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.0861 $\pm$ 0.0,0.082 $\pm$ 0.0346,0.0935 $\pm$ 0.0233,0.1214 $\pm$ 0.029,1.0 $\pm$ 0.0
2,0.1265 $\pm$ 0.0,0.1178 $\pm$ 0.0474,0.1344 $\pm$ 0.0304,0.1558 $\pm$ 0.0327,1.0 $\pm$ 0.0
3,0.1265 $\pm$ 0.0,0.1178 $\pm$ 0.0474,0.1344 $\pm$ 0.0304,0.1558 $\pm$ 0.0327,1.0 $\pm$ 0.0
4,0.1504 $\pm$ 0.0,0.1388 $\pm$ 0.0543,0.1583 $\pm$ 0.0349,0.1753 $\pm$ 0.0361,1.0 $\pm$ 0.0
5,0.1265 $\pm$ 0.0,0.1178 $\pm$ 0.0474,0.1344 $\pm$ 0.0304,0.1558 $\pm$ 0.0327,1.0 $\pm$ 0.0
6,0.0528 $\pm$ 0.0,0.0516 $\pm$ 0.0227,0.059 $\pm$ 0.0174,0.091 $\pm$ 0.0281,1.0 $\pm$ 0.0
7,0.198 $\pm$ 0.0,0.1934 $\pm$ 0.0671,0.2212 $\pm$ 0.047,0.218 $\pm$ 0.0481,1.0 $\pm$ 0.0
8,0.2224 $\pm$ 0.0,0.2132 $\pm$ 0.0727,0.2422 $\pm$ 0.0524,0.2348 $\pm$ 0.0538,1.0 $\pm$ 0.0
9,0.1636 $\pm$ 0.0,0.1642 $\pm$ 0.0587,0.1902 $\pm$ 0.0393,0.1928 $\pm$ 0.0399,1.0 $\pm$ 0.0
10,0.1135 $\pm$ 0.0,0.1084 $\pm$ 0.0379,0.1231 $\pm$ 0.0264,0.1215 $\pm$ 0.0271,0.6508 $\pm$ 0.0
11,0.2224 $\pm$ 0.0,0.2132 $\pm$ 0.0727,0.2422 $\pm$ 0.0524,0.2348 $\pm$ 0.0538,1.0 $\pm$ 0.0
12,1.0426 $\pm$ 0.0,0.908 $\pm$ 0.4221,1.0227 $\pm$ 0.3124,1.0077 $\pm$ 0.2718,7.8421 $\pm$ 0.0
13,7.1277 $\pm$ 0.0,7.0227 $\pm$ 2.5482,7.9821 $\pm$ 1.7699,8.0281 $\pm$ 1.9239,26.0 $\pm$ 0.0
14,0.029 $\pm$ 0.0,0.025 $\pm$ 0.0115,0.0283 $\pm$ 0.0083,0.0274 $\pm$ 0.0072,0.3016 $\pm$ 0.0
31,0.0185 $\pm$ 0.0,0.0215 $\pm$ 0.0106,0.0298 $\pm$ 0.0055,0.041 $\pm$ 0.0074,0.2397 $\pm$ 0.0
32,0.2127 $\pm$ 0.0,0.0403 $\pm$ 0.348,0.1617 $\pm$ 0.3263,0.3084 $\pm$ 0.2279,1.61 $\pm$ 0.0
33,0.128 $\pm$ 0.0,0.1211 $\pm$ 0.0481,0.1383 $\pm$ 0.032,0.159 $\pm$ 0.0333,1.0 $\pm$ 0.0
34,0.6667 $\pm$ 0.0,0.7802 $\pm$ 0.3876,1.0741 $\pm$ 0.2032,1.5035 $\pm$ 0.2775,6.2322 $\pm$ 0.0
35,1.8397 $\pm$ 0.0,1.8559 $\pm$ 0.9214,2.0415 $\pm$ 0.7935,2.7632 $\pm$ 0.755,22.0886 $\pm$ 0.0
36,0.068 $\pm$ 0.0,0.0681 $\pm$ 0.0308,0.0776 $\pm$ 0.0223,0.1089 $\pm$ 0.0285,1.0 $\pm$ 0.0
37,0.0037 $\pm$ 0.0,0.0108 $\pm$ 0.0364,0.0162 $\pm$ 0.0329,0.0693 $\pm$ 0.0348,1.0 $\pm$ 0.0
38,0.128 $\pm$ 0.0,0.1211 $\pm$ 0.0481,0.1383 $\pm$ 0.032,0.159 $\pm$ 0.0333,1.0 $\pm$ 0.0
39,0.0037 $\pm$ 0.0,0.0108 $\pm$ 0.0364,0.0162 $\pm$ 0.0329,0.0693 $\pm$ 0.0348,1.0 $\pm$ 0.0
40,0.0955 $\pm$ 0.0,0.0971 $\pm$ 0.046,0.1246 $\pm$ 0.034,0.1411 $\pm$ 0.0288,0.6276 $\pm$ 0.0
