Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,3.0 $\pm$ 0.0,1.6002 $\pm$ 0.3958,1.5268 $\pm$ 0.4564,1.5901 $\pm$ 0.4643,0.0 $\pm$ 0.0
16,1.7071 $\pm$ 0.0,1.1818 $\pm$ 0.1165,1.1537 $\pm$ 0.1291,1.1726 $\pm$ 0.1333,0.0 $\pm$ 0.0
17,3.0 $\pm$ 0.0,1.6002 $\pm$ 0.3958,1.5268 $\pm$ 0.4564,1.5901 $\pm$ 0.4643,0.0 $\pm$ 0.0
18,3.0 $\pm$ 0.0,1.6002 $\pm$ 0.3958,1.5268 $\pm$ 0.4564,1.5901 $\pm$ 0.4643,0.0 $\pm$ 0.0
19,3.0 $\pm$ 0.0,1.6002 $\pm$ 0.3958,1.5268 $\pm$ 0.4564,1.5901 $\pm$ 0.4643,0.0 $\pm$ 0.0
20,0.1875 $\pm$ 0.0,0.9024 $\pm$ 0.0582,0.9215 $\pm$ 0.0614,0.8977 $\pm$ 0.0703,0.0 $\pm$ 0.0
21,3.0 $\pm$ 0.0,1.6002 $\pm$ 0.3958,1.5268 $\pm$ 0.4564,1.5901 $\pm$ 0.4643,0.0 $\pm$ 0.0
22,3.0 $\pm$ 0.0,1.6002 $\pm$ 0.3958,1.5268 $\pm$ 0.4564,1.5901 $\pm$ 0.4643,0.0 $\pm$ 0.0
23,0.0469 $\pm$ 0.0,0.8687 $\pm$ 0.0793,0.8948 $\pm$ 0.0824,0.8671 $\pm$ 0.0909,0.0 $\pm$ 0.0
24,0.0391 $\pm$ 0.0,0.872 $\pm$ 0.0769,0.8978 $\pm$ 0.08,0.8699 $\pm$ 0.0888,0.0 $\pm$ 0.0
25,0.1875 $\pm$ 0.0,0.9021 $\pm$ 0.0583,0.9211 $\pm$ 0.0618,0.8972 $\pm$ 0.0707,0.0 $\pm$ 0.0
26,0.0391 $\pm$ 0.0,0.8717 $\pm$ 0.077,0.8974 $\pm$ 0.0803,0.8694 $\pm$ 0.0891,0.0 $\pm$ 0.0
27,0.4417 $\pm$ 0.0,0.9609 $\pm$ 0.0278,0.9789 $\pm$ 0.0254,0.9621 $\pm$ 0.0387,0.0 $\pm$ 0.0
28,0.4417 $\pm$ 0.0,0.9609 $\pm$ 0.0278,0.9789 $\pm$ 0.0254,0.9621 $\pm$ 0.0387,0.0 $\pm$ 0.0
29,1.3078 $\pm$ 0.0,1.0988 $\pm$ 0.0653,1.0897 $\pm$ 0.0787,1.0954 $\pm$ 0.0803,0.0 $\pm$ 0.0
30,0.9247 $\pm$ 0.0,1.0281 $\pm$ 0.0234,1.03 $\pm$ 0.032,1.0255 $\pm$ 0.037,0.0 $\pm$ 0.0
62,0.2466 $\pm$ 0.0,0.983 $\pm$ 0.0589,1.0342 $\pm$ 0.0914,1.0081 $\pm$ 0.0981,0.0 $\pm$ 0.0
