Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.0373 $\pm$ 0.0,0.1074 $\pm$ 0.0391,0.1615 $\pm$ 0.0451,0.1784 $\pm$ 0.0764,1.0 $\pm$ 0.0
2,0.063 $\pm$ 0.0,0.1496 $\pm$ 0.0492,0.2058 $\pm$ 0.0534,0.2155 $\pm$ 0.0719,1.0 $\pm$ 0.0
3,0.063 $\pm$ 0.0,0.1496 $\pm$ 0.0492,0.2058 $\pm$ 0.0534,0.2155 $\pm$ 0.0719,1.0 $\pm$ 0.0
4,0.0819 $\pm$ 0.0,0.1743 $\pm$ 0.0555,0.2288 $\pm$ 0.0578,0.2354 $\pm$ 0.0699,1.0 $\pm$ 0.0
5,0.063 $\pm$ 0.0,0.1496 $\pm$ 0.0492,0.2058 $\pm$ 0.0534,0.2155 $\pm$ 0.0719,1.0 $\pm$ 0.0
6,0.0205 $\pm$ 0.0,0.0709 $\pm$ 0.0307,0.1174 $\pm$ 0.0375,0.1429 $\pm$ 0.0812,1.0 $\pm$ 0.0
7,0.18 $\pm$ 0.0,0.2451 $\pm$ 0.0699,0.2729 $\pm$ 0.0613,0.2777 $\pm$ 0.0658,1.0 $\pm$ 0.0
8,0.192 $\pm$ 0.0,0.2641 $\pm$ 0.0763,0.2898 $\pm$ 0.0668,0.2935 $\pm$ 0.069,1.0 $\pm$ 0.0
9,0.1604 $\pm$ 0.0,0.2161 $\pm$ 0.0608,0.2471 $\pm$ 0.0538,0.2537 $\pm$ 0.0633,1.0 $\pm$ 0.0
10,0.0921 $\pm$ 0.0,0.1339 $\pm$ 0.0385,0.1512 $\pm$ 0.036,0.1535 $\pm$ 0.0366,0.6378 $\pm$ 0.0
11,0.192 $\pm$ 0.0,0.2641 $\pm$ 0.0763,0.2898 $\pm$ 0.0668,0.2935 $\pm$ 0.069,1.0 $\pm$ 0.0
12,0.4412 $\pm$ 0.0,1.2613 $\pm$ 0.5012,1.5799 $\pm$ 0.5684,1.5706 $\pm$ 0.5049,10.4762 $\pm$ 0.0
13,9.0 $\pm$ 0.0,12.1805 $\pm$ 3.488,13.4699 $\pm$ 3.0223,13.8691 $\pm$ 3.2279,38.0 $\pm$ 0.0
14,0.0088 $\pm$ 0.0,0.0254 $\pm$ 0.0103,0.0321 $\pm$ 0.0119,0.0316 $\pm$ 0.0106,0.2757 $\pm$ 0.0
31,0.0159 $\pm$ 0.0,0.0296 $\pm$ 0.013,0.0467 $\pm$ 0.013,0.0537 $\pm$ 0.0299,0.214 $\pm$ 0.0
32,0.248 $\pm$ 0.0,0.2574 $\pm$ 0.36,0.4542 $\pm$ 0.2668,0.4218 $\pm$ 0.4411,1.7731 $\pm$ 0.0
33,0.0684 $\pm$ 0.0,0.1535 $\pm$ 0.0499,0.209 $\pm$ 0.0542,0.2182 $\pm$ 0.071,1.0 $\pm$ 0.0
34,0.7966 $\pm$ 0.0,1.476 $\pm$ 0.6689,2.3063 $\pm$ 0.6548,2.693 $\pm$ 1.5087,8.1321 $\pm$ 0.0
35,0.5464 $\pm$ 0.0,3.3029 $\pm$ 1.4086,5.3356 $\pm$ 1.7219,5.9968 $\pm$ 2.7593,32.9024 $\pm$ 0.0
36,0.0228 $\pm$ 0.0,0.0911 $\pm$ 0.0379,0.1497 $\pm$ 0.0451,0.1672 $\pm$ 0.0797,1.0 $\pm$ 0.0
37,-0.0574 $\pm$ 0.0,0.0282 $\pm$ 0.0503,0.1145 $\pm$ 0.0553,0.1296 $\pm$ 0.0996,1.0 $\pm$ 0.0
38,0.0684 $\pm$ 0.0,0.1535 $\pm$ 0.0499,0.209 $\pm$ 0.0542,0.2182 $\pm$ 0.071,1.0 $\pm$ 0.0
39,-0.0574 $\pm$ 0.0,0.0282 $\pm$ 0.0503,0.1145 $\pm$ 0.0553,0.1296 $\pm$ 0.0996,1.0 $\pm$ 0.0
40,0.1052 $\pm$ 0.0,0.1531 $\pm$ 0.0525,0.1888 $\pm$ 0.0436,0.1911 $\pm$ 0.0559,0.6675 $\pm$ 0.0
41,0.0743 $\pm$ 0.0,0.158 $\pm$ 0.0509,0.2126 $\pm$ 0.055,0.2215 $\pm$ 0.0699,1.0 $\pm$ 0.0
42,0.0743 $\pm$ 0.0,0.158 $\pm$ 0.0509,0.2126 $\pm$ 0.055,0.2215 $\pm$ 0.0699,1.0 $\pm$ 0.0
43,0.1485 $\pm$ 0.0,0.3161 $\pm$ 0.1018,0.4253 $\pm$ 0.11,0.443 $\pm$ 0.1398,2.0 $\pm$ 0.0
