Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.0 $\pm$ 0.0,0.0575 $\pm$ 0.0243,0.1302 $\pm$ 0.0455,0.1625 $\pm$ 0.0372,1.0 $\pm$ 0.0
2,0.0 $\pm$ 0.0,0.0919 $\pm$ 0.0371,0.1613 $\pm$ 0.0576,0.1938 $\pm$ 0.045,1.0 $\pm$ 0.0
3,0.0 $\pm$ 0.0,0.0919 $\pm$ 0.0371,0.1613 $\pm$ 0.0576,0.1938 $\pm$ 0.045,1.0 $\pm$ 0.0
4,0.0 $\pm$ 0.0,0.1157 $\pm$ 0.0456,0.1817 $\pm$ 0.0641,0.2125 $\pm$ 0.049,1.0 $\pm$ 0.0
5,0.0 $\pm$ 0.0,0.0919 $\pm$ 0.0371,0.1613 $\pm$ 0.0576,0.1938 $\pm$ 0.045,1.0 $\pm$ 0.0
6,0.0 $\pm$ 0.0,0.0332 $\pm$ 0.0146,0.1064 $\pm$ 0.0345,0.1357 $\pm$ 0.0303,1.0 $\pm$ 0.0
7,0.2392 $\pm$ 0.0,0.2335 $\pm$ 0.0791,0.2493 $\pm$ 0.0714,0.2681 $\pm$ 0.049,1.0 $\pm$ 0.0
8,0.2684 $\pm$ 0.0,0.2648 $\pm$ 0.089,0.2731 $\pm$ 0.0789,0.286 $\pm$ 0.0535,1.0 $\pm$ 0.0
9,0.1981 $\pm$ 0.0,0.1898 $\pm$ 0.0651,0.2157 $\pm$ 0.0608,0.2406 $\pm$ 0.0427,1.0 $\pm$ 0.0
10,0.1196 $\pm$ 0.0,0.1241 $\pm$ 0.0421,0.1361 $\pm$ 0.0419,0.1473 $\pm$ 0.0293,0.6538 $\pm$ 0.0
11,0.2684 $\pm$ 0.0,0.2648 $\pm$ 0.089,0.2731 $\pm$ 0.0789,0.286 $\pm$ 0.0535,1.0 $\pm$ 0.0
12,0.0 $\pm$ 0.0,0.5248 $\pm$ 0.2368,0.6965 $\pm$ 0.4089,0.7386 $\pm$ 0.3041,6.7692 $\pm$ 0.0
13,7.6538 $\pm$ 0.0,6.5857 $\pm$ 2.2519,7.0984 $\pm$ 2.0758,7.4614 $\pm$ 1.3577,22.0 $\pm$ 0.0
14,0.0 $\pm$ 0.0,0.0186 $\pm$ 0.0084,0.0245 $\pm$ 0.0144,0.0266 $\pm$ 0.0109,0.3077 $\pm$ 0.0
31,0.0 $\pm$ 0.0,0.0192 $\pm$ 0.0086,0.0856 $\pm$ 0.022,0.1074 $\pm$ 0.0238,0.2866 $\pm$ 0.0
32,-6.0215 $\pm$ 0.0,-0.4601 $\pm$ 0.9907,0.3763 $\pm$ 0.1102,0.484 $\pm$ 0.0942,1.6766 $\pm$ 0.0
33,0.0 $\pm$ 0.0,0.094 $\pm$ 0.0379,0.1634 $\pm$ 0.0577,0.1945 $\pm$ 0.045,1.0 $\pm$ 0.0
34,0.0 $\pm$ 0.0,0.5416 $\pm$ 0.2407,2.4412 $\pm$ 0.6338,2.9846 $\pm$ 0.6259,6.3059 $\pm$ 0.0
35,0.4215 $\pm$ 0.0,0.6541 $\pm$ 0.3466,1.3716 $\pm$ 0.8203,1.8074 $\pm$ 0.624,17.526 $\pm$ 0.0
36,0.0 $\pm$ 0.0,0.0374 $\pm$ 0.0183,0.1136 $\pm$ 0.0417,0.1479 $\pm$ 0.0355,1.0 $\pm$ 0.0
37,-0.3077 $\pm$ 0.0,-0.1147 $\pm$ 0.0559,0.0263 $\pm$ 0.0488,0.0822 $\pm$ 0.0449,1.0 $\pm$ 0.0
38,0.0 $\pm$ 0.0,0.094 $\pm$ 0.0379,0.1634 $\pm$ 0.0577,0.1945 $\pm$ 0.045,1.0 $\pm$ 0.0
39,-0.3077 $\pm$ 0.0,-0.1147 $\pm$ 0.0559,0.0263 $\pm$ 0.0488,0.0822 $\pm$ 0.0449,1.0 $\pm$ 0.0
40,-0.3077 $\pm$ 0.0,0.0421 $\pm$ 0.0701,0.1329 $\pm$ 0.043,0.171 $\pm$ 0.0335,0.6629 $\pm$ 0.0
41,0.0 $\pm$ 0.0,0.0963 $\pm$ 0.0387,0.1656 $\pm$ 0.0578,0.1953 $\pm$ 0.045,1.0 $\pm$ 0.0
42,0.0 $\pm$ 0.0,0.0963 $\pm$ 0.0387,0.1656 $\pm$ 0.0578,0.1953 $\pm$ 0.045,1.0 $\pm$ 0.0
43,0.0 $\pm$ 0.0,0.1926 $\pm$ 0.0773,0.3312 $\pm$ 0.1157,0.3905 $\pm$ 0.0899,2.0 $\pm$ 0.0
44,-0.1919 $\pm$ 0.0,0.2077 $\pm$ 0.1317,0.5925 $\pm$ 0.2078,0.7802 $\pm$ 0.1736,3.7064 $\pm$ 0.0
45,0.0 $\pm$ 0.0,0.1137 $\pm$ 0.046,0.182 $\pm$ 0.0625,0.2018 $\pm$ 0.0457,1.0 $\pm$ 0.0
46,0.0 $\pm$ 0.0,0.0802 $\pm$ 0.033,0.1508 $\pm$ 0.0553,0.1888 $\pm$ 0.0446,1.0 $\pm$ 0.0
47,-0.5962 $\pm$ 0.0,-0.7693 $\pm$ 0.2822,-0.6384 $\pm$ 0.2724,-0.4944 $\pm$ 0.2051,-1.3077 $\pm$ 0.0
48,-0.043 $\pm$ 0.0,0.055 $\pm$ 0.0379,0.14 $\pm$ 0.0545,0.1749 $\pm$ 0.0415,1.0 $\pm$ 0.0
49,0.1327 $\pm$ 0.0,0.1805 $\pm$ 0.062,0.218 $\pm$ 0.0655,0.2389 $\pm$ 0.0473,1.0 $\pm$ 0.0
50,0.0998 $\pm$ 0.0,0.0651 $\pm$ 0.0228,0.1176 $\pm$ 0.0273,0.139 $\pm$ 0.0251,0.3452 $\pm$ 0.0
51,0.3039 $\pm$ 0.0,0.5153 $\pm$ 0.358,2.6027 $\pm$ 0.9249,3.5228 $\pm$ 0.8008,22.0 $\pm$ 0.0
52,0.0472 $\pm$ 0.0,0.0569 $\pm$ 0.0251,0.1032 $\pm$ 0.0417,0.1354 $\pm$ 0.0334,0.7071 $\pm$ 0.0
53,0.0206 $\pm$ 0.0,0.0238 $\pm$ 0.0087,0.0327 $\pm$ 0.012,0.0405 $\pm$ 0.0094,0.2085 $\pm$ 0.0
54,-0.039 $\pm$ 0.0,0.0482 $\pm$ 0.0298,0.1273 $\pm$ 0.049,0.1695 $\pm$ 0.0405,1.0 $\pm$ 0.0
55,-0.3077 $\pm$ 0.0,0.0688 $\pm$ 0.0784,0.1744 $\pm$ 0.0691,0.2249 $\pm$ 0.0528,1.0 $\pm$ 0.0
56,1.4095 $\pm$ 0.0,1.0933 $\pm$ 0.4267,1990820242.3007 $\pm$ 550573561.3613,2443969611.6735 $\pm$ 613156073.4582,22000000000.0 $\pm$ 0.0
57,0.0 $\pm$ 0.0,0.0799 $\pm$ 0.0329,0.1483 $\pm$ 0.0511,0.1823 $\pm$ 0.0409,1.0 $\pm$ 0.0
58,-0.0558 $\pm$ 0.0,0.074 $\pm$ 0.0466,2716765841.0563 $\pm$ 752349503.1319,3331912928.7303 $\pm$ 834725574.8738,133371217497.6473 $\pm$ 0.0
59,0.8002 $\pm$ 0.0,0.1699 $\pm$ 0.0991,1.3496 $\pm$ 0.3518,1.6384 $\pm$ 0.3806,2.0714 $\pm$ 0.0
60,0.0 $\pm$ 0.0,0.0799 $\pm$ 0.0329,0.1483 $\pm$ 0.0511,0.1823 $\pm$ 0.0409,1.0 $\pm$ 0.0
61,-0.3077 $\pm$ 0.0,0.0859 $\pm$ 0.0847,0.192 $\pm$ 0.0762,0.2425 $\pm$ 0.0568,1.0 $\pm$ 0.0
63,-0.3077 $\pm$ 0.0,0.0377 $\pm$ 0.067,0.1419 $\pm$ 0.0527,0.1863 $\pm$ 0.0422,1.0 $\pm$ 0.0
64,0.0 $\pm$ 0.0,0.0799 $\pm$ 0.0375,69776692.5392 $\pm$ 19149896.9301,87951384.6398 $\pm$ 23159621.9141,6769230769.2308 $\pm$ 0.0
65,0.0 $\pm$ 0.0,0.0575 $\pm$ 0.0243,0.1302 $\pm$ 0.0455,0.1625 $\pm$ 0.0372,1.0 $\pm$ 0.0
66,-0.0043 $\pm$ 0.0,0.0073 $\pm$ 0.0043,0.0126 $\pm$ 0.0082,0.0168 $\pm$ 0.0063,0.1949 $\pm$ 0.0
67,0.1707 $\pm$ 0.0,0.1596 $\pm$ 0.0581,0.1937 $\pm$ 0.0552,0.2278 $\pm$ 0.0399,1.0 $\pm$ 0.0
68,-0.0287 $\pm$ 0.0,0.0446 $\pm$ 0.0276,0.0724 $\pm$ 0.048,0.0894 $\pm$ 0.0362,0.7794 $\pm$ 0.0
69,0.0 $\pm$ 0.0,0.0088 $\pm$ 0.0105,0.0873 $\pm$ 0.0329,0.1265 $\pm$ 0.0309,1.0 $\pm$ 0.0
70,0.0 $\pm$ 0.0,0.0019 $\pm$ 0.0024,0.0075 $\pm$ 0.0069,0.0129 $\pm$ 0.0054,0.3077 $\pm$ 0.0
71,0.0 $\pm$ 0.0,0.1411 $\pm$ 0.0546,0.199 $\pm$ 0.0633,0.228 $\pm$ 0.0469,1.0 $\pm$ 0.0
72,-0.3077 $\pm$ 0.0,-0.0251 $\pm$ 0.0582,0.0931 $\pm$ 0.05,0.1477 $\pm$ 0.0423,1.0 $\pm$ 0.0
73,0.0415 $\pm$ 0.0,0.0563 $\pm$ 0.0201,0.0552 $\pm$ 0.031,0.0548 $\pm$ 0.0237,0.2435 $\pm$ 0.0
74,-0.3923 $\pm$ 0.0,0.3377 $\pm$ 0.2436,2.4122 $\pm$ 0.663,3.0438 $\pm$ 0.6609,7.5934 $\pm$ 0.0
75,0.0 $\pm$ 0.0,0.8434 $\pm$ 0.4921,1921043549.7499 $\pm$ 531991435.6002,2356018227.1466 $\pm$ 590240114.4329,94307692307.6923 $\pm$ 0.0
