Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,1.2727 $\pm$ 0.0,3.6355 $\pm$ 0.9398,3.5994 $\pm$ 0.6859,3.3403 $\pm$ 0.5985,0.0 $\pm$ 0.0
16,1.0909 $\pm$ 0.0,1.6051 $\pm$ 0.2126,1.6026 $\pm$ 0.1627,1.5466 $\pm$ 0.1312,0.0 $\pm$ 0.0
17,1.2727 $\pm$ 0.0,3.6355 $\pm$ 0.9398,3.5994 $\pm$ 0.6859,3.3403 $\pm$ 0.5985,0.0 $\pm$ 0.0
18,1.2727 $\pm$ 0.0,3.6355 $\pm$ 0.9398,3.5994 $\pm$ 0.6859,3.3403 $\pm$ 0.5985,0.0 $\pm$ 0.0
19,1.2727 $\pm$ 0.0,3.6355 $\pm$ 0.9398,3.5994 $\pm$ 0.6859,3.3403 $\pm$ 0.5985,0.0 $\pm$ 0.0
20,0.9167 $\pm$ 0.0,0.781 $\pm$ 0.0782,0.78 $\pm$ 0.0647,0.8 $\pm$ 0.0547,0.0 $\pm$ 0.0
21,1.2727 $\pm$ 0.0,3.6355 $\pm$ 0.9398,3.5994 $\pm$ 0.6859,3.3403 $\pm$ 0.5985,0.0 $\pm$ 0.0
22,1.2727 $\pm$ 0.0,3.6355 $\pm$ 0.9398,3.5994 $\pm$ 0.6859,3.3403 $\pm$ 0.5985,0.0 $\pm$ 0.0
23,0.911 $\pm$ 0.0,0.7391 $\pm$ 0.0911,0.7376 $\pm$ 0.075,0.7599 $\pm$ 0.0623,0.0 $\pm$ 0.0
24,0.9097 $\pm$ 0.0,0.7379 $\pm$ 0.0922,0.7364 $\pm$ 0.0759,0.7589 $\pm$ 0.0631,0.0 $\pm$ 0.0
25,0.9167 $\pm$ 0.0,0.7767 $\pm$ 0.0789,0.7766 $\pm$ 0.0652,0.7962 $\pm$ 0.055,0.0 $\pm$ 0.0
26,0.9097 $\pm$ 0.0,0.7335 $\pm$ 0.0931,0.7327 $\pm$ 0.0765,0.7549 $\pm$ 0.0635,0.0 $\pm$ 0.0
27,1.0 $\pm$ 0.0,0.9109 $\pm$ 0.0467,0.8787 $\pm$ 0.0466,0.8909 $\pm$ 0.036,0.0 $\pm$ 0.0
28,1.0 $\pm$ 0.0,0.9109 $\pm$ 0.0467,0.8787 $\pm$ 0.0466,0.8909 $\pm$ 0.036,0.0 $\pm$ 0.0
29,1.0909 $\pm$ 0.0,1.1641 $\pm$ 0.0749,1.1277 $\pm$ 0.0408,1.118 $\pm$ 0.0351,0.0 $\pm$ 0.0
30,1.0377 $\pm$ 0.0,1.0355 $\pm$ 0.0354,1.0093 $\pm$ 0.0214,1.0092 $\pm$ 0.0172,0.0 $\pm$ 0.0
62,1.0909 $\pm$ 0.0,0.9155 $\pm$ 0.0942,0.831 $\pm$ 0.0758,0.858 $\pm$ 0.0621,0.0 $\pm$ 0.0
