Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
54,0.0005 $\pm$ 0.0,0.0515 $\pm$ 0.0196,0.063 $\pm$ 0.0318,0.1052 $\pm$ 0.0416,1.0 $\pm$ 0.0
55,-0.0655 $\pm$ 0.0,0.0695 $\pm$ 0.0519,0.0994 $\pm$ 0.0708,0.1824 $\pm$ 0.0685,1.0 $\pm$ 0.0
56,0.7809 $\pm$ 0.0,1.4642 $\pm$ 0.3745,1.553 $\pm$ 0.59,1.9138 $\pm$ 0.6382,38000000000.0 $\pm$ 0.0
57,0.0214 $\pm$ 0.0,0.0724 $\pm$ 0.0196,0.0803 $\pm$ 0.0323,0.1179 $\pm$ 0.0422,1.0 $\pm$ 0.0
58,0.0008 $\pm$ 0.0,0.0794 $\pm$ 0.0328,0.1047 $\pm$ 0.059,0.1783 $\pm$ 0.0785,331633080376.4907 $\pm$ 0.0
59,0.0732 $\pm$ 0.0,0.1961 $\pm$ 0.1194,0.2284 $\pm$ 0.102,0.3078 $\pm$ 0.161,2.7735 $\pm$ 0.0
60,0.0214 $\pm$ 0.0,0.0724 $\pm$ 0.0196,0.0803 $\pm$ 0.0323,0.1179 $\pm$ 0.0422,1.0 $\pm$ 0.0
61,-0.0569 $\pm$ 0.0,0.0884 $\pm$ 0.0543,0.1156 $\pm$ 0.0739,0.2015 $\pm$ 0.0724,1.0 $\pm$ 0.0
63,-0.0784 $\pm$ 0.0,0.0329 $\pm$ 0.0467,0.0642 $\pm$ 0.0631,0.1338 $\pm$ 0.0554,1.0 $\pm$ 0.0
64,0.015 $\pm$ 0.0,0.0683 $\pm$ 0.0288,0.0972 $\pm$ 0.0596,0.1561 $\pm$ 0.0858,8166666666.6667 $\pm$ 0.0
65,0.013 $\pm$ 0.0,0.0485 $\pm$ 0.0153,0.0573 $\pm$ 0.0255,0.0847 $\pm$ 0.0339,1.0 $\pm$ 0.0
66,0.0002 $\pm$ 0.0,0.0065 $\pm$ 0.0028,0.0079 $\pm$ 0.0043,0.0132 $\pm$ 0.0061,0.1624 $\pm$ 0.0
67,0.1169 $\pm$ 0.0,0.1875 $\pm$ 0.0426,0.1662 $\pm$ 0.0499,0.1947 $\pm$ 0.0535,1.0 $\pm$ 0.0
68,0.0005 $\pm$ 0.0,0.0364 $\pm$ 0.0157,0.0426 $\pm$ 0.0226,0.0708 $\pm$ 0.0315,0.6496 $\pm$ 0.0
69,0.0 $\pm$ 0.0,0.0091 $\pm$ 0.0091,0.0197 $\pm$ 0.0178,0.0367 $\pm$ 0.0251,1.0 $\pm$ 0.0
70,0.0 $\pm$ 0.0,0.0015 $\pm$ 0.0017,0.0033 $\pm$ 0.0032,0.0068 $\pm$ 0.0052,0.2149 $\pm$ 0.0
71,0.0482 $\pm$ 0.0,0.131 $\pm$ 0.0297,0.1332 $\pm$ 0.0453,0.1742 $\pm$ 0.0527,1.0 $\pm$ 0.0
72,-0.1088 $\pm$ 0.0,-0.0344 $\pm$ 0.0431,0.0083 $\pm$ 0.0571,0.0612 $\pm$ 0.0464,1.0 $\pm$ 0.0
73,0.0171 $\pm$ 0.0,0.0431 $\pm$ 0.0109,0.0528 $\pm$ 0.0295,0.0664 $\pm$ 0.0304,0.0745 $\pm$ 0.0
74,-0.0093 $\pm$ 0.0,0.4314 $\pm$ 0.1736,0.5953 $\pm$ 0.308,0.9339 $\pm$ 0.3318,9.9811 $\pm$ 0.0
75,0.2137 $\pm$ 0.0,1.0126 $\pm$ 0.4021,831887617.2754 $\pm$ 4003145886.3123,934693879.8053 $\pm$ 3606494785.0107,234500000000.0 $\pm$ 0.0
76,0.2137 $\pm$ 0.0,1.0126 $\pm$ 0.4021,831887617.2754 $\pm$ 4003145886.3123,934693879.8053 $\pm$ 3606494785.0107,234500000000.0 $\pm$ 0.0
