Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,3.0 $\pm$ 0.0,2.6974 $\pm$ 0.5728,2.3999 $\pm$ 0.4678,2.4985 $\pm$ 0.5748,0.0 $\pm$ 0.0
16,1.5189 $\pm$ 0.0,1.4676 $\pm$ 0.1523,1.373 $\pm$ 0.117,1.4071 $\pm$ 0.1522,0.0 $\pm$ 0.0
17,3.0 $\pm$ 0.0,2.6974 $\pm$ 0.5728,2.3999 $\pm$ 0.4678,2.4985 $\pm$ 0.5748,0.0 $\pm$ 0.0
18,3.0 $\pm$ 0.0,2.6974 $\pm$ 0.5728,2.3999 $\pm$ 0.4678,2.4985 $\pm$ 0.5748,0.0 $\pm$ 0.0
19,3.0 $\pm$ 0.0,2.6974 $\pm$ 0.5728,2.3999 $\pm$ 0.4678,2.4985 $\pm$ 0.5748,0.0 $\pm$ 0.0
20,0.8286 $\pm$ 0.0,0.7888 $\pm$ 0.0643,0.8507 $\pm$ 0.0456,0.8346 $\pm$ 0.0576,0.0 $\pm$ 0.0
21,3.0 $\pm$ 0.0,2.6974 $\pm$ 0.5728,2.3999 $\pm$ 0.4678,2.4985 $\pm$ 0.5748,0.0 $\pm$ 0.0
22,3.0 $\pm$ 0.0,2.6974 $\pm$ 0.5728,2.3999 $\pm$ 0.4678,2.4985 $\pm$ 0.5748,0.0 $\pm$ 0.0
23,0.7429 $\pm$ 0.0,0.7118 $\pm$ 0.0863,0.7894 $\pm$ 0.06,0.7678 $\pm$ 0.0806,0.0 $\pm$ 0.0
24,0.7616 $\pm$ 0.0,0.724 $\pm$ 0.0834,0.8011 $\pm$ 0.0581,0.7787 $\pm$ 0.0771,0.0 $\pm$ 0.0
25,0.8226 $\pm$ 0.0,0.7813 $\pm$ 0.0663,0.8466 $\pm$ 0.046,0.8293 $\pm$ 0.0593,0.0 $\pm$ 0.0
26,0.7554 $\pm$ 0.0,0.7165 $\pm$ 0.0855,0.797 $\pm$ 0.0588,0.7734 $\pm$ 0.0789,0.0 $\pm$ 0.0
27,0.9124 $\pm$ 0.0,0.8554 $\pm$ 0.0495,0.9048 $\pm$ 0.0384,0.8915 $\pm$ 0.0364,0.0 $\pm$ 0.0
28,0.9124 $\pm$ 0.0,0.8554 $\pm$ 0.0495,0.9048 $\pm$ 0.0384,0.8915 $\pm$ 0.0364,0.0 $\pm$ 0.0
29,1.1845 $\pm$ 0.0,1.1306 $\pm$ 0.0535,1.1116 $\pm$ 0.0539,1.1226 $\pm$ 0.0567,0.0 $\pm$ 0.0
30,1.0468 $\pm$ 0.0,1.0004 $\pm$ 0.0256,1.0113 $\pm$ 0.03,1.0122 $\pm$ 0.0201,0.0 $\pm$ 0.0
62,0.981 $\pm$ 0.0,0.8761 $\pm$ 0.0646,0.9512 $\pm$ 0.0613,0.9128 $\pm$ 0.0458,0.0 $\pm$ 0.0
