Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,2.8889 $\pm$ 0.0,2.5664 $\pm$ 0.5368,2.1844 $\pm$ 0.4184,2.2815 $\pm$ 0.6119,0.0 $\pm$ 0.0
16,1.6746 $\pm$ 0.0,1.4404 $\pm$ 0.1359,1.3329 $\pm$ 0.1067,1.3538 $\pm$ 0.1525,0.0 $\pm$ 0.0
17,2.8889 $\pm$ 0.0,2.5664 $\pm$ 0.5368,2.1844 $\pm$ 0.4184,2.2815 $\pm$ 0.6119,0.0 $\pm$ 0.0
18,2.8889 $\pm$ 0.0,2.5664 $\pm$ 0.5368,2.1844 $\pm$ 0.4184,2.2815 $\pm$ 0.6119,0.0 $\pm$ 0.0
19,2.8889 $\pm$ 0.0,2.5664 $\pm$ 0.5368,2.1844 $\pm$ 0.4184,2.2815 $\pm$ 0.6119,0.0 $\pm$ 0.0
20,0.1605 $\pm$ 0.0,0.776 $\pm$ 0.0608,0.823 $\pm$ 0.0604,0.812 $\pm$ 0.0571,0.0 $\pm$ 0.0
21,2.8889 $\pm$ 0.0,2.5664 $\pm$ 0.5368,2.1844 $\pm$ 0.4184,2.2815 $\pm$ 0.6119,0.0 $\pm$ 0.0
22,2.8889 $\pm$ 0.0,2.5664 $\pm$ 0.5368,2.1844 $\pm$ 0.4184,2.2815 $\pm$ 0.6119,0.0 $\pm$ 0.0
23,0.0401 $\pm$ 0.0,0.7054 $\pm$ 0.0761,0.7693 $\pm$ 0.0709,0.754 $\pm$ 0.0733,0.0 $\pm$ 0.0
24,0.0288 $\pm$ 0.0,0.7136 $\pm$ 0.0735,0.7758 $\pm$ 0.0712,0.7625 $\pm$ 0.0696,0.0 $\pm$ 0.0
25,0.1605 $\pm$ 0.0,0.7698 $\pm$ 0.0626,0.8194 $\pm$ 0.0601,0.8091 $\pm$ 0.0582,0.0 $\pm$ 0.0
26,0.0288 $\pm$ 0.0,0.7074 $\pm$ 0.0757,0.7722 $\pm$ 0.0711,0.7596 $\pm$ 0.0709,0.0 $\pm$ 0.0
27,0.2862 $\pm$ 0.0,0.8512 $\pm$ 0.0552,0.8708 $\pm$ 0.0518,0.8636 $\pm$ 0.0495,0.0 $\pm$ 0.0
28,0.2862 $\pm$ 0.0,0.8512 $\pm$ 0.0552,0.8708 $\pm$ 0.0518,0.8636 $\pm$ 0.0495,0.0 $\pm$ 0.0
29,1.052 $\pm$ 0.0,1.1262 $\pm$ 0.0519,1.0795 $\pm$ 0.0462,1.0882 $\pm$ 0.0672,0.0 $\pm$ 0.0
30,0.7439 $\pm$ 0.0,0.9961 $\pm$ 0.035,0.9834 $\pm$ 0.0319,0.9846 $\pm$ 0.0399,0.0 $\pm$ 0.0
62,0.1123 $\pm$ 0.0,0.8789 $\pm$ 0.0789,0.8949 $\pm$ 0.0691,0.8938 $\pm$ 0.0882,0.0 $\pm$ 0.0
