Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,6.3333 $\pm$ 0.0,7.6835 $\pm$ 1.3058,6.4631 $\pm$ 0.9075,4.4145 $\pm$ 1.6281,0.0 $\pm$ 0.0
16,2.2576 $\pm$ 0.0,2.4711 $\pm$ 0.2296,2.2496 $\pm$ 0.2004,1.5641 $\pm$ 0.5582,0.0 $\pm$ 0.0
17,6.3333 $\pm$ 0.0,7.6835 $\pm$ 1.3058,6.4631 $\pm$ 0.9075,4.4145 $\pm$ 1.6281,0.0 $\pm$ 0.0
18,6.3333 $\pm$ 0.0,7.6835 $\pm$ 1.3058,6.4631 $\pm$ 0.9075,4.4145 $\pm$ 1.6281,0.0 $\pm$ 0.0
19,6.3333 $\pm$ 0.0,7.6835 $\pm$ 1.3058,6.4631 $\pm$ 0.9075,4.4145 $\pm$ 1.6281,0.0 $\pm$ 0.0
20,0.4157 $\pm$ 0.0,0.4236 $\pm$ 0.0567,0.4161 $\pm$ 0.0388,0.37 $\pm$ 0.06,0.0 $\pm$ 0.0
21,6.3333 $\pm$ 0.0,7.6835 $\pm$ 1.3058,6.4631 $\pm$ 0.9075,4.4145 $\pm$ 1.6281,0.0 $\pm$ 0.0
22,6.3333 $\pm$ 0.0,7.6835 $\pm$ 1.3058,6.4631 $\pm$ 0.9075,4.4145 $\pm$ 1.6281,0.0 $\pm$ 0.0
23,0.3718 $\pm$ 0.0,0.3746 $\pm$ 0.061,0.3694 $\pm$ 0.0407,0.3371 $\pm$ 0.0553,0.0 $\pm$ 0.0
24,0.364 $\pm$ 0.0,0.3663 $\pm$ 0.0616,0.362 $\pm$ 0.0411,0.3324 $\pm$ 0.0544,0.0 $\pm$ 0.0
25,0.4145 $\pm$ 0.0,0.4219 $\pm$ 0.0568,0.4148 $\pm$ 0.0389,0.3691 $\pm$ 0.0599,0.0 $\pm$ 0.0
26,0.3627 $\pm$ 0.0,0.3645 $\pm$ 0.0617,0.3605 $\pm$ 0.0414,0.3315 $\pm$ 0.0544,0.0 $\pm$ 0.0
27,0.8897 $\pm$ 0.0,0.8129 $\pm$ 0.0483,0.7535 $\pm$ 0.076,0.5697 $\pm$ 0.1686,0.0 $\pm$ 0.0
28,0.8897 $\pm$ 0.0,0.8129 $\pm$ 0.0483,0.7535 $\pm$ 0.076,0.5697 $\pm$ 0.1686,0.0 $\pm$ 0.0
29,1.523 $\pm$ 0.0,1.4245 $\pm$ 0.0729,1.3472 $\pm$ 0.1005,0.9467 $\pm$ 0.3577,0.0 $\pm$ 0.0
30,1.1815 $\pm$ 0.0,1.1123 $\pm$ 0.0432,1.0562 $\pm$ 0.0723,0.7649 $\pm$ 0.2609,0.0 $\pm$ 0.0
62,0.7056 $\pm$ 0.0,0.6245 $\pm$ 0.0833,0.5835 $\pm$ 0.0968,0.4544 $\pm$ 0.131,0.0 $\pm$ 0.0
