Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,2.7241 $\pm$ 0.0,1.1334 $\pm$ 0.3862,0.8958 $\pm$ 0.2221,0.7522 $\pm$ 0.4654,0.0 $\pm$ 0.0
16,1.5174 $\pm$ 0.0,0.9106 $\pm$ 0.1733,0.7849 $\pm$ 0.134,0.6244 $\pm$ 0.3198,0.0 $\pm$ 0.0
17,2.7241 $\pm$ 0.0,1.1334 $\pm$ 0.3862,0.8958 $\pm$ 0.2221,0.7522 $\pm$ 0.4654,0.0 $\pm$ 0.0
18,2.7241 $\pm$ 0.0,1.1334 $\pm$ 0.3862,0.8958 $\pm$ 0.2221,0.7522 $\pm$ 0.4654,0.0 $\pm$ 0.0
19,2.7241 $\pm$ 0.0,1.1334 $\pm$ 0.3862,0.8958 $\pm$ 0.2221,0.7522 $\pm$ 0.4654,0.0 $\pm$ 0.0
20,0.5822 $\pm$ 0.0,0.6081 $\pm$ 0.0767,0.6322 $\pm$ 0.0869,0.4273 $\pm$ 0.1725,0.0 $\pm$ 0.0
21,2.7241 $\pm$ 0.0,1.1334 $\pm$ 0.3862,0.8958 $\pm$ 0.2221,0.7522 $\pm$ 0.4654,0.0 $\pm$ 0.0
22,2.7241 $\pm$ 0.0,1.1334 $\pm$ 0.3862,0.8958 $\pm$ 0.2221,0.7522 $\pm$ 0.4654,0.0 $\pm$ 0.0
23,0.5335 $\pm$ 0.0,0.5941 $\pm$ 0.0851,0.6251 $\pm$ 0.0921,0.4187 $\pm$ 0.1681,0.0 $\pm$ 0.0
24,0.5277 $\pm$ 0.0,0.592 $\pm$ 0.086,0.6239 $\pm$ 0.0928,0.4171 $\pm$ 0.1675,0.0 $\pm$ 0.0
25,0.5791 $\pm$ 0.0,0.6074 $\pm$ 0.0769,0.6321 $\pm$ 0.087,0.4272 $\pm$ 0.1724,0.0 $\pm$ 0.0
26,0.5246 $\pm$ 0.0,0.5913 $\pm$ 0.0864,0.6237 $\pm$ 0.093,0.4169 $\pm$ 0.1674,0.0 $\pm$ 0.0
27,0.7845 $\pm$ 0.0,0.6313 $\pm$ 0.0641,0.6446 $\pm$ 0.0802,0.4505 $\pm$ 0.1844,0.0 $\pm$ 0.0
28,0.7845 $\pm$ 0.0,0.6313 $\pm$ 0.0641,0.6446 $\pm$ 0.0802,0.4505 $\pm$ 0.1844,0.0 $\pm$ 0.0
29,1.215 $\pm$ 0.0,0.7668 $\pm$ 0.0937,0.7145 $\pm$ 0.0905,0.5504 $\pm$ 0.252,0.0 $\pm$ 0.0
30,1.0106 $\pm$ 0.0,0.7148 $\pm$ 0.0699,0.6876 $\pm$ 0.0784,0.511 $\pm$ 0.2225,0.0 $\pm$ 0.0
62,0.6111 $\pm$ 0.0,0.5992 $\pm$ 0.0804,0.6274 $\pm$ 0.0898,0.4222 $\pm$ 0.1709,0.0 $\pm$ 0.0
