Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,2.0882 $\pm$ 0.0,2.8275 $\pm$ 0.7568,2.5448 $\pm$ 0.706,2.4557 $\pm$ 0.9577,0.0 $\pm$ 0.0
16,1.3033 $\pm$ 0.0,1.4516 $\pm$ 0.1851,1.3704 $\pm$ 0.1722,1.3048 $\pm$ 0.2754,0.0 $\pm$ 0.0
17,2.0882 $\pm$ 0.0,2.8275 $\pm$ 0.7568,2.5448 $\pm$ 0.706,2.4557 $\pm$ 0.9577,0.0 $\pm$ 0.0
18,2.0882 $\pm$ 0.0,2.8275 $\pm$ 0.7568,2.5448 $\pm$ 0.706,2.4557 $\pm$ 0.9577,0.0 $\pm$ 0.0
19,2.0882 $\pm$ 0.0,2.8275 $\pm$ 0.7568,2.5448 $\pm$ 0.706,2.4557 $\pm$ 0.9577,0.0 $\pm$ 0.0
20,0.82 $\pm$ 0.0,0.7549 $\pm$ 0.0699,0.7271 $\pm$ 0.0613,0.7223 $\pm$ 0.0658,0.0 $\pm$ 0.0
21,2.0882 $\pm$ 0.0,2.8275 $\pm$ 0.7568,2.5448 $\pm$ 0.706,2.4557 $\pm$ 0.9577,0.0 $\pm$ 0.0
22,2.0882 $\pm$ 0.0,2.8275 $\pm$ 0.7568,2.5448 $\pm$ 0.706,2.4557 $\pm$ 0.9577,0.0 $\pm$ 0.0
23,0.8006 $\pm$ 0.0,0.7228 $\pm$ 0.0809,0.6987 $\pm$ 0.0708,0.6955 $\pm$ 0.072,0.0 $\pm$ 0.0
24,0.7977 $\pm$ 0.0,0.7205 $\pm$ 0.0815,0.6966 $\pm$ 0.0714,0.6937 $\pm$ 0.0722,0.0 $\pm$ 0.0
25,0.8197 $\pm$ 0.0,0.7525 $\pm$ 0.0708,0.7253 $\pm$ 0.0618,0.7203 $\pm$ 0.0662,0.0 $\pm$ 0.0
26,0.7974 $\pm$ 0.0,0.718 $\pm$ 0.0824,0.6947 $\pm$ 0.072,0.6916 $\pm$ 0.073,0.0 $\pm$ 0.0
27,0.937 $\pm$ 0.0,0.8504 $\pm$ 0.0492,0.7942 $\pm$ 0.0534,0.7845 $\pm$ 0.0719,0.0 $\pm$ 0.0
28,0.937 $\pm$ 0.0,0.8504 $\pm$ 0.0492,0.7942 $\pm$ 0.0534,0.7845 $\pm$ 0.0719,0.0 $\pm$ 0.0
29,1.1306 $\pm$ 0.0,1.0955 $\pm$ 0.0606,1.0264 $\pm$ 0.0536,0.9856 $\pm$ 0.1283,0.0 $\pm$ 0.0
30,1.032 $\pm$ 0.0,0.9832 $\pm$ 0.0342,0.9277 $\pm$ 0.0385,0.898 $\pm$ 0.0944,0.0 $\pm$ 0.0
62,0.8682 $\pm$ 0.0,0.7716 $\pm$ 0.0741,0.7269 $\pm$ 0.0669,0.7278 $\pm$ 0.0633,0.0 $\pm$ 0.0
