Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
54,0.0713 $\pm$ 0.0,0.0087 $\pm$ 0.0127,0.0461 $\pm$ 0.0263,0.0632 $\pm$ 0.0371,1.0 $\pm$ 0.0
55,0.1247 $\pm$ 0.0,-0.0526 $\pm$ 0.0733,0.0636 $\pm$ 0.0883,0.1012 $\pm$ 0.0806,1.0 $\pm$ 0.0
56,0.9988 $\pm$ 0.0,1.1395 $\pm$ 0.6163,1.4435 $\pm$ 0.7367,1.2421 $\pm$ 0.5292,38000000000.0 $\pm$ 0.0
57,0.0787 $\pm$ 0.0,0.0348 $\pm$ 0.0144,0.0695 $\pm$ 0.0279,0.08 $\pm$ 0.0378,1.0 $\pm$ 0.0
58,0.1118 $\pm$ 0.0,0.0131 $\pm$ 0.0188,0.0699 $\pm$ 0.0401,0.1015 $\pm$ 0.0635,331633080376.4907 $\pm$ 0.0
59,0.1525 $\pm$ 0.0,0.3813 $\pm$ 0.4546,0.4698 $\pm$ 0.5995,0.1572 $\pm$ 0.1414,2.7735 $\pm$ 0.0
60,0.0787 $\pm$ 0.0,0.0348 $\pm$ 0.0144,0.0695 $\pm$ 0.0279,0.08 $\pm$ 0.0378,1.0 $\pm$ 0.0
61,0.1382 $\pm$ 0.0,-0.0454 $\pm$ 0.0746,0.081 $\pm$ 0.0952,0.118 $\pm$ 0.0867,1.0 $\pm$ 0.0
63,0.0911 $\pm$ 0.0,-0.0644 $\pm$ 0.0717,0.0305 $\pm$ 0.0754,0.0661 $\pm$ 0.0664,1.0 $\pm$ 0.0
64,0.0903 $\pm$ 0.0,0.0276 $\pm$ 0.0129,0.0619 $\pm$ 0.0266,0.0913 $\pm$ 0.0603,8166666666.6667 $\pm$ 0.0
65,0.0583 $\pm$ 0.0,0.0224 $\pm$ 0.0096,0.0458 $\pm$ 0.0185,0.0569 $\pm$ 0.0299,1.0 $\pm$ 0.0
66,0.0095 $\pm$ 0.0,0.0017 $\pm$ 0.0017,0.0062 $\pm$ 0.0032,0.009 $\pm$ 0.0058,0.1624 $\pm$ 0.0
67,0.1118 $\pm$ 0.0,0.1393 $\pm$ 0.0504,0.1677 $\pm$ 0.0587,0.1564 $\pm$ 0.0549,1.0 $\pm$ 0.0
68,0.0541 $\pm$ 0.0,0.0108 $\pm$ 0.0111,0.0375 $\pm$ 0.0191,0.0504 $\pm$ 0.0315,0.6496 $\pm$ 0.0
69,0.019 $\pm$ 0.0,0.0019 $\pm$ 0.0024,0.0098 $\pm$ 0.0081,0.0184 $\pm$ 0.0189,1.0 $\pm$ 0.0
70,0.0033 $\pm$ 0.0,0.0004 $\pm$ 0.0005,0.0019 $\pm$ 0.0016,0.0039 $\pm$ 0.0041,0.2149 $\pm$ 0.0
71,0.1138 $\pm$ 0.0,0.0707 $\pm$ 0.0287,0.1229 $\pm$ 0.0495,0.1297 $\pm$ 0.0537,1.0 $\pm$ 0.0
72,0.061 $\pm$ 0.0,-0.1193 $\pm$ 0.0632,-0.0523 $\pm$ 0.0569,0.0054 $\pm$ 0.0549,1.0 $\pm$ 0.0
73,0.0572 $\pm$ 0.0,0.0626 $\pm$ 0.0207,0.077 $\pm$ 0.0269,0.061 $\pm$ 0.027,0.0745 $\pm$ 0.0
74,0.6036 $\pm$ 0.0,0.0314 $\pm$ 0.1377,0.3774 $\pm$ 0.2671,0.4846 $\pm$ 0.2836,9.9811 $\pm$ 0.0
75,1.3876 $\pm$ 0.0,0.3486 $\pm$ 0.1765,97916667.5643 $\pm$ 536311670.8575,164000001.1618 $\pm$ 898264994.1516,234500000000.0 $\pm$ 0.0
76,1.3876 $\pm$ 0.0,0.3486 $\pm$ 0.1765,97916667.5643 $\pm$ 536311670.8575,164000001.1618 $\pm$ 898264994.1516,234500000000.0 $\pm$ 0.0
