Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
54,0.1141 $\pm$ 0.0,0.2685 $\pm$ 0.0492,0.3259 $\pm$ 0.0586,0.5412 $\pm$ 0.1591,1.0 $\pm$ 0.0
55,0.3732 $\pm$ 0.0,0.5141 $\pm$ 0.0532,0.5627 $\pm$ 0.0456,0.6342 $\pm$ 0.0922,1.0 $\pm$ 0.0
56,9.4722 $\pm$ 0.0,14.1803 $\pm$ 1.2679,13.7668 $\pm$ 2.744,36702445771.6646 $\pm$ 20731401323.0974,72000000000.0 $\pm$ 0.0
57,0.1424 $\pm$ 0.0,0.289 $\pm$ 0.0471,0.3474 $\pm$ 0.0573,0.5554 $\pm$ 0.1497,1.0 $\pm$ 0.0
58,0.1647 $\pm$ 0.0,0.435 $\pm$ 0.1113,0.5753 $\pm$ 0.1987,209098374279.4703 $\pm$ 120136691006.0125,1220958204697.5024 $\pm$ 0.0
59,3.6014 $\pm$ 0.0,6.8877 $\pm$ 0.7076,6.0201 $\pm$ 0.4767,6.9377 $\pm$ 0.4344,6.0592 $\pm$ 0.0
60,0.1424 $\pm$ 0.0,0.289 $\pm$ 0.0471,0.3474 $\pm$ 0.0573,0.5554 $\pm$ 0.1497,1.0 $\pm$ 0.0
61,0.4287 $\pm$ 0.0,0.5454 $\pm$ 0.048,0.586 $\pm$ 0.0452,0.6556 $\pm$ 0.0813,1.0 $\pm$ 0.0
63,0.26 $\pm$ 0.0,0.4217 $\pm$ 0.0862,0.4956 $\pm$ 0.0748,0.5822 $\pm$ 0.1264,1.0 $\pm$ 0.0
64,0.0991 $\pm$ 0.0,0.2883 $\pm$ 0.1025,0.4544 $\pm$ 0.2858,1861394242.9784 $\pm$ 1065720614.9748,15695652173.913 $\pm$ 0.0
65,0.0845 $\pm$ 0.0,0.192 $\pm$ 0.0432,0.2468 $\pm$ 0.0631,0.5191 $\pm$ 0.1783,1.0 $\pm$ 0.0
66,0.0084 $\pm$ 0.0,0.0181 $\pm$ 0.0055,0.0261 $\pm$ 0.0061,0.0378 $\pm$ 0.0105,0.1665 $\pm$ 0.0
67,0.5025 $\pm$ 0.0,0.6191 $\pm$ 0.0295,0.6287 $\pm$ 0.0273,0.678 $\pm$ 0.022,1.0 $\pm$ 0.0
68,0.0436 $\pm$ 0.0,0.0928 $\pm$ 0.0341,0.1347 $\pm$ 0.0346,0.1816 $\pm$ 0.0508,0.6662 $\pm$ 0.0
69,0.0 $\pm$ 0.0,0.0639 $\pm$ 0.0437,0.1283 $\pm$ 0.0778,0.4626 $\pm$ 0.2151,1.0 $\pm$ 0.0
70,0.0 $\pm$ 0.0,0.004 $\pm$ 0.0029,0.0101 $\pm$ 0.0064,0.0284 $\pm$ 0.0125,0.218 $\pm$ 0.0
71,0.332 $\pm$ 0.0,0.4744 $\pm$ 0.0374,0.5153 $\pm$ 0.0366,0.6334 $\pm$ 0.0806,1.0 $\pm$ 0.0
72,0.071 $\pm$ 0.0,0.2271 $\pm$ 0.0683,0.2816 $\pm$ 0.0663,0.5155 $\pm$ 0.1762,1.0 $\pm$ 0.0
73,0.0508 $\pm$ 0.0,0.1217 $\pm$ 0.0904,0.2973 $\pm$ 0.1977,0.4195 $\pm$ 0.1875,0.3491 $\pm$ 0.0
74,2.2731 $\pm$ 0.0,5.2228 $\pm$ 0.7996,5.8955 $\pm$ 1.0791,15.5428 $\pm$ 6.7979,23.469 $\pm$ 0.0
75,2.9861 $\pm$ 0.0,5968539334.5482 $\pm$ 32691036239.7092,44918150680.7366 $\pm$ 68565309415.5037,147854878390.8976 $\pm$ 84949468876.1003,863347826086.9563 $\pm$ 0.0
76,2.9861 $\pm$ 0.0,5968539334.5482 $\pm$ 32691036239.7092,44918150680.7366 $\pm$ 68565309415.5037,147854878390.8976 $\pm$ 84949468876.1003,863347826086.9563 $\pm$ 0.0
