Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
54,0.1044 $\pm$ 0.0,0.1344 $\pm$ 0.0409,0.2009 $\pm$ 0.0472,0.1944 $\pm$ 0.0471,1.0 $\pm$ 0.0
55,0.1336 $\pm$ 0.0,0.1951 $\pm$ 0.0844,0.2627 $\pm$ 0.0673,0.2402 $\pm$ 0.0803,1.0 $\pm$ 0.0
56,1.4694 $\pm$ 0.0,2.2248 $\pm$ 0.7655,3529020925.0444 $\pm$ 627230294.2372,3377761744.9164 $\pm$ 800154518.1803,26000000000.0 $\pm$ 0.0
57,0.1411 $\pm$ 0.0,0.1552 $\pm$ 0.0412,0.2117 $\pm$ 0.0487,0.2147 $\pm$ 0.0478,1.0 $\pm$ 0.0
58,0.164 $\pm$ 0.0,0.2481 $\pm$ 0.0842,9402007254.8519 $\pm$ 1676283078.127,9004108975.6871 $\pm$ 2144030363.5784,187494945453.5698 $\pm$ 0.0
59,0.396 $\pm$ 0.0,0.36 $\pm$ 0.2017,0.6891 $\pm$ 0.1153,0.7235 $\pm$ 0.1361,1.6113 $\pm$ 0.0
60,0.1411 $\pm$ 0.0,0.1552 $\pm$ 0.0412,0.2117 $\pm$ 0.0487,0.2147 $\pm$ 0.0478,1.0 $\pm$ 0.0
61,0.1624 $\pm$ 0.0,0.2179 $\pm$ 0.0894,0.2789 $\pm$ 0.0718,0.2597 $\pm$ 0.0841,1.0 $\pm$ 0.0
63,0.0701 $\pm$ 0.0,0.1419 $\pm$ 0.072,0.2229 $\pm$ 0.0561,0.1948 $\pm$ 0.0705,1.0 $\pm$ 0.0
64,0.1683 $\pm$ 0.0,0.2823 $\pm$ 0.1353,204909380.832 $\pm$ 36175202.2603,194328486.1133 $\pm$ 42808034.9078,7842105263.1579 $\pm$ 0.0
65,0.1063 $\pm$ 0.0,0.1212 $\pm$ 0.0338,0.1874 $\pm$ 0.0429,0.1879 $\pm$ 0.0423,1.0 $\pm$ 0.0
66,0.0175 $\pm$ 0.0,0.0217 $\pm$ 0.0062,0.0224 $\pm$ 0.0089,0.0214 $\pm$ 0.0076,0.1961 $\pm$ 0.0
67,0.2181 $\pm$ 0.0,0.2336 $\pm$ 0.0514,0.2416 $\pm$ 0.0559,0.2617 $\pm$ 0.0522,1.0 $\pm$ 0.0
68,0.0998 $\pm$ 0.0,0.1196 $\pm$ 0.0329,0.1222 $\pm$ 0.0482,0.1145 $\pm$ 0.044,0.7845 $\pm$ 0.0
69,0.0414 $\pm$ 0.0,0.0669 $\pm$ 0.0266,0.1498 $\pm$ 0.0365,0.1367 $\pm$ 0.0348,1.0 $\pm$ 0.0
70,0.0098 $\pm$ 0.0,0.016 $\pm$ 0.0069,0.0178 $\pm$ 0.0097,0.0149 $\pm$ 0.0063,0.3016 $\pm$ 0.0
71,0.2076 $\pm$ 0.0,0.2178 $\pm$ 0.0546,0.2512 $\pm$ 0.0593,0.2657 $\pm$ 0.0604,1.0 $\pm$ 0.0
72,-0.0014 $\pm$ 0.0,0.0642 $\pm$ 0.0613,0.172 $\pm$ 0.0479,0.1445 $\pm$ 0.065,1.0 $\pm$ 0.0
73,0.1176 $\pm$ 0.0,0.1006 $\pm$ 0.0282,0.0975 $\pm$ 0.0417,0.109 $\pm$ 0.0307,0.1466 $\pm$ 0.0
74,0.6583 $\pm$ 0.0,0.957 $\pm$ 0.4537,2.4997 $\pm$ 0.4245,2.4881 $\pm$ 0.54,7.6134 $\pm$ 0.0
75,1.7338 $\pm$ 0.0,362500002.2135 $\pm$ 1985494270.8569,7051184760.3565 $\pm$ 2032457766.8678,6366866516.8881 $\pm$ 1516058409.1787,132578947368.4211 $\pm$ 0.0
76,1.7338 $\pm$ 0.0,362500002.2135 $\pm$ 1985494270.8569,7051184760.3565 $\pm$ 2032457766.8678,6366866516.8881 $\pm$ 1516058409.1787,132578947368.4211 $\pm$ 0.0
