Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
54,0.1129 $\pm$ 0.0,0.0668 $\pm$ 0.0695,0.0499 $\pm$ 0.0404,0.1255 $\pm$ 0.066,1.0 $\pm$ 0.0
55,0.1414 $\pm$ 0.0,0.0843 $\pm$ 0.1043,0.0579 $\pm$ 0.0678,0.1399 $\pm$ 0.0913,1.0 $\pm$ 0.0
56,888888889.287 $\pm$ 0.0,32432433.2528 $\pm$ 177639748.3604,91779585.0115 $\pm$ 364814712.4157,603287752.5818 $\pm$ 910078579.8864,16000000000.0 $\pm$ 0.0
57,0.1362 $\pm$ 0.0,0.1046 $\pm$ 0.0605,0.0815 $\pm$ 0.0404,0.1571 $\pm$ 0.0602,1.0 $\pm$ 0.0
58,2199887763.7835 $\pm$ 0.0,81540241.5622 $\pm$ 446614295.783,418004225.5557 $\pm$ 1875998435.5825,3183207765.9328 $\pm$ 5371052858.6598,76996071729.2018 $\pm$ 0.0
59,0.2566 $\pm$ 0.0,0.1537 $\pm$ 0.1503,0.1086 $\pm$ 0.0737,0.1387 $\pm$ 0.077,1.0383 $\pm$ 0.0
60,0.1362 $\pm$ 0.0,0.1046 $\pm$ 0.0605,0.0815 $\pm$ 0.0404,0.1571 $\pm$ 0.0602,1.0 $\pm$ 0.0
61,0.1535 $\pm$ 0.0,0.0961 $\pm$ 0.112,0.0704 $\pm$ 0.0723,0.1541 $\pm$ 0.0961,1.0 $\pm$ 0.0
63,0.116 $\pm$ 0.0,0.0608 $\pm$ 0.0892,0.0337 $\pm$ 0.0584,0.1042 $\pm$ 0.0786,1.0 $\pm$ 0.0
64,111111111.2662 $\pm$ 0.0,3603603.8586 $\pm$ 19737749.8101,32881662.273 $\pm$ 162651042.7415,237901761.6683 $\pm$ 422926626.3613,5888888888.8889 $\pm$ 0.0
65,0.1352 $\pm$ 0.0,0.0959 $\pm$ 0.0572,0.0718 $\pm$ 0.038,0.1469 $\pm$ 0.0582,1.0 $\pm$ 0.0
66,0.02 $\pm$ 0.0,0.0153 $\pm$ 0.0156,0.0112 $\pm$ 0.0092,0.0288 $\pm$ 0.0157,0.2127 $\pm$ 0.0
67,0.1111 $\pm$ 0.0,0.0909 $\pm$ 0.0672,0.0835 $\pm$ 0.0445,0.1539 $\pm$ 0.0614,1.0 $\pm$ 0.0
68,0.1171 $\pm$ 0.0,0.0879 $\pm$ 0.0885,0.0671 $\pm$ 0.0525,0.1491 $\pm$ 0.0766,0.8507 $\pm$ 0.0
69,0.0992 $\pm$ 0.0,0.0501 $\pm$ 0.0527,0.0326 $\pm$ 0.0341,0.1097 $\pm$ 0.0614,1.0 $\pm$ 0.0
70,0.026 $\pm$ 0.0,0.0192 $\pm$ 0.0209,0.012 $\pm$ 0.0146,0.0427 $\pm$ 0.0273,0.3681 $\pm$ 0.0
71,0.1723 $\pm$ 0.0,0.1493 $\pm$ 0.0717,0.1201 $\pm$ 0.0546,0.198 $\pm$ 0.0653,1.0 $\pm$ 0.0
72,0.0945 $\pm$ 0.0,0.0231 $\pm$ 0.0853,0.0008 $\pm$ 0.0602,0.0756 $\pm$ 0.0816,1.0 $\pm$ 0.0
73,0.065 $\pm$ 0.0,0.0941 $\pm$ 0.0381,0.0712 $\pm$ 0.034,0.1076 $\pm$ 0.0344,0.1071 $\pm$ 0.0
74,0.745 $\pm$ 0.0,0.2992 $\pm$ 0.3279,0.2288 $\pm$ 0.2025,0.5705 $\pm$ 0.3076,5.1184 $\pm$ 0.0
75,1555555555.9537 $\pm$ 0.0,409293504.7225 $\pm$ 1363862279.6776,295573622.9062 $\pm$ 1326531215.2212,2250867798.171 $\pm$ 3797907898.2592,54444444444.4444 $\pm$ 0.0
76,1555555555.9537 $\pm$ 0.0,409293504.7225 $\pm$ 1363862279.6776,295573622.9062 $\pm$ 1326531215.2212,2250867798.171 $\pm$ 3797907898.2592,54444444444.4444 $\pm$ 0.0
