Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.0643 $\pm$ 0.0,0.0458 $\pm$ 0.0413,0.0757 $\pm$ 0.0613,0.1792 $\pm$ 0.1224,1.0 $\pm$ 0.0
2,0.1036 $\pm$ 0.0,0.0582 $\pm$ 0.047,0.088 $\pm$ 0.0672,0.2018 $\pm$ 0.1274,1.0 $\pm$ 0.0
3,0.1036 $\pm$ 0.0,0.0582 $\pm$ 0.047,0.088 $\pm$ 0.0672,0.2018 $\pm$ 0.1274,1.0 $\pm$ 0.0
4,0.1308 $\pm$ 0.0,0.0653 $\pm$ 0.051,0.0959 $\pm$ 0.071,0.2147 $\pm$ 0.1308,1.0 $\pm$ 0.0
5,0.1036 $\pm$ 0.0,0.0582 $\pm$ 0.047,0.088 $\pm$ 0.0672,0.2018 $\pm$ 0.1274,1.0 $\pm$ 0.0
6,0.0368 $\pm$ 0.0,0.0349 $\pm$ 0.0381,0.0659 $\pm$ 0.0569,0.1595 $\pm$ 0.1188,1.0 $\pm$ 0.0
7,0.2563 $\pm$ 0.0,0.1132 $\pm$ 0.0807,0.1361 $\pm$ 0.0943,0.2766 $\pm$ 0.1528,1.0 $\pm$ 0.0
8,0.3108 $\pm$ 0.0,0.1302 $\pm$ 0.0938,0.1498 $\pm$ 0.1034,0.2973 $\pm$ 0.1619,1.0 $\pm$ 0.0
9,0.1912 $\pm$ 0.0,0.0922 $\pm$ 0.0659,0.1184 $\pm$ 0.0831,0.2489 $\pm$ 0.142,1.0 $\pm$ 0.0
10,0.1406 $\pm$ 0.0,0.0625 $\pm$ 0.044,0.075 $\pm$ 0.052,0.1545 $\pm$ 0.0867,0.6094 $\pm$ 0.0
11,0.3108 $\pm$ 0.0,0.1302 $\pm$ 0.0938,0.1498 $\pm$ 0.1034,0.2973 $\pm$ 0.1619,1.0 $\pm$ 0.0
12,0.4 $\pm$ 0.0,0.1905 $\pm$ 0.1433,0.2416 $\pm$ 0.1896,0.5573 $\pm$ 0.3563,3.5 $\pm$ 0.0
13,4.1 $\pm$ 0.0,1.8193 $\pm$ 1.2921,2.3908 $\pm$ 1.6764,4.765 $\pm$ 2.5331,16.0 $\pm$ 0.0
14,0.025 $\pm$ 0.0,0.0119 $\pm$ 0.0089,0.0138 $\pm$ 0.011,0.0325 $\pm$ 0.0221,0.2188 $\pm$ 0.0
31,0.0271 $\pm$ 0.0,0.0193 $\pm$ 0.0197,0.0354 $\pm$ 0.0288,0.0786 $\pm$ 0.0491,0.3 $\pm$ 0.0
32,-1.9742 $\pm$ 0.0,-1.1369 $\pm$ 1.6716,-0.4306 $\pm$ 0.9788,-0.888 $\pm$ 1.5266,1.5419 $\pm$ 0.0
33,0.1039 $\pm$ 0.0,0.0584 $\pm$ 0.0471,0.0884 $\pm$ 0.0673,0.2024 $\pm$ 0.1276,1.0 $\pm$ 0.0
34,0.4333 $\pm$ 0.0,0.3125 $\pm$ 0.323,0.6244 $\pm$ 0.5135,1.3485 $\pm$ 0.8038,4.8 $\pm$ 0.0
35,0.3083 $\pm$ 0.0,0.4054 $\pm$ 0.3708,0.6913 $\pm$ 0.6199,1.7322 $\pm$ 1.2581,11.5833 $\pm$ 0.0
36,0.0396 $\pm$ 0.0,0.0405 $\pm$ 0.0389,0.0693 $\pm$ 0.0594,0.1697 $\pm$ 0.1212,1.0 $\pm$ 0.0
37,-0.1917 $\pm$ 0.0,-0.0396 $\pm$ 0.0899,0.0075 $\pm$ 0.0708,0.0782 $\pm$ 0.1198,1.0 $\pm$ 0.0
38,0.1039 $\pm$ 0.0,0.0584 $\pm$ 0.0471,0.0884 $\pm$ 0.0673,0.2024 $\pm$ 0.1276,1.0 $\pm$ 0.0
39,-0.1917 $\pm$ 0.0,-0.0396 $\pm$ 0.0899,0.0075 $\pm$ 0.0708,0.0782 $\pm$ 0.1198,1.0 $\pm$ 0.0
40,-0.0524 $\pm$ 0.0,-0.0191 $\pm$ 0.089,0.0367 $\pm$ 0.0627,0.098 $\pm$ 0.1063,0.643 $\pm$ 0.0
41,0.1042 $\pm$ 0.0,0.0587 $\pm$ 0.0472,0.0888 $\pm$ 0.0673,0.203 $\pm$ 0.1277,1.0 $\pm$ 0.0
42,0.1042 $\pm$ 0.0,0.0587 $\pm$ 0.0472,0.0888 $\pm$ 0.0673,0.203 $\pm$ 0.1277,1.0 $\pm$ 0.0
43,0.2083 $\pm$ 0.0,0.1174 $\pm$ 0.0944,0.1775 $\pm$ 0.1347,0.4061 $\pm$ 0.2554,2.0 $\pm$ 0.0
44,0.0289 $\pm$ 0.0,0.1006 $\pm$ 0.1545,0.2425 $\pm$ 0.2195,0.5986 $\pm$ 0.4012,3.125 $\pm$ 0.0
45,0.1083 $\pm$ 0.0,0.0624 $\pm$ 0.0489,0.0925 $\pm$ 0.0691,0.2114 $\pm$ 0.1294,1.0 $\pm$ 0.0
46,0.1 $\pm$ 0.0,0.055 $\pm$ 0.0457,0.085 $\pm$ 0.0661,0.1947 $\pm$ 0.1261,1.0 $\pm$ 0.0
47,-0.6961 $\pm$ 0.0,-0.237 $\pm$ 0.1915,-0.1998 $\pm$ 0.1583,-0.334 $\pm$ 0.1846,-0.75 $\pm$ 0.0
48,0.0111 $\pm$ 0.0,0.0316 $\pm$ 0.0497,0.0699 $\pm$ 0.0629,0.1777 $\pm$ 0.121,1.0 $\pm$ 0.0
49,0.203 $\pm$ 0.0,0.0937 $\pm$ 0.066,0.119 $\pm$ 0.0832,0.2512 $\pm$ 0.1432,1.0 $\pm$ 0.0
50,0.0879 $\pm$ 0.0,0.0443 $\pm$ 0.034,0.0587 $\pm$ 0.0416,0.1196 $\pm$ 0.0678,0.3802 $\pm$ 0.0
51,0.3692 $\pm$ 0.0,0.5913 $\pm$ 0.6162,1.1186 $\pm$ 1.0237,2.7273 $\pm$ 1.9337,16.0 $\pm$ 0.0
52,0.0725 $\pm$ 0.0,0.0552 $\pm$ 0.0384,0.0646 $\pm$ 0.0526,0.1612 $\pm$ 0.0977,0.7071 $\pm$ 0.0
53,0.0362 $\pm$ 0.0,0.0231 $\pm$ 0.0163,0.0249 $\pm$ 0.0191,0.0593 $\pm$ 0.0353,0.2425 $\pm$ 0.0
54,0.0092 $\pm$ 0.0,0.0306 $\pm$ 0.0459,0.0673 $\pm$ 0.061,0.1707 $\pm$ 0.1199,1.0 $\pm$ 0.0
55,-0.0237 $\pm$ 0.0,0.0041 $\pm$ 0.0952,0.0614 $\pm$ 0.0779,0.164 $\pm$ 0.1391,1.0 $\pm$ 0.0
56,0.7867 $\pm$ 0.0,244444444.876 $\pm$ 634874108.7825,872362219.0685 $\pm$ 951374852.534,2113209495.0974 $\pm$ 1828756248.783,16000000000.0 $\pm$ 0.0
57,0.0835 $\pm$ 0.0,0.0531 $\pm$ 0.0444,0.0833 $\pm$ 0.0649,0.1944 $\pm$ 0.1253,1.0 $\pm$ 0.0
58,0.0131 $\pm$ 0.0,607588049.0503 $\pm$ 1578772193.9401,2188600119.0578 $\pm$ 2387383796.4688,5857018738.8157 $\pm$ 5659054302.9771,61235447250.755 $\pm$ 0.0
59,0.2426 $\pm$ 0.0,0.1392 $\pm$ 0.1309,0.2196 $\pm$ 0.19,0.4742 $\pm$ 0.2767,1.3798 $\pm$ 0.0
60,0.0835 $\pm$ 0.0,0.0531 $\pm$ 0.0444,0.0833 $\pm$ 0.0649,0.1944 $\pm$ 0.1253,1.0 $\pm$ 0.0
61,-0.0083 $\pm$ 0.0,0.0094 $\pm$ 0.0967,0.0664 $\pm$ 0.0809,0.1752 $\pm$ 0.1435,1.0 $\pm$ 0.0
63,-0.0491 $\pm$ 0.0,-0.009 $\pm$ 0.092,0.0501 $\pm$ 0.0709,0.1365 $\pm$ 0.1294,1.0 $\pm$ 0.0
64,0.0867 $\pm$ 0.0,29629629.6892 $\pm$ 76832423.0144,98575225.9909 $\pm$ 107499352.1971,288883155.696 $\pm$ 304518127.0842,3500000000.0 $\pm$ 0.0
65,0.0643 $\pm$ 0.0,0.0458 $\pm$ 0.0413,0.0757 $\pm$ 0.0613,0.1792 $\pm$ 0.1224,1.0 $\pm$ 0.0
66,0.0016 $\pm$ 0.0,0.0045 $\pm$ 0.0067,0.008 $\pm$ 0.008,0.0218 $\pm$ 0.017,0.1691 $\pm$ 0.0
67,0.1125 $\pm$ 0.0,0.0695 $\pm$ 0.0523,0.1022 $\pm$ 0.0746,0.2253 $\pm$ 0.1328,1.0 $\pm$ 0.0
68,0.001 $\pm$ 0.0,0.0161 $\pm$ 0.0404,0.0339 $\pm$ 0.0391,0.091 $\pm$ 0.0742,0.6766 $\pm$ 0.0
69,0.0 $\pm$ 0.0,0.0297 $\pm$ 0.0382,0.0598 $\pm$ 0.0568,0.147 $\pm$ 0.1194,1.0 $\pm$ 0.0
70,0.0 $\pm$ 0.0,0.0054 $\pm$ 0.006,0.008 $\pm$ 0.008,0.0218 $\pm$ 0.0203,0.2188 $\pm$ 0.0
71,0.1472 $\pm$ 0.0,0.0678 $\pm$ 0.0532,0.1015 $\pm$ 0.0732,0.2209 $\pm$ 0.1321,1.0 $\pm$ 0.0
72,-0.1055 $\pm$ 0.0,-0.0214 $\pm$ 0.09,0.033 $\pm$ 0.0687,0.114 $\pm$ 0.1238,1.0 $\pm$ 0.0
73,0.1007 $\pm$ 0.0,0.0346 $\pm$ 0.0246,0.0242 $\pm$ 0.0196,0.042 $\pm$ 0.025,0.0 $\pm$ 0.0
74,0.0547 $\pm$ 0.0,0.2241 $\pm$ 0.3718,0.6007 $\pm$ 0.5501,1.3943 $\pm$ 0.9014,6.0835 $\pm$ 0.0
75,0.55 $\pm$ 0.0,429629630.064 $\pm$ 1116360524.1697,1547573985.8084 $\pm$ 1688135271.7519,4141537668.3981 $\pm$ 4001555672.7545,43300000000.0 $\pm$ 0.0
76,0.55 $\pm$ 0.0,429629630.064 $\pm$ 1116360524.1697,1547573985.8084 $\pm$ 1688135271.7519,4141537668.3981 $\pm$ 4001555672.7545,43300000000.0 $\pm$ 0.0
