Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
54,0.1702 $\pm$ 0.0,0.0962 $\pm$ 0.0476,0.1345 $\pm$ 0.0638,0.1768 $\pm$ 0.07,1.0 $\pm$ 0.0
55,0.2271 $\pm$ 0.0,0.1479 $\pm$ 0.0913,0.1956 $\pm$ 0.0908,0.2399 $\pm$ 0.0862,1.0 $\pm$ 0.0
56,2052631580.3596 $\pm$ 0.0,1.3749 $\pm$ 0.653,171428573.3381 $\pm$ 938952955.6354,1054608965.1539 $\pm$ 1661910710.8925,26000000000.0 $\pm$ 0.0
57,0.1757 $\pm$ 0.0,0.1192 $\pm$ 0.0464,0.1514 $\pm$ 0.0644,0.1923 $\pm$ 0.0717,1.0 $\pm$ 0.0
58,17863750261.7304 $\pm$ 0.0,0.1539 $\pm$ 0.082,1301076477.6143 $\pm$ 7126289357.0207,4334932727.2128 $\pm$ 7117993061.6783,187494945453.5698 $\pm$ 0.0
59,0.2503 $\pm$ 0.0,0.2428 $\pm$ 0.1926,0.2662 $\pm$ 0.1392,0.3358 $\pm$ 0.1743,1.6113 $\pm$ 0.0
60,0.1757 $\pm$ 0.0,0.1192 $\pm$ 0.0464,0.1514 $\pm$ 0.0644,0.1923 $\pm$ 0.0717,1.0 $\pm$ 0.0
61,0.2396 $\pm$ 0.0,0.1718 $\pm$ 0.0972,0.217 $\pm$ 0.0953,0.2599 $\pm$ 0.0916,1.0 $\pm$ 0.0
63,0.1922 $\pm$ 0.0,0.0977 $\pm$ 0.0766,0.1451 $\pm$ 0.0774,0.1905 $\pm$ 0.0736,1.0 $\pm$ 0.0
64,789473684.4211 $\pm$ 0.0,0.1483 $\pm$ 0.08,40000000.2484 $\pm$ 219089023.0127,117658523.0152 $\pm$ 200011400.5158,7842105263.1579 $\pm$ 0.0
65,0.1557 $\pm$ 0.0,0.0904 $\pm$ 0.0378,0.1212 $\pm$ 0.0587,0.1643 $\pm$ 0.0669,1.0 $\pm$ 0.0
66,0.0342 $\pm$ 0.0,0.0157 $\pm$ 0.0078,0.0221 $\pm$ 0.0115,0.0282 $\pm$ 0.0123,0.1961 $\pm$ 0.0
67,0.2126 $\pm$ 0.0,0.1791 $\pm$ 0.0589,0.2033 $\pm$ 0.0744,0.2304 $\pm$ 0.0799,1.0 $\pm$ 0.0
68,0.1582 $\pm$ 0.0,0.0943 $\pm$ 0.0449,0.123 $\pm$ 0.057,0.1517 $\pm$ 0.0653,0.7845 $\pm$ 0.0
69,0.1332 $\pm$ 0.0,0.0314 $\pm$ 0.0246,0.0713 $\pm$ 0.0572,0.1166 $\pm$ 0.0657,1.0 $\pm$ 0.0
70,0.044 $\pm$ 0.0,0.0075 $\pm$ 0.0061,0.0167 $\pm$ 0.0146,0.0246 $\pm$ 0.0142,0.3016 $\pm$ 0.0
71,0.2106 $\pm$ 0.0,0.1776 $\pm$ 0.0602,0.2046 $\pm$ 0.0752,0.2411 $\pm$ 0.0823,1.0 $\pm$ 0.0
72,0.1581 $\pm$ 0.0,0.0308 $\pm$ 0.0712,0.0805 $\pm$ 0.0711,0.1351 $\pm$ 0.0688,1.0 $\pm$ 0.0
73,0.0669 $\pm$ 0.0,0.0886 $\pm$ 0.0361,0.0975 $\pm$ 0.0498,0.1328 $\pm$ 0.0602,0.1466 $\pm$ 0.0
74,1.0002 $\pm$ 0.0,0.6441 $\pm$ 0.3741,0.9099 $\pm$ 0.4503,1.3057 $\pm$ 0.6059,7.6134 $\pm$ 0.0
75,12631578949.0045 $\pm$ 0.0,212195123.325 $\pm$ 1162240548.7978,1627909409.5077 $\pm$ 5248797902.5212,5295163960.5471 $\pm$ 5745594716.1026,132578947368.4211 $\pm$ 0.0
76,12631578949.0045 $\pm$ 0.0,212195123.325 $\pm$ 1162240548.7978,1627909409.5077 $\pm$ 5248797902.5212,5295163960.5471 $\pm$ 5745594716.1026,132578947368.4211 $\pm$ 0.0
