Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.0752 $\pm$ 0.0,0.1326 $\pm$ 0.037,0.0297 $\pm$ 0.0243,0.0744 $\pm$ 0.0521,1.0 $\pm$ 0.0
2,0.1182 $\pm$ 0.0,0.1638 $\pm$ 0.0452,0.0467 $\pm$ 0.0376,0.0967 $\pm$ 0.0612,1.0 $\pm$ 0.0
3,0.1182 $\pm$ 0.0,0.1638 $\pm$ 0.0452,0.0467 $\pm$ 0.0376,0.0967 $\pm$ 0.0612,1.0 $\pm$ 0.0
4,0.146 $\pm$ 0.0,0.1791 $\pm$ 0.0499,0.0579 $\pm$ 0.0462,0.1093 $\pm$ 0.0676,1.0 $\pm$ 0.0
5,0.1182 $\pm$ 0.0,0.1638 $\pm$ 0.0452,0.0467 $\pm$ 0.0376,0.0967 $\pm$ 0.0612,1.0 $\pm$ 0.0
6,0.0436 $\pm$ 0.0,0.0977 $\pm$ 0.0283,0.0172 $\pm$ 0.0142,0.0547 $\pm$ 0.0466,1.0 $\pm$ 0.0
7,0.3477 $\pm$ 0.0,0.2218 $\pm$ 0.0643,0.1015 $\pm$ 0.0776,0.1446 $\pm$ 0.0696,1.0 $\pm$ 0.0
8,0.3628 $\pm$ 0.0,0.2311 $\pm$ 0.069,0.11 $\pm$ 0.0841,0.1584 $\pm$ 0.0764,1.0 $\pm$ 0.0
9,0.321 $\pm$ 0.0,0.2073 $\pm$ 0.0577,0.0884 $\pm$ 0.0677,0.1243 $\pm$ 0.0608,1.0 $\pm$ 0.0
10,0.1777 $\pm$ 0.0,0.1187 $\pm$ 0.0348,0.054 $\pm$ 0.0414,0.0833 $\pm$ 0.0414,0.6518 $\pm$ 0.0
11,0.3628 $\pm$ 0.0,0.2311 $\pm$ 0.069,0.11 $\pm$ 0.0841,0.1584 $\pm$ 0.0764,1.0 $\pm$ 0.0
